Timestamp,X,Y,Z
2026-04-22 00:48:48.255,346,-322,-608
2026-04-22 00:48:48.281,298,-331,-592
2026-04-22 00:48:48.298,-151,-389,285
2026-04-22 00:48:48.495,253,-666,-149
2026-04-22 00:48:48.525,140,-349,-116
2026-04-22 00:48:48.540,153,-394,-152
2026-04-22 00:48:48.570,157,-408,-280
2026-04-22 00:48:48.584,195,-385,-225
2026-04-22 00:48:48.615,188,-361,-236
2026-04-22 00:48:48.629,268,-398,-368
2026-04-22 00:48:48.658,310,-430,-468
2026-04-22 00:48:48.673,336,-431,-534
2026-04-22 00:48:48.701,262,-455,-499
2026-04-22 00:48:48.897,-181,-533,201
2026-04-22 00:48:48.926,376,-749,-34
2026-04-22 00:48:48.942,81,-330,-206
2026-04-22 00:48:48.971,155,-395,-295
2026-04-22 00:48:48.988,335,-321,-571
2026-04-22 00:48:49.018,353,-229,-617
2026-04-22 00:48:49.034,241,-333,-426
2026-04-22 00:48:49.061,-80,-534,427
2026-04-22 00:48:49.078,154,-490,-56
2026-04-22 00:48:49.107,156,-422,-186
2026-04-22 00:48:49.301,290,-348,-524
2026-04-22 00:48:49.331,403,-272,-579
2026-04-22 00:48:49.347,342,-260,-591
2026-04-22 00:48:49.376,21,-371,-121
2026-04-22 00:48:49.392,174,-689,283
2026-04-22 00:48:49.422,117,-321,-152
2026-04-22 00:48:49.437,170,-426,-218
2026-04-22 00:48:49.466,291,-341,-496
2026-04-22 00:48:49.484,389,-271,-592
2026-04-22 00:48:49.514,312,-324,-591
2026-04-22 00:48:49.708,-239,-606,302
2026-04-22 00:48:49.723,409,-619,-60
2026-04-22 00:48:49.751,82,-363,-53
2026-04-22 00:48:49.768,160,-417,-177
2026-04-22 00:48:49.796,291,-387,-459
2026-04-22 00:48:49.813,367,-287,-600
2026-04-22 00:48:49.841,333,-317,-649
2026-04-22 00:48:49.871,247,-405,-454
2026-04-22 00:48:49.888,-94,-516,589
2026-04-22 00:48:49.916,275,-567,149
2026-04-22 00:48:50.111,107,-473,-12
2026-04-22 00:48:50.128,191,-467,-86
2026-04-22 00:48:50.156,341,-380,-418
2026-04-22 00:48:50.173,426,-227,-698
2026-04-22 00:48:50.201,415,-240,-773
2026-04-22 00:48:50.218,283,-354,-478
2026-04-22 00:48:50.246,-150,-833,674
2026-04-22 00:48:50.263,217,-368,163
2026-04-22 00:48:50.292,160,-435,95
2026-04-22 00:48:50.307,231,-389,-180
2026-04-22 00:48:50.517,356,-321,-416
2026-04-22 00:48:50.535,408,-243,-647
2026-04-22 00:48:50.565,359,-265,-613
2026-04-22 00:48:50.580,252,-358,-277
2026-04-22 00:48:50.608,-77,-749,694
2026-04-22 00:48:50.623,269,-411,127
2026-04-22 00:48:50.651,227,-519,61
2026-04-22 00:48:50.667,279,-466,-297
2026-04-22 00:48:50.696,439,-298,-537
2026-04-22 00:48:50.713,434,-222,-726
2026-04-22 00:48:50.910,335,-283,-559
2026-04-22 00:48:50.940,-199,-406,385
2026-04-22 00:48:50.968,378,-817,179
2026-04-22 00:48:50.983,173,-339,61
2026-04-22 00:48:51.011,230,-469,-11
2026-04-22 00:48:51.028,353,-377,-378
2026-04-22 00:48:51.056,417,-233,-614
2026-04-22 00:48:51.073,371,-214,-669
2026-04-22 00:48:51.101,262,-345,-469
2026-04-22 00:48:51.118,-84,-820,623
2026-04-22 00:48:51.311,280,-441,40
2026-04-22 00:48:51.341,226,-398,71
2026-04-22 00:48:51.358,249,-458,-210
2026-04-22 00:48:51.387,397,-323,-454
2026-04-22 00:48:51.403,428,-246,-623
2026-04-22 00:48:51.431,338,-308,-563
2026-04-22 00:48:51.448,-150,-366,284
2026-04-22 00:48:51.478,379,-807,206
2026-04-22 00:48:51.494,226,-344,95
2026-04-22 00:48:51.525,258,-467,8
2026-04-22 00:48:51.716,326,-414,-306
2026-04-22 00:48:51.746,414,-321,-485
2026-04-22 00:48:51.763,397,-280,-556
2026-04-22 00:48:51.793,301,-356,-373
2026-04-22 00:48:51.813,-10,-759,478
2026-04-22 00:48:51.836,297,-387,170
2026-04-22 00:48:51.853,254,-398,119
2026-04-22 00:48:51.881,274,-403,-93
2026-04-22 00:48:51.898,399,-367,-379
2026-04-22 00:48:51.928,452,-287,-595
2026-04-22 00:48:52.123,390,-338,-482
2026-04-22 00:48:52.151,-96,-523,550
2026-04-22 00:48:52.168,400,-575,100
2026-04-22 00:48:52.197,233,-376,131
2026-04-22 00:48:52.215,269,-348,45
2026-04-22 00:48:52.243,350,-372,-227
2026-04-22 00:48:52.258,445,-255,-553
2026-04-22 00:48:52.286,443,-255,-651
2026-04-22 00:48:52.303,333,-346,-341
2026-04-22 00:48:52.331,-68,-811,517
2026-04-22 00:48:52.527,349,-337,115
2026-04-22 00:48:52.544,265,-449,162
2026-04-22 00:48:52.571,288,-425,-178
2026-04-22 00:48:52.588,416,-351,-399
2026-04-22 00:48:52.616,478,-243,-534
2026-04-22 00:48:52.633,401,-271,-485
