Timestamp,X,Y,Z
2026-01-26 13:15:43.583,-493,-131,-18
2026-01-26 13:15:43.633,-495,-136,-32
2026-01-26 13:15:43.633,-494,-134,-21
2026-01-26 13:15:43.682,-493,-129,-5
2026-01-26 13:15:43.731,-489,-134,-11
2026-01-26 13:15:43.779,-480,-124,-17
2026-01-26 13:15:43.829,-477,-115,-30
2026-01-26 13:15:43.876,-481,-110,-27
2026-01-26 13:15:43.877,-477,-95,-8
2026-01-26 13:15:43.925,-476,-94,7
2026-01-26 13:15:43.974,-484,-94,16
2026-01-26 13:15:44.023,-487,-91,15
2026-01-26 13:15:44.077,-488,-91,12
2026-01-26 13:15:44.120,-485,-97,-2
2026-01-26 13:15:44.121,-467,-82,-5
2026-01-26 13:15:44.171,-475,-85,-2
2026-01-26 13:15:44.219,-476,-91,7
2026-01-26 13:15:44.267,-480,-85,9
2026-01-26 13:15:44.318,-491,-82,-9
2026-01-26 13:15:44.364,-499,-82,3
2026-01-26 13:15:44.365,-498,-73,-5
2026-01-26 13:15:44.415,-491,-73,4
2026-01-26 13:15:44.463,-489,-70,25
2026-01-26 13:15:44.512,-489,-76,16
2026-01-26 13:15:44.559,-479,-72,25
2026-01-26 13:15:44.560,-455,-92,24
2026-01-26 13:15:44.608,-429,-99,3
2026-01-26 13:15:44.659,-396,-100,12
2026-01-26 13:15:44.706,-378,-97,-8
2026-01-26 13:15:44.755,-368,-94,7
2026-01-26 13:15:44.854,-400,-91,33
2026-01-26 13:15:44.855,-417,-59,37
2026-01-26 13:15:44.856,-490,-49,67
2026-01-26 13:15:44.901,-539,-38,33
2026-01-26 13:15:44.951,-556,-45,-8
2026-01-26 13:15:44.998,-614,-91,3
2026-01-26 13:15:45.049,-731,-98,-8
2026-01-26 13:15:45.050,-832,-138,1
2026-01-26 13:15:45.097,-977,-148,-12
2026-01-26 13:15:45.144,-1074,-92,-85
2026-01-26 13:15:45.195,-1038,-79,-166
2026-01-26 13:15:45.242,-476,-115,49
2026-01-26 13:15:45.293,-20,-8,113
2026-01-26 13:15:45.294,108,7,18
2026-01-26 13:15:45.339,50,-42,22
2026-01-26 13:15:45.389,-36,-101,1
2026-01-26 13:15:45.438,-70,-128,-63
2026-01-26 13:15:45.487,-94,-124,-47
2026-01-26 13:15:45.536,-138,-95,-8
2026-01-26 13:15:45.536,-386,-102,-33
2026-01-26 13:15:45.584,-811,-80,-41
2026-01-26 13:15:45.632,-739,-64,15
2026-01-26 13:15:45.682,-529,-104,-30
2026-01-26 13:15:45.730,-485,-207,-11
2026-01-26 13:15:45.731,-695,-209,48
2026-01-26 13:15:45.780,-825,-154,13
2026-01-26 13:15:45.829,-960,-333,30
2026-01-26 13:15:45.880,-1084,-389,24
2026-01-26 13:15:45.925,-1132,-310,-32
2026-01-26 13:15:45.974,-850,-333,-38
2026-01-26 13:15:45.974,-513,-278,106
2026-01-26 13:15:46.023,-145,-38,-30
2026-01-26 13:15:46.073,84,-15,-41
2026-01-26 13:15:46.120,71,-50,42
2026-01-26 13:15:46.170,1,-35,-9
2026-01-26 13:15:46.217,-6,-26,-51
2026-01-26 13:15:46.218,-18,-59,-56
2026-01-26 13:15:46.266,-29,-64,-45
2026-01-26 13:15:46.315,-110,-74,-9
2026-01-26 13:15:46.364,-634,-148,-67
2026-01-26 13:15:46.412,-935,-181,-109
2026-01-26 13:15:46.460,-710,-139,58
2026-01-26 13:15:46.461,-547,-223,55
2026-01-26 13:15:46.510,-578,-331,45
2026-01-26 13:15:46.560,-684,-195,76
2026-01-26 13:15:46.611,-700,-192,54
2026-01-26 13:15:46.708,-783,-254,27
2026-01-26 13:15:46.709,-960,-294,-6
2026-01-26 13:15:46.709,-1132,-241,-75
2026-01-26 13:15:46.754,-1082,-182,-90
2026-01-26 13:15:46.804,-686,-210,-17
2026-01-26 13:15:46.854,-270,-193,70
2026-01-26 13:15:46.900,41,-36,0
2026-01-26 13:15:46.949,234,-19,7
2026-01-26 13:15:46.950,95,-14,10
2026-01-26 13:15:46.999,42,-33,-27
2026-01-26 13:15:47.047,4,-73,-48
2026-01-26 13:15:47.094,-35,-95,-38
2026-01-26 13:15:47.143,-102,-129,-47
2026-01-26 13:15:47.144,-380,-152,-67
2026-01-26 13:15:47.193,-870,-179,-33
2026-01-26 13:15:47.243,-954,-152,-72
2026-01-26 13:15:47.291,-691,-139,-45
2026-01-26 13:15:47.340,-645,-331,74
2026-01-26 13:15:47.389,-683,-315,-23
2026-01-26 13:15:47.390,-792,-214,24
2026-01-26 13:15:47.438,-772,-292,54
2026-01-26 13:15:47.486,-861,-354,94
2026-01-26 13:15:47.536,-949,-375,57
2026-01-26 13:15:47.587,-1035,-340,-50
2026-01-26 13:15:47.630,-811,-272,-41
2026-01-26 13:15:47.630,-443,-64,19
2026-01-26 13:15:47.680,-114,-79,-75
2026-01-26 13:15:47.728,239,-103,42
2026-01-26 13:15:47.778,190,15,98
2026-01-26 13:15:47.826,116,24,57
2026-01-26 13:15:47.926,36,-60,-14
2026-01-26 13:15:47.927,-47,-76,-18
2026-01-26 13:15:47.928,-61,-85,-30
2026-01-26 13:15:47.972,-109,-112,-29
2026-01-26 13:15:48.023,-508,-201,-88
2026-01-26 13:15:48.071,-1167,-233,-115
2026-01-26 13:15:48.119,-998,-84,-172
2026-01-26 13:15:48.120,-674,-109,101
2026-01-26 13:15:48.168,-592,-286,109
2026-01-26 13:15:48.218,-622,-192,-32
2026-01-26 13:15:48.266,-655,-138,45
2026-01-26 13:15:48.315,-603,-249,106
2026-01-26 13:15:48.315,-789,-317,39
2026-01-26 13:15:48.365,-960,-321,-21
2026-01-26 13:15:48.413,-1150,-264,-100
2026-01-26 13:15:48.460,-957,-216,-56
2026-01-26 13:15:48.510,-663,-190,-3
2026-01-26 13:15:48.556,-295,-74,-12
2026-01-26 13:15:48.557,47,-8,71
2026-01-26 13:15:48.607,177,-31,65
2026-01-26 13:15:48.658,55,8,30
2026-01-26 13:15:48.705,41,17,-8
2026-01-26 13:15:48.755,10,-48,-56
2026-01-26 13:15:48.802,-25,-54,-36
2026-01-26 13:15:48.803,-39,-88,-17
2026-01-26 13:15:48.851,-145,-119,-44
2026-01-26 13:15:48.900,-597,-201,-140
2026-01-26 13:15:48.948,-906,-153,-29
2026-01-26 13:15:48.997,-836,-236,-20
2026-01-26 13:15:49.046,-708,-326,24
2026-01-26 13:15:49.046,-615,-383,122
2026-01-26 13:15:49.093,-573,-226,77
2026-01-26 13:15:49.144,-641,-204,121
2026-01-26 13:15:49.192,-639,-325,118
2026-01-26 13:15:49.242,-834,-383,86
2026-01-26 13:15:49.289,-995,-329,77
2026-01-26 13:15:49.290,-1160,-287,-59
2026-01-26 13:15:49.338,-1020,-240,-102
2026-01-26 13:15:49.388,-795,-153,-44
2026-01-26 13:15:49.435,-281,66,-32
2026-01-26 13:15:49.484,359,-2,103
2026-01-26 13:15:49.485,226,10,161
2026-01-26 13:15:49.533,4,13,31
2026-01-26 13:15:49.581,-67,-74,-6
2026-01-26 13:15:49.631,-95,-138,-29
2026-01-26 13:15:49.678,-82,-133,-33
2026-01-26 13:15:49.728,-65,-136,-36
2026-01-26 13:15:49.729,-145,-100,-27
2026-01-26 13:15:49.776,-520,-117,-50
