Timestamp,X,Y,Z
2026-01-26 16:05:48.114,125,-445,-191
2026-01-26 16:05:48.115,191,-438,-201
2026-01-26 16:05:48.163,226,-504,-233
2026-01-26 16:05:48.164,217,-504,-221
2026-01-26 16:05:48.212,214,-517,-197
2026-01-26 16:05:48.262,200,-510,-203
2026-01-26 16:05:48.311,148,-512,-242
2026-01-26 16:05:48.360,101,-528,-248
2026-01-26 16:05:48.408,64,-484,-287
2026-01-26 16:05:48.408,12,-492,-287
2026-01-26 16:05:48.457,-7,-450,-216
2026-01-26 16:05:48.505,13,-456,-197
2026-01-26 16:05:48.554,12,-474,-193
2026-01-26 16:05:48.603,21,-532,-209
2026-01-26 16:05:48.651,80,-528,-200
2026-01-26 16:05:48.651,93,-481,-163
2026-01-26 16:05:48.700,98,-387,-139
2026-01-26 16:05:48.747,83,-442,-160
2026-01-26 16:05:48.797,127,-371,-112
2026-01-26 16:05:48.846,167,-437,-233
2026-01-26 16:05:48.896,128,-523,-381
2026-01-26 16:05:48.896,68,-562,-406
2026-01-26 16:05:48.944,66,-644,-455
2026-01-26 16:05:48.993,46,-546,-357
2026-01-26 16:05:49.043,-20,-547,-381
2026-01-26 16:05:49.090,-12,-389,-245
2026-01-26 16:05:49.090,-34,-315,-169
2026-01-26 16:05:49.140,-27,-243,-184
2026-01-26 16:05:49.189,-84,-224,-157
2026-01-26 16:05:49.237,-142,-429,-233
2026-01-26 16:05:49.287,-141,-510,-391
2026-01-26 16:05:49.334,-181,-679,-468
2026-01-26 16:05:49.335,-70,-644,-404
2026-01-26 16:05:49.384,80,-537,-372
2026-01-26 16:05:49.431,75,-439,-315
2026-01-26 16:05:49.484,45,-334,-254
2026-01-26 16:05:49.531,47,-207,-103
2026-01-26 16:05:49.582,73,-86,-97
2026-01-26 16:05:49.583,165,-160,-62
2026-01-26 16:05:49.628,288,-445,-387
2026-01-26 16:05:49.678,256,-713,-564
2026-01-26 16:05:49.725,95,-991,-698
2026-01-26 16:05:49.774,-58,-800,-540
2026-01-26 16:05:49.822,-170,-544,-309
2026-01-26 16:05:49.823,-217,-372,-163
2026-01-26 16:05:49.872,-238,-126,-67
2026-01-26 16:05:49.921,-276,-4,-26
2026-01-26 16:05:49.969,-289,-28,-62
2026-01-26 16:05:50.017,-388,-260,-191
2026-01-26 16:05:50.066,-458,-628,-407
2026-01-26 16:05:50.067,-434,-881,-336
2026-01-26 16:05:50.116,-152,-681,-245
2026-01-26 16:05:50.163,127,-612,-209
2026-01-26 16:05:50.213,190,-485,-105
2026-01-26 16:05:50.262,271,-307,-96
2026-01-26 16:05:50.263,234,-406,-48
2026-01-26 16:05:50.311,201,-343,-99
2026-01-26 16:05:50.359,156,-441,-210
2026-01-26 16:05:50.408,-32,-834,-421
2026-01-26 16:05:50.458,-216,-979,-516
2026-01-26 16:05:50.505,-384,-1001,-446
2026-01-26 16:05:50.506,-301,-520,-252
2026-01-26 16:05:50.555,-234,-338,-63
2026-01-26 16:05:50.602,-194,-138,1
2026-01-26 16:05:50.651,-177,49,48
2026-01-26 16:05:50.701,-185,-42,-56
2026-01-26 16:05:50.749,-243,-222,-78
2026-01-26 16:05:50.750,-263,-620,-364
2026-01-26 16:05:50.796,-338,-933,-170
2026-01-26 16:05:50.845,-63,-851,-133
2026-01-26 16:05:50.893,95,-625,-63
2026-01-26 16:05:50.943,260,-377,-85
2026-01-26 16:05:50.992,288,-376,-114
2026-01-26 16:05:50.993,235,-320,-79
2026-01-26 16:05:51.040,260,-354,-170
2026-01-26 16:05:51.090,132,-542,-394
2026-01-26 16:05:51.141,-58,-952,-652
2026-01-26 16:05:51.187,-326,-1065,-613
2026-01-26 16:05:51.235,-359,-750,-418
2026-01-26 16:05:51.236,-246,-478,-317
2026-01-26 16:05:51.286,-133,-348,-167
2026-01-26 16:05:51.335,-116,-145,-44
2026-01-26 16:05:51.381,-146,-79,-23
2026-01-26 16:05:51.432,-176,18,6
2026-01-26 16:05:51.479,-195,-205,-219
2026-01-26 16:05:51.480,-246,-529,-321
2026-01-26 16:05:51.530,-157,-731,-557
2026-01-26 16:05:51.578,-142,-977,-551
2026-01-26 16:05:51.629,128,-639,-361
2026-01-26 16:05:51.675,108,-347,-163
2026-01-26 16:05:51.676,91,-263,-184
2026-01-26 16:05:51.725,116,-238,-134
2026-01-26 16:05:51.772,104,-134,-94
2026-01-26 16:05:51.822,81,-201,-185
2026-01-26 16:05:51.871,55,-384,-473
2026-01-26 16:05:51.919,-116,-661,-750
2026-01-26 16:05:51.920,-141,-862,-589
2026-01-26 16:05:51.967,-174,-743,-489
2026-01-26 16:05:52.017,-138,-428,-215
2026-01-26 16:05:52.065,-281,-415,-78
2026-01-26 16:05:52.115,-506,-224,74
2026-01-26 16:05:52.162,-405,201,192
2026-01-26 16:05:52.163,-398,209,-3
2026-01-26 16:05:52.209,-475,-131,-251
2026-01-26 16:05:52.262,-557,-761,-100
2026-01-26 16:05:52.309,-563,-1255,-161
2026-01-26 16:05:52.359,-223,-884,3
2026-01-26 16:05:52.406,71,-549,31
2026-01-26 16:05:52.407,241,-429,-6
2026-01-26 16:05:52.455,286,-273,89
2026-01-26 16:05:52.503,264,-219,43
2026-01-26 16:05:52.553,165,-350,-30
2026-01-26 16:05:52.600,19,-826,-51
2026-01-26 16:05:52.651,-424,-1619,-131
2026-01-26 16:05:52.652,-640,-1539,-82
2026-01-26 16:05:52.699,-525,-682,-23
2026-01-26 16:05:52.748,-396,-143,31
2026-01-26 16:05:52.796,-294,222,137
2026-01-26 16:05:52.845,-240,389,12
2026-01-26 16:05:52.846,-227,392,-79
2026-01-26 16:05:52.942,-275,101,7
2026-01-26 16:05:52.943,-551,-539,-109
2026-01-26 16:05:52.990,-844,-1360,-54
2026-01-26 16:05:53.038,-745,-1250,121
2026-01-26 16:05:53.088,-112,-544,-9
2026-01-26 16:05:53.089,136,-419,110
2026-01-26 16:05:53.137,264,-318,31
2026-01-26 16:05:53.185,300,-323,49
2026-01-26 16:05:53.236,225,-428,48
2026-01-26 16:05:53.284,264,-343,-45
2026-01-26 16:05:53.332,54,-617,-87
2026-01-26 16:05:53.333,-410,-1595,-188
2026-01-26 16:05:53.383,-718,-1432,-76
2026-01-26 16:05:53.431,-583,-843,-20
2026-01-26 16:05:53.480,-449,-174,-2
2026-01-26 16:05:53.527,-363,158,18
2026-01-26 16:05:53.578,-266,307,88
2026-01-26 16:05:53.579,-272,388,-30
2026-01-26 16:05:53.625,-370,246,-120
2026-01-26 16:05:53.674,-676,-379,-45
2026-01-26 16:05:53.723,-984,-1328,-73
2026-01-26 16:05:53.772,-743,-1431,164
2026-01-26 16:05:53.820,-139,-634,18
2026-01-26 16:05:53.821,110,-441,46
2026-01-26 16:05:53.870,224,-459,40
2026-01-26 16:05:53.918,328,-256,13
2026-01-26 16:05:53.967,235,-318,43
2026-01-26 16:05:54.017,192,-395,27
2026-01-26 16:05:54.064,-29,-698,-111
2026-01-26 16:05:54.066,-664,-1624,-47
2026-01-26 16:05:54.113,-747,-1273,-54
2026-01-26 16:05:54.162,-604,-682,-35
2026-01-26 16:05:54.213,-461,-242,34
2026-01-26 16:05:54.256,-302,65,42
2026-01-26 16:05:54.258,-214,238,15
2026-01-26 16:05:54.306,-196,254,-33
2026-01-26 16:05:54.355,-235,171,-60
2026-01-26 16:05:54.405,-629,-523,-172
2026-01-26 16:05:54.453,-917,-1349,55
2026-01-26 16:05:54.504,-509,-1111,73
2026-01-26 16:05:54.505,32,-624,3
2026-01-26 16:05:54.551,217,-470,30
2026-01-26 16:05:54.601,328,-314,63
2026-01-26 16:05:54.650,304,-197,16
2026-01-26 16:05:54.698,253,-296,-11
2026-01-26 16:05:54.746,129,-445,-8
2026-01-26 16:05:54.748,-100,-1225,-81
2026-01-26 16:05:54.795,-730,-1557,-178
2026-01-26 16:05:54.843,-531,-1075,-72
2026-01-26 16:05:54.892,-400,-449,-23
2026-01-26 16:05:54.940,-339,-75,30
2026-01-26 16:05:54.991,-264,249,7
2026-01-26 16:05:54.992,-199,389,-44
2026-01-26 16:05:55.038,-270,221,-88
2026-01-26 16:05:55.087,-478,-82,-97
2026-01-26 16:05:55.136,-908,-1056,-38
2026-01-26 16:05:55.184,-803,-1419,138
2026-01-26 16:05:55.231,-164,-783,31
2026-01-26 16:05:55.232,232,-499,52
2026-01-26 16:05:55.284,293,-406,89
2026-01-26 16:05:55.332,317,-309,79
2026-01-26 16:05:55.381,286,-316,86
2026-01-26 16:05:55.432,218,-383,27
2026-01-26 16:05:55.433,-2,-880,-84
2026-01-26 16:05:55.477,-750,-1758,-255
2026-01-26 16:05:55.526,-695,-1324,-129
2026-01-26 16:05:55.576,-600,-556,-82
2026-01-26 16:05:55.624,-445,-9,-45
2026-01-26 16:05:55.673,-318,317,-30
2026-01-26 16:05:55.674,-191,303,-18
2026-01-26 16:05:55.720,-205,208,-5
2026-01-26 16:05:55.771,-369,-111,-12
2026-01-26 16:05:55.820,-667,-1073,3
2026-01-26 16:05:55.918,-811,-1385,165
2026-01-26 16:05:55.919,-310,-763,61
2026-01-26 16:05:55.920,157,-499,-21
2026-01-26 16:05:55.966,255,-376,85
2026-01-26 16:05:56.016,290,-283,18
2026-01-26 16:05:56.062,269,-251,-3
2026-01-26 16:05:56.111,221,-332,9
2026-01-26 16:05:56.165,100,-508,-32
2026-01-26 16:05:56.166,-131,-1303,-90
2026-01-26 16:05:56.208,-661,-1478,-129
2026-01-26 16:05:56.258,-480,-912,-100
2026-01-26 16:05:56.304,-309,-431,-67
2026-01-26 16:05:56.354,-271,-191,24
2026-01-26 16:05:56.404,-217,93,36
2026-01-26 16:05:56.405,-185,282,48
2026-01-26 16:05:56.452,-163,143,-60
2026-01-26 16:05:56.502,-401,-208,-2
2026-01-26 16:05:56.551,-661,-1104,57
2026-01-26 16:05:56.600,-575,-1415,183
2026-01-26 16:05:56.649,-111,-767,63
2026-01-26 16:05:56.650,171,-501,49
2026-01-26 16:05:56.696,194,-358,73
2026-01-26 16:05:56.747,238,-165,12
2026-01-26 16:05:56.795,209,-236,36
2026-01-26 16:05:56.843,181,-313,70
2026-01-26 16:05:56.844,157,-521,40
2026-01-26 16:05:56.891,-69,-1283,39
2026-01-26 16:05:56.941,-458,-1431,54
2026-01-26 16:05:56.988,-389,-1028,24
2026-01-26 16:05:57.039,-240,-469,6
2026-01-26 16:05:57.086,-237,-176,0
2026-01-26 16:05:57.088,-239,184,-20
2026-01-26 16:05:57.135,-151,321,-54
2026-01-26 16:05:57.186,-209,165,-36
