Timestamp,X,Y,Z
2026-04-22 00:50:32.985,-23,-239,266
2026-04-22 00:50:33.012,-353,-956,208
2026-04-22 00:50:33.029,-219,-1104,-77
2026-04-22 00:50:33.057,-186,-1164,-103
2026-04-22 00:50:33.254,-301,-885,-153
2026-04-22 00:50:33.269,-135,-331,-17
2026-04-22 00:50:33.297,-72,248,179
2026-04-22 00:50:33.314,-53,1177,238
2026-04-22 00:50:33.349,223,1940,290
2026-04-22 00:50:33.359,303,1465,264
2026-04-22 00:50:33.387,228,876,168
2026-04-22 00:50:33.404,237,423,196
2026-04-22 00:50:33.433,245,82,299
2026-04-22 00:50:33.449,125,-77,274
2026-04-22 00:50:33.657,-211,-637,157
2026-04-22 00:50:33.674,-363,-1318,119
2026-04-22 00:50:33.702,-99,-1119,-41
2026-04-22 00:50:33.719,-85,-940,-137
2026-04-22 00:50:33.747,14,-406,-115
2026-04-22 00:50:33.764,89,143,-158
2026-04-22 00:50:33.793,56,943,-154
2026-04-22 00:50:33.810,151,1763,-330
2026-04-22 00:50:33.839,230,1624,-94
2026-04-22 00:50:33.856,162,1140,-27
2026-04-22 00:50:34.047,84,675,116
2026-04-22 00:50:34.078,6,140,315
2026-04-22 00:50:34.094,-356,-911,383
2026-04-22 00:50:34.124,-384,-1537,395
2026-04-22 00:50:34.139,82,-1149,206
2026-04-22 00:50:34.167,61,-761,98
2026-04-22 00:50:34.197,78,-151,-72
2026-04-22 00:50:34.214,48,523,-95
2026-04-22 00:50:34.242,124,1521,-265
2026-04-22 00:50:34.261,292,1784,-61
2026-04-22 00:50:34.456,234,1220,28
2026-04-22 00:50:34.486,160,834,-25
2026-04-22 00:50:34.501,168,354,263
2026-04-22 00:50:34.530,-12,35,273
2026-04-22 00:50:34.546,-326,-925,386
2026-04-22 00:50:34.575,-277,-1390,416
2026-04-22 00:50:34.589,86,-1083,136
2026-04-22 00:50:34.617,76,-823,45
2026-04-22 00:50:34.634,124,-286,-60
2026-04-22 00:50:34.662,69,229,-10
2026-04-22 00:50:34.858,-61,977,-129
2026-04-22 00:50:34.887,102,1615,-220
2026-04-22 00:50:34.904,193,1433,-98
2026-04-22 00:50:34.933,112,1002,-111
2026-04-22 00:50:34.949,90,621,4
2026-04-22 00:50:34.977,143,252,215
2026-04-22 00:50:34.994,76,-18,247
2026-04-22 00:50:35.024,-132,-559,275
2026-04-22 00:50:35.039,-125,-941,359
2026-04-22 00:50:35.067,38,-1122,196
2026-04-22 00:50:35.263,104,-1067,180
2026-04-22 00:50:35.279,43,-694,66
2026-04-22 00:50:35.309,8,-106,73
2026-04-22 00:50:35.339,-139,602,125
2026-04-22 00:50:35.354,-105,1326,49
2026-04-22 00:50:35.382,142,1632,106
2026-04-22 00:50:35.399,192,1237,58
2026-04-22 00:50:35.442,177,926,7
2026-04-22 00:50:35.444,198,676,33
2026-04-22 00:50:35.473,191,386,194
2026-04-22 00:50:35.667,94,112,293
2026-04-22 00:50:35.684,-85,-400,378
2026-04-22 00:50:35.712,-196,-687,53
2026-04-22 00:50:35.729,-69,-1287,-52
2026-04-22 00:50:35.757,64,-1106,-3
2026-04-22 00:50:35.774,-18,-844,13
2026-04-22 00:50:35.803,-89,-293,135
2026-04-22 00:50:35.832,-208,395,233
2026-04-22 00:50:35.851,-224,1283,191
2026-04-22 00:50:35.881,62,1940,61
2026-04-22 00:50:36.073,146,1627,-2
2026-04-22 00:50:36.089,113,1031,43
2026-04-22 00:50:36.118,83,650,2
2026-04-22 00:50:36.134,58,146,164
2026-04-22 00:50:36.163,-208,-492,72
2026-04-22 00:50:36.179,-397,-1088,184
2026-04-22 00:50:36.209,-73,-1378,132
2026-04-22 00:50:36.226,98,-1104,33
2026-04-22 00:50:36.254,36,-791,59
2026-04-22 00:50:36.269,0,-180,54
2026-04-22 00:50:36.477,-82,442,206
2026-04-22 00:50:36.494,-64,1052,224
2026-04-22 00:50:36.522,157,1551,270
2026-04-22 00:50:36.539,240,1513,51
