Timestamp,X,Y,Z
2026-04-22 00:34:40.894,201,-420,-297
2026-04-22 00:34:40.910,-222,-578,571
2026-04-22 00:34:40.939,95,-584,473
2026-04-22 00:34:40.955,43,-483,334
2026-04-22 00:34:40.986,131,-460,87
2026-04-22 00:34:41.179,310,-440,-184
2026-04-22 00:34:41.209,367,-496,-447
2026-04-22 00:34:41.225,341,-465,-530
2026-04-22 00:34:41.255,232,-404,-397
2026-04-22 00:34:41.289,-148,-534,420
2026-04-22 00:34:41.300,-20,-747,565
2026-04-22 00:34:41.315,29,-406,385
2026-04-22 00:34:41.344,115,-517,84
2026-04-22 00:34:41.360,257,-445,-95
2026-04-22 00:34:41.389,366,-495,-364
2026-04-22 00:34:41.586,366,-467,-527
2026-04-22 00:34:41.601,276,-412,-455
2026-04-22 00:34:41.629,143,-413,-224
2026-04-22 00:34:41.659,-297,-789,979
2026-04-22 00:34:41.675,66,-434,410
2026-04-22 00:34:41.704,64,-527,231
2026-04-22 00:34:41.720,190,-447,18
2026-04-22 00:34:41.749,358,-455,-258
2026-04-22 00:34:41.765,397,-478,-511
2026-04-22 00:34:41.794,337,-447,-533
2026-04-22 00:34:41.989,216,-397,-336
2026-04-22 00:34:42.005,-87,-556,375
2026-04-22 00:34:42.034,-36,-657,623
2026-04-22 00:34:42.050,46,-412,371
2026-04-22 00:34:42.079,153,-490,92
2026-04-22 00:34:42.095,275,-450,-103
2026-04-22 00:34:42.127,347,-508,-353
2026-04-22 00:34:42.155,379,-464,-528
2026-04-22 00:34:42.171,282,-404,-426
2026-04-22 00:34:42.201,161,-424,-109
2026-04-22 00:34:42.394,-272,-641,851
2026-04-22 00:34:42.410,171,-579,340
2026-04-22 00:34:42.439,118,-454,271
2026-04-22 00:34:42.455,222,-439,16
2026-04-22 00:34:42.485,360,-439,-253
2026-04-22 00:34:42.500,388,-453,-457
2026-04-22 00:34:42.529,338,-409,-482
2026-04-22 00:34:42.545,214,-400,-263
2026-04-22 00:34:42.574,-299,-644,765
2026-04-22 00:34:42.590,220,-517,386
2026-04-22 00:34:42.800,116,-476,299
2026-04-22 00:34:42.815,220,-476,38
2026-04-22 00:34:42.844,351,-417,-163
2026-04-22 00:34:42.860,359,-469,-359
