Timestamp,X,Y,Z
2026-03-10 21:39:18.933,-387,102,-73
2026-03-10 21:39:18.984,-416,67,-42
2026-03-10 21:39:18.985,-442,59,-47
2026-03-10 21:39:19.033,-468,50,-79
2026-03-10 21:39:19.081,-437,17,-67
2026-03-10 21:39:19.278,-427,23,-44
2026-03-10 21:39:19.280,-415,19,-51
2026-03-10 21:39:19.280,-424,16,-48
2026-03-10 21:39:19.326,-436,-9,-14
2026-03-10 21:39:19.327,-445,-26,-36
2026-03-10 21:39:19.327,-451,-53,-39
2026-03-10 21:39:19.374,-496,-49,-35
2026-03-10 21:39:19.472,-522,-55,-14
2026-03-10 21:39:19.474,-543,-42,4
2026-03-10 21:39:19.475,-520,-51,-17
2026-03-10 21:39:19.519,-525,-59,-11
2026-03-10 21:39:19.571,-518,-54,-2
2026-03-10 21:39:19.618,-533,-64,-36
2026-03-10 21:39:19.667,-539,-66,-50
2026-03-10 21:39:19.667,-534,-56,-27
2026-03-10 21:39:19.716,-512,-60,-20
2026-03-10 21:39:19.763,-489,-55,-21
2026-03-10 21:39:19.916,-490,-75,-23
2026-03-10 21:39:19.916,-464,-75,-17
2026-03-10 21:39:19.916,-468,-72,-23
2026-03-10 21:39:19.917,-488,-82,-17
2026-03-10 21:39:20.059,-507,-77,-9
2026-03-10 21:39:20.059,-508,-88,1
2026-03-10 21:39:20.059,-504,-92,-8
2026-03-10 21:39:20.154,-491,-86,25
2026-03-10 21:39:20.254,-505,-91,3
2026-03-10 21:39:20.254,-491,-92,6
2026-03-10 21:39:20.254,-504,-77,1
2026-03-10 21:39:20.254,-503,-75,19
2026-03-10 21:39:20.450,-491,-75,40
2026-03-10 21:39:20.451,-475,-75,22
2026-03-10 21:39:20.451,-470,-73,55
2026-03-10 21:39:20.451,-489,-44,52
2026-03-10 21:39:20.452,-491,-48,37
2026-03-10 21:39:20.548,-487,-55,45
2026-03-10 21:39:20.549,-485,-47,37
2026-03-10 21:39:20.642,-490,-48,49
2026-03-10 21:39:20.646,-497,-40,27
2026-03-10 21:39:20.646,-487,-28,46
2026-03-10 21:39:20.691,-486,-14,51
2026-03-10 21:39:20.739,-495,-14,57
2026-03-10 21:39:20.841,-513,-21,73
2026-03-10 21:39:20.841,-511,-21,74
2026-03-10 21:39:20.841,-481,-33,83
2026-03-10 21:39:20.883,-468,-18,118
2026-03-10 21:39:20.932,-482,-8,76
2026-03-10 21:39:21.082,-495,-11,103
2026-03-10 21:39:21.088,-481,-38,104
2026-03-10 21:39:21.088,-470,-30,94
2026-03-10 21:39:21.088,-452,-2,82
2026-03-10 21:39:21.180,-469,25,60
2026-03-10 21:39:21.180,-479,27,58
2026-03-10 21:39:21.276,-486,24,68
2026-03-10 21:39:21.324,-521,32,55
2026-03-10 21:39:21.326,-505,36,57
2026-03-10 21:39:21.326,-469,31,43
2026-03-10 21:39:21.424,-468,42,43
2026-03-10 21:39:21.425,-494,44,21
2026-03-10 21:39:21.519,-504,31,27
2026-03-10 21:39:21.667,-481,30,57
2026-03-10 21:39:21.667,-479,28,46
2026-03-10 21:39:21.668,-486,19,40
2026-03-10 21:39:21.668,-493,33,40
2026-03-10 21:39:21.762,-498,21,33
2026-03-10 21:39:21.765,-503,10,24
2026-03-10 21:39:21.810,-494,12,19
2026-03-10 21:39:21.861,-497,14,36
2026-03-10 21:39:21.862,-482,9,21
2026-03-10 21:39:21.863,-500,9,10
2026-03-10 21:39:21.908,-493,12,33
2026-03-10 21:39:21.959,-486,3,24
2026-03-10 21:39:22.007,-499,12,21
2026-03-10 21:39:22.009,-499,3,16
2026-03-10 21:39:22.105,-487,9,18
2026-03-10 21:39:22.106,-488,5,9
2026-03-10 21:39:22.252,-497,8,12
2026-03-10 21:39:22.303,-500,14,13
2026-03-10 21:39:22.303,-490,8,27
2026-03-10 21:39:22.304,-497,7,3
2026-03-10 21:39:22.304,-494,4,0
2026-03-10 21:39:22.348,-498,-2,18
2026-03-10 21:39:22.396,-500,6,27
2026-03-10 21:39:22.496,-499,7,18
2026-03-10 21:39:22.497,-498,7,25
2026-03-10 21:39:22.497,-488,3,27
2026-03-10 21:39:22.544,-498,-13,10
2026-03-10 21:39:22.592,-503,3,18
2026-03-10 21:39:22.640,-499,-13,12
2026-03-10 21:39:22.688,-502,-9,46
2026-03-10 21:39:22.738,-497,5,27
2026-03-10 21:39:22.739,-497,7,12
2026-03-10 21:39:22.837,-503,6,9
2026-03-10 21:39:22.883,-503,8,21
2026-03-10 21:39:22.884,-489,-6,12
2026-03-10 21:39:22.934,-496,-5,16
2026-03-10 21:39:22.937,-500,-2,27
2026-03-10 21:39:23.080,-477,140,60
2026-03-10 21:39:23.084,-503,153,22
2026-03-10 21:39:23.085,-495,-67,-134
2026-03-10 21:39:23.330,-508,-136,-72
2026-03-10 21:39:23.331,-527,-98,-24
2026-03-10 21:39:23.331,-469,-20,42
2026-03-10 21:39:23.331,-451,27,37
2026-03-10 21:39:23.331,-487,24,4
2026-03-10 21:39:23.332,-516,-18,15
2026-03-10 21:39:23.371,-549,-22,70
2026-03-10 21:39:23.421,-508,-33,65
2026-03-10 21:39:23.421,-485,8,18
2026-03-10 21:39:23.469,-488,28,43
2026-03-10 21:39:23.517,-480,14,36
2026-03-10 21:39:23.569,-494,12,-14
2026-03-10 21:39:23.712,-498,4,54
2026-03-10 21:39:23.714,-487,5,30
2026-03-10 21:39:23.715,-469,15,46
2026-03-10 21:39:23.715,-452,31,54
2026-03-10 21:39:23.859,-477,30,28
2026-03-10 21:39:23.957,-487,25,10
2026-03-10 21:39:24.006,-489,-8,-2
2026-03-10 21:39:24.007,-503,-17,4
2026-03-10 21:39:24.007,-502,-6,0
2026-03-10 21:39:24.009,-488,0,24
2026-03-10 21:39:24.010,-497,27,15
2026-03-10 21:39:24.106,-505,19,6
2026-03-10 21:39:24.106,-505,55,0
2026-03-10 21:39:24.107,-496,63,1
2026-03-10 21:39:24.152,-491,61,31
2026-03-10 21:39:24.199,-488,9,-60
2026-03-10 21:39:24.250,-489,14,-51
2026-03-10 21:39:24.298,-484,77,9
2026-03-10 21:39:24.348,-487,59,9
2026-03-10 21:39:24.349,-491,37,19
2026-03-10 21:39:24.395,-507,39,16
2026-03-10 21:39:24.444,-506,10,48
2026-03-10 21:39:24.493,-496,-12,33
2026-03-10 21:39:24.541,-484,-4,10
2026-03-10 21:39:24.590,-491,12,12
2026-03-10 21:39:24.593,-495,32,22
2026-03-10 21:39:24.640,-502,41,-2
2026-03-10 21:39:24.835,-509,42,4
2026-03-10 21:39:24.837,-491,63,-9
2026-03-10 21:39:24.837,-496,55,15
2026-03-10 21:39:24.838,-495,62,24
2026-03-10 21:39:24.838,-476,63,10
2026-03-10 21:39:24.885,-490,58,-2
2026-03-10 21:39:24.931,-489,52,6
2026-03-10 21:39:24.980,-493,45,18
2026-03-10 21:39:25.028,-495,46,12
2026-03-10 21:39:25.028,-498,43,13
2026-03-10 21:39:25.079,-502,40,-5
2026-03-10 21:39:25.127,-498,32,15
2026-03-10 21:39:25.174,-493,10,19
2026-03-10 21:39:25.370,-489,16,34
2026-03-10 21:39:25.371,-499,15,49
2026-03-10 21:39:25.373,-505,14,37
2026-03-10 21:39:25.374,-503,6,22
2026-03-10 21:39:25.375,-500,0,61
2026-03-10 21:39:25.468,-497,-2,54
2026-03-10 21:39:25.469,-502,-4,39
2026-03-10 21:39:25.566,-507,-55,58
2026-03-10 21:39:25.568,-558,-81,40
2026-03-10 21:39:25.568,-563,-64,12
2026-03-10 21:39:25.613,-535,-59,7
2026-03-10 21:39:25.663,-477,-90,-3
2026-03-10 21:39:25.711,-411,-23,22
2026-03-10 21:39:25.712,-378,6,10
2026-03-10 21:39:25.760,-411,-73,-5
2026-03-10 21:39:25.908,-450,-98,-42
2026-03-10 21:39:25.908,-485,-101,-29
2026-03-10 21:39:25.908,-495,-94,-5
2026-03-10 21:39:25.958,-495,-83,-9
2026-03-10 21:39:25.958,-502,-90,12
2026-03-10 21:39:26.052,-513,-98,-8
2026-03-10 21:39:26.053,-515,-86,6
2026-03-10 21:39:26.102,-531,-89,-6
2026-03-10 21:39:26.153,-504,-60,48
2026-03-10 21:39:26.199,-486,15,63
2026-03-10 21:39:26.250,-490,30,60
2026-03-10 21:39:26.251,-505,-29,70
2026-03-10 21:39:26.296,-480,-56,18
2026-03-10 21:39:26.395,-489,-63,3
2026-03-10 21:39:26.397,-482,-67,6
2026-03-10 21:39:26.443,-487,-84,-12
2026-03-10 21:39:26.443,-490,-99,-6
2026-03-10 21:39:26.492,-505,-101,-9
2026-03-10 21:39:26.637,-499,-101,-2
2026-03-10 21:39:26.638,-500,-93,40
2026-03-10 21:39:26.639,-499,-33,82
2026-03-10 21:39:26.639,-507,1,98
2026-03-10 21:39:26.687,-523,21,132
2026-03-10 21:39:26.784,-525,-27,92
2026-03-10 21:39:26.785,-533,-30,63
2026-03-10 21:39:26.831,-505,-73,12
2026-03-10 21:39:26.882,-498,-95,-18
2026-03-10 21:39:26.882,-467,-120,-53
2026-03-10 21:39:26.930,-455,-126,-79
2026-03-10 21:39:26.979,-425,-81,-47
2026-03-10 21:39:27.028,-415,-202,-106
2026-03-10 21:39:27.076,-448,-180,-91
2026-03-10 21:39:27.125,-467,-179,-105
2026-03-10 21:39:27.173,-472,-130,-78
2026-03-10 21:39:27.174,-480,-72,-32
2026-03-10 21:39:27.224,-477,-106,-3
2026-03-10 21:39:27.274,-506,15,112
2026-03-10 21:39:27.321,-512,-86,67
2026-03-10 21:39:27.370,-535,-121,92
2026-03-10 21:39:27.370,-506,-144,40
2026-03-10 21:39:27.419,-480,-155,-90
2026-03-10 21:39:27.467,-472,-190,-41
2026-03-10 21:39:27.565,-481,-120,-20
2026-03-10 21:39:27.566,-486,-133,-24
2026-03-10 21:39:27.612,-496,-128,-79
2026-03-10 21:39:27.612,-507,-120,-15
2026-03-10 21:39:27.663,-499,-57,-24
2026-03-10 21:39:27.709,-468,-35,-11
2026-03-10 21:39:27.760,-487,-77,3
2026-03-10 21:39:27.808,-499,-93,-6
2026-03-10 21:39:27.858,-495,-97,21
2026-03-10 21:39:27.858,-480,-83,34
2026-03-10 21:39:27.905,-478,-64,46
2026-03-10 21:39:27.956,-488,-92,-42
2026-03-10 21:39:28.003,-505,-53,-29
2026-03-10 21:39:28.050,-523,-165,-114
2026-03-10 21:39:28.051,-497,-175,-103
2026-03-10 21:39:28.099,-484,-120,-88
2026-03-10 21:39:28.149,-494,-135,-67
2026-03-10 21:39:28.248,-497,-112,-41
2026-03-10 21:39:28.248,-485,-92,-72
2026-03-10 21:39:28.294,-498,-64,-12
2026-03-10 21:39:28.343,-490,-77,-12
2026-03-10 21:39:28.344,-495,-63,4
2026-03-10 21:39:28.394,-495,-67,25
2026-03-10 21:39:28.442,-499,-74,16
2026-03-10 21:39:28.491,-499,-79,3
2026-03-10 21:39:28.544,-491,-80,19
2026-03-10 21:39:28.545,-489,-70,34
2026-03-10 21:39:28.591,-504,-80,6
2026-03-10 21:39:28.686,-504,-79,1
2026-03-10 21:39:28.687,-498,-74,-6
2026-03-10 21:39:28.784,-495,-67,4
2026-03-10 21:39:28.785,-500,-77,-8
2026-03-10 21:39:28.785,-491,-62,4
2026-03-10 21:39:28.830,-478,-64,9
2026-03-10 21:39:28.930,-486,-56,4
2026-03-10 21:39:28.930,-489,-54,-14
2026-03-10 21:39:29.079,-497,-58,-8
2026-03-10 21:39:29.080,-493,-64,-15
2026-03-10 21:39:29.081,-494,-51,6
2026-03-10 21:39:29.081,-494,-64,9
2026-03-10 21:39:29.123,-487,-62,0
2026-03-10 21:39:29.172,-484,-68,19
2026-03-10 21:39:29.424,-497,-76,15
2026-03-10 21:39:29.424,-487,-80,7
2026-03-10 21:39:29.466,-485,-84,4
2026-03-10 21:39:29.512,-491,-84,18
2026-03-10 21:39:29.513,-488,-85,18
2026-03-10 21:39:29.514,-498,-65,15
2026-03-10 21:39:29.514,-500,-84,0
2026-03-10 21:39:29.515,-500,-101,-6
2026-03-10 21:39:29.562,-487,-95,-11
2026-03-10 21:39:29.563,-494,-95,-3
2026-03-10 21:39:29.612,-487,-86,-5
2026-03-10 21:39:29.661,-498,-75,6
2026-03-10 21:39:29.709,-497,-75,-15
2026-03-10 21:39:29.711,-504,-70,16
2026-03-10 21:39:29.757,-499,-65,6
2026-03-10 21:39:29.806,-488,-72,0
2026-03-10 21:39:29.856,-502,-63,0
2026-03-10 21:39:29.905,-494,-60,0
2026-03-10 21:39:29.905,-480,-79,-5
2026-03-10 21:39:29.952,-480,-95,6
2026-03-10 21:39:30.107,-488,-91,12
2026-03-10 21:39:30.108,-497,-81,27
2026-03-10 21:39:30.108,-503,-74,-17
2026-03-10 21:39:30.148,-495,-72,30
2026-03-10 21:39:30.149,-497,-76,24
2026-03-10 21:39:30.248,-495,-76,21
2026-03-10 21:39:30.248,-488,-71,24
2026-03-10 21:39:30.293,-489,-77,4
2026-03-10 21:39:30.345,-486,-72,16
2026-03-10 21:39:30.393,-497,-88,-2
2026-03-10 21:39:30.394,-496,-82,0
2026-03-10 21:39:30.441,-504,-72,16
2026-03-10 21:39:30.489,-504,-80,3
2026-03-10 21:39:30.587,-503,-85,0
2026-03-10 21:39:30.588,-489,-107,31
2026-03-10 21:39:30.686,-468,-101,21
2026-03-10 21:39:30.686,-459,-86,16
2026-03-10 21:39:30.686,-468,-79,19
2026-03-10 21:39:30.783,-485,-90,3
2026-03-10 21:39:30.785,-500,-85,0
2026-03-10 21:39:30.831,-500,-86,0
2026-03-10 21:39:30.832,-491,-79,1
2026-03-10 21:39:30.878,-491,-80,30
2026-03-10 21:39:30.929,-494,-84,16
2026-03-10 21:39:30.981,-497,-90,51
2026-03-10 21:39:31.029,-495,-92,24
2026-03-10 21:39:31.127,-504,-92,33
2026-03-10 21:39:31.127,-497,-85,18
2026-03-10 21:39:31.127,-489,-85,7
2026-03-10 21:39:31.170,-493,-83,1
2026-03-10 21:39:31.220,-489,-77,15
2026-03-10 21:39:31.269,-484,-99,3
2026-03-10 21:39:31.317,-479,-90,-8
2026-03-10 21:39:31.319,-495,-94,34
2026-03-10 21:39:31.417,-486,-99,13
2026-03-10 21:39:31.419,-491,-80,39
2026-03-10 21:39:31.465,-489,-82,0
2026-03-10 21:39:31.512,-488,-81,15
2026-03-10 21:39:31.561,-497,-85,9
2026-03-10 21:39:31.563,-487,-83,15
2026-03-10 21:39:31.612,-487,-84,6
2026-03-10 21:39:31.659,-497,-88,36
2026-03-10 21:39:31.709,-491,-91,0
2026-03-10 21:39:31.855,-486,-90,10
2026-03-10 21:39:31.857,-496,-89,16
2026-03-10 21:39:31.857,-499,-92,21
2026-03-10 21:39:31.857,-488,-93,21
2026-03-10 21:39:31.901,-486,-85,25
2026-03-10 21:39:32.006,-487,-90,12
2026-03-10 21:39:32.006,-488,-98,16
2026-03-10 21:39:32.006,-488,-90,16
2026-03-10 21:39:32.051,-505,-85,18
2026-03-10 21:39:32.100,-490,-77,18
2026-03-10 21:39:32.149,-485,-82,7
