Timestamp,X,Y,Z
2026-04-07 23:03:30.202,-231,-276,-361
2026-04-07 23:03:30.202,-235,-265,-379
2026-04-07 23:03:30.248,-234,-274,-379
2026-04-07 23:03:30.347,-230,-260,-379
2026-04-07 23:03:30.347,-229,-268,-348
2026-04-07 23:03:30.347,-237,-254,-391
2026-04-07 23:03:30.395,-240,-251,-363
2026-04-07 23:03:30.444,-247,-255,-360
2026-04-07 23:03:30.494,-254,-236,-378
2026-04-07 23:03:30.495,-258,-245,-357
2026-04-07 23:03:30.542,-257,-244,-354
2026-04-07 23:03:30.590,-270,-259,-357
2026-04-07 23:03:30.647,-258,-259,-366
2026-04-07 23:03:30.687,-268,-265,-369
2026-04-07 23:03:30.785,-281,-236,-384
2026-04-07 23:03:30.785,-288,-232,-372
2026-04-07 23:03:30.785,-285,-241,-370
2026-04-07 23:03:30.836,-291,-226,-343
2026-04-07 23:03:30.884,-294,-327,-506
2026-04-07 23:03:30.931,-330,-454,-882
2026-04-07 23:03:30.932,-350,-544,-1114
2026-04-07 23:03:30.979,-243,-450,-910
2026-04-07 23:03:31.029,-221,-310,-649
2026-04-07 23:03:31.079,-234,-175,-270
2026-04-07 23:03:31.126,-217,-71,-96
2026-04-07 23:03:31.175,-214,-10,135
2026-04-07 23:03:31.177,-149,-10,334
2026-04-07 23:03:31.224,-54,12,238
2026-04-07 23:03:31.275,-32,-39,138
2026-04-07 23:03:31.321,-48,-142,-38
2026-04-07 23:03:31.370,-114,-214,-485
2026-04-07 23:03:31.419,-198,-531,-993
2026-04-07 23:03:31.422,-240,-455,-1387
2026-04-07 23:03:31.467,-169,-542,-1319
2026-04-07 23:03:31.517,-68,-410,-1049
2026-04-07 23:03:31.564,-52,-368,-759
2026-04-07 23:03:31.617,-36,-295,-521
2026-04-07 23:03:31.663,-6,-201,-325
2026-04-07 23:03:31.665,16,-139,-120
2026-04-07 23:03:31.712,32,-100,54
2026-04-07 23:03:31.762,19,-117,202
2026-04-07 23:03:31.809,45,-112,183
2026-04-07 23:03:31.860,33,-113,89
2026-04-07 23:03:31.860,-29,-200,-69
2026-04-07 23:03:31.905,-68,-175,-404
2026-04-07 23:03:31.957,-115,-380,-818
2026-04-07 23:03:32.006,-213,-376,-1307
2026-04-07 23:03:32.054,-143,-411,-1447
2026-04-07 23:03:32.104,-36,-308,-1164
2026-04-07 23:03:32.105,4,-310,-818
2026-04-07 23:03:32.149,11,-309,-495
2026-04-07 23:03:32.198,19,-240,-230
2026-04-07 23:03:32.249,80,-118,-51
2026-04-07 23:03:32.297,77,-93,137
2026-04-07 23:03:32.346,45,-133,222
2026-04-07 23:03:32.346,19,-77,161
2026-04-07 23:03:32.395,-17,-119,63
2026-04-07 23:03:32.445,-63,-179,-152
2026-04-07 23:03:32.491,-52,-269,-588
2026-04-07 23:03:32.542,-40,-385,-995
2026-04-07 23:03:32.590,-45,-405,-1344
2026-04-07 23:03:32.592,-5,-416,-1141
2026-04-07 23:03:32.639,29,-336,-986
2026-04-07 23:03:32.687,-23,-325,-704
2026-04-07 23:03:32.736,-23,-234,-446
2026-04-07 23:03:32.784,-23,-195,-218
2026-04-07 23:03:32.831,7,-195,-33
2026-04-07 23:03:32.832,48,-155,119
2026-04-07 23:03:32.880,68,-166,159
2026-04-07 23:03:32.930,76,-129,112
2026-04-07 23:03:32.981,76,-142,-11
2026-04-07 23:03:33.028,65,-174,-197
2026-04-07 23:03:33.028,-5,-305,-471
2026-04-07 23:03:33.126,-150,-326,-1019
2026-04-07 23:03:33.128,-175,-368,-1456
2026-04-07 23:03:33.175,-65,-304,-1322
2026-04-07 23:03:33.224,-34,-300,-1017
2026-04-07 23:03:33.273,-71,-295,-734
2026-04-07 23:03:33.273,-85,-229,-525
2026-04-07 23:03:33.323,-111,-207,-243
2026-04-07 23:03:33.370,-41,-181,-17
2026-04-07 23:03:33.418,12,-170,137
2026-04-07 23:03:33.468,76,-149,237
2026-04-07 23:03:33.518,121,-122,226
2026-04-07 23:03:33.518,96,-117,79
2026-04-07 23:03:33.563,65,-166,-118
2026-04-07 23:03:33.614,46,-219,-561
2026-04-07 23:03:33.660,-3,-309,-880
2026-04-07 23:03:33.711,-52,-305,-1248
2026-04-07 23:03:33.759,-60,-388,-1225
2026-04-07 23:03:33.762,0,-333,-1080
2026-04-07 23:03:33.809,20,-310,-761
2026-04-07 23:03:33.856,38,-226,-516
2026-04-07 23:03:33.905,48,-197,-215
2026-04-07 23:03:33.958,61,-204,7
2026-04-07 23:03:33.959,57,-201,127
2026-04-07 23:03:34.005,68,-193,167
2026-04-07 23:03:34.053,56,-137,118
2026-04-07 23:03:34.103,65,-158,15
2026-04-07 23:03:34.150,24,-160,-245
2026-04-07 23:03:34.198,0,-261,-619
2026-04-07 23:03:34.199,-76,-295,-1178
2026-04-07 23:03:34.297,-85,-348,-1368
2026-04-07 23:03:34.298,15,-318,-1144
2026-04-07 23:03:34.344,45,-281,-861
2026-04-07 23:03:34.394,-5,-277,-685
