Timestamp,X,Y,Z
2026-04-07 23:05:50.892,-576,-724,860
2026-04-07 23:05:50.940,-461,-592,745
2026-04-07 23:05:50.940,-354,-606,567
2026-04-07 23:05:50.991,-252,-698,456
2026-04-07 23:05:51.039,-136,-735,408
2026-04-07 23:05:51.088,-54,-715,413
2026-04-07 23:05:51.136,43,-642,298
2026-04-07 23:05:51.184,112,-491,228
2026-04-07 23:05:51.184,98,-398,127
2026-04-07 23:05:51.235,100,-280,-60
2026-04-07 23:05:51.283,82,-393,-91
2026-04-07 23:05:51.331,126,-262,-218
2026-04-07 23:05:51.428,260,-76,-397
2026-04-07 23:05:51.430,266,-95,-430
2026-04-07 23:05:51.431,287,-90,-557
2026-04-07 23:05:51.477,301,-107,-504
2026-04-07 23:05:51.526,315,-95,-388
2026-04-07 23:05:51.575,297,-97,-309
2026-04-07 23:05:51.623,236,-178,-173
2026-04-07 23:05:51.676,179,-151,-76
2026-04-07 23:05:51.676,82,-290,88
2026-04-07 23:05:51.723,38,-343,116
2026-04-07 23:05:51.770,-146,-724,499
2026-04-07 23:05:51.823,5,-445,343
2026-04-07 23:05:51.869,-69,-502,446
2026-04-07 23:05:51.917,-159,-742,407
2026-04-07 23:05:51.920,-271,-838,423
2026-04-07 23:05:51.969,-431,-637,543
2026-04-07 23:05:52.017,-520,-696,665
2026-04-07 23:05:52.066,-568,-651,724
2026-04-07 23:05:52.110,-432,-612,710
2026-04-07 23:05:52.111,-303,-732,592
2026-04-07 23:05:52.161,-250,-685,532
2026-04-07 23:05:52.209,-156,-750,471
2026-04-07 23:05:52.257,-67,-746,382
2026-04-07 23:05:52.306,-7,-568,298
2026-04-07 23:05:52.354,64,-472,334
2026-04-07 23:05:52.356,110,-435,286
2026-04-07 23:05:52.404,143,-341,192
2026-04-07 23:05:52.454,116,-262,61
2026-04-07 23:05:52.503,120,-318,-108
2026-04-07 23:05:52.552,118,-270,-252
2026-04-07 23:05:52.599,110,-323,-288
2026-04-07 23:05:52.599,174,-469,-376
2026-04-07 23:05:52.649,232,-417,-424
2026-04-07 23:05:52.697,273,-350,-392
2026-04-07 23:05:52.748,259,-273,-317
2026-04-07 23:05:52.794,282,-209,-187
2026-04-07 23:05:52.844,244,-167,-73
2026-04-07 23:05:52.845,221,-143,-6
2026-04-07 23:05:52.890,153,-225,112
2026-04-07 23:05:52.941,49,-245,217
2026-04-07 23:05:52.989,-77,-497,335
2026-04-07 23:05:53.090,-76,-497,420
2026-04-07 23:05:53.091,-218,-639,568
2026-04-07 23:05:53.091,-201,-497,610
2026-04-07 23:05:53.135,-324,-189,786
2026-04-07 23:05:53.187,-463,-743,786
2026-04-07 23:05:53.234,-576,-590,979
2026-04-07 23:05:53.282,-571,-180,1008
2026-04-07 23:05:53.283,-422,-142,917
2026-04-07 23:05:53.332,-342,-310,762
2026-04-07 23:05:53.380,-300,-410,689
2026-04-07 23:05:53.428,-213,-485,568
2026-04-07 23:05:53.479,-119,-488,505
2026-04-07 23:05:53.526,-27,-414,447
2026-04-07 23:05:53.529,58,-317,264
2026-04-07 23:05:53.576,108,-463,252
2026-04-07 23:05:53.625,179,-403,199
2026-04-07 23:05:53.672,150,-303,65
2026-04-07 23:05:53.724,99,-258,-9
2026-04-07 23:05:53.769,120,-244,-191
2026-04-07 23:05:53.818,190,-308,-354
2026-04-07 23:05:53.820,287,-405,-409
2026-04-07 23:05:53.868,372,-372,-465
2026-04-07 23:05:53.917,399,-340,-404
2026-04-07 23:05:53.966,346,-271,-278
2026-04-07 23:05:54.015,300,-202,-81
2026-04-07 23:05:54.015,198,-202,55
2026-04-07 23:05:54.112,116,-210,121
2026-04-07 23:05:54.114,-27,-320,247
2026-04-07 23:05:54.160,-25,-329,285
2026-04-07 23:05:54.208,-125,-402,367
2026-04-07 23:05:54.208,-174,-447,523
2026-04-07 23:05:54.259,-170,-517,498
2026-04-07 23:05:54.307,-281,-622,552
2026-04-07 23:05:54.358,-363,-495,651
2026-04-07 23:05:54.404,-401,-423,751
2026-04-07 23:05:54.454,-513,-495,869
2026-04-07 23:05:54.454,-515,-368,924
2026-04-07 23:05:54.501,-435,-298,850
