Timestamp,X,Y,Z
2026-04-07 22:59:05.339,-694,208,97
2026-04-07 22:59:05.340,-785,63,109
2026-04-07 22:59:05.388,-780,80,10
2026-04-07 22:59:05.438,-648,-324,-57
2026-04-07 22:59:05.486,-570,-46,37
2026-04-07 22:59:05.534,-567,-108,85
2026-04-07 22:59:05.583,-449,-414,27
2026-04-07 22:59:05.632,-355,-454,-27
2026-04-07 22:59:05.730,-364,-379,-93
2026-04-07 22:59:05.733,-388,-443,-75
2026-04-07 22:59:05.736,-490,-443,-21
2026-04-07 22:59:05.781,-702,-392,9
2026-04-07 22:59:05.829,-819,-331,34
2026-04-07 22:59:05.831,-899,-258,51
2026-04-07 22:59:05.876,-967,-200,40
2026-04-07 22:59:05.925,-1032,-131,61
2026-04-07 22:59:05.974,-1011,111,-39
2026-04-07 22:59:06.025,-719,426,-29
2026-04-07 22:59:06.025,-569,639,104
2026-04-07 22:59:06.071,-627,514,98
2026-04-07 22:59:06.121,-640,182,80
2026-04-07 22:59:06.169,-770,26,82
2026-04-07 22:59:06.219,-843,-97,152
2026-04-07 22:59:06.265,-972,-353,229
2026-04-07 22:59:06.266,-839,-618,359
2026-04-07 22:59:06.316,-625,-725,460
2026-04-07 22:59:06.367,-397,-708,440
2026-04-07 22:59:06.412,-323,-655,428
2026-04-07 22:59:06.464,-363,-586,295
2026-04-07 22:59:06.511,-553,-486,167
2026-04-07 22:59:06.513,-739,-402,109
2026-04-07 22:59:06.561,-889,-341,101
2026-04-07 22:59:06.609,-1030,-207,138
2026-04-07 22:59:06.659,-1104,114,180
2026-04-07 22:59:06.709,-703,635,65
2026-04-07 22:59:06.758,-613,730,395
2026-04-07 22:59:06.758,-673,557,291
2026-04-07 22:59:06.806,-678,63,104
2026-04-07 22:59:06.852,-786,-31,27
2026-04-07 22:59:06.902,-933,-161,164
2026-04-07 22:59:06.948,-891,-309,103
2026-04-07 22:59:06.950,-776,-455,-56
2026-04-07 22:59:07.000,-696,-448,-29
2026-04-07 22:59:07.048,-569,-533,97
2026-04-07 22:59:07.096,-402,-530,43
2026-04-07 22:59:07.146,-359,-487,-27
2026-04-07 22:59:07.193,-353,-404,-33
2026-04-07 22:59:07.194,-416,-443,-96
2026-04-07 22:59:07.246,-588,-387,-137
2026-04-07 22:59:07.291,-734,-361,-6
2026-04-07 22:59:07.340,-882,-354,42
2026-04-07 22:59:07.389,-940,-294,88
2026-04-07 22:59:07.489,-986,-181,128
2026-04-07 22:59:07.489,-911,189,52
2026-04-07 22:59:07.489,-711,442,-23
2026-04-07 22:59:07.536,-582,679,-79
2026-04-07 22:59:07.585,-589,496,-94
2026-04-07 22:59:07.632,-637,251,-145
2026-04-07 22:59:07.682,-846,75,-29
2026-04-07 22:59:07.682,-1048,28,73
2026-04-07 22:59:07.729,-1095,-42,-2
2026-04-07 22:59:07.829,-951,-49,-81
2026-04-07 22:59:07.831,-786,-163,-54
2026-04-07 22:59:07.876,-614,-392,-109
2026-04-07 22:59:07.930,-487,-396,-30
2026-04-07 22:59:07.930,-422,-390,-14
2026-04-07 22:59:07.974,-389,-281,-70
2026-04-07 22:59:08.024,-365,-292,-75
2026-04-07 22:59:08.072,-444,-333,-15
2026-04-07 22:59:08.118,-557,-307,1
2026-04-07 22:59:08.119,-676,-318,97
2026-04-07 22:59:08.167,-832,-274,135
2026-04-07 22:59:08.216,-958,-191,189
2026-04-07 22:59:08.265,-1003,-124,191
2026-04-07 22:59:08.315,-952,-100,127
2026-04-07 22:59:08.363,-896,-72,122
2026-04-07 22:59:08.363,-734,-29,57
2026-04-07 22:59:08.414,-551,99,27
2026-04-07 22:59:08.461,-418,201,21
2026-04-07 22:59:08.510,-428,229,85
2026-04-07 22:59:08.560,-511,255,101
2026-04-07 22:59:08.608,-610,59,73
2026-04-07 22:59:08.609,-695,-47,63
2026-04-07 22:59:08.657,-779,-160,-9
2026-04-07 22:59:08.705,-899,-281,61
2026-04-07 22:59:08.754,-862,-332,107
2026-04-07 22:59:08.802,-835,-425,195
2026-04-07 22:59:08.851,-719,-408,255
2026-04-07 22:59:08.852,-584,-360,288
2026-04-07 22:59:08.901,-511,-425,380
2026-04-07 22:59:08.948,-354,-463,379
2026-04-07 22:59:09.000,-291,-537,276
2026-04-07 22:59:09.049,-369,-378,258
2026-04-07 22:59:09.050,-550,-318,241
2026-04-07 22:59:09.097,-750,-297,246
2026-04-07 22:59:09.143,-874,-281,196
2026-04-07 22:59:09.193,-987,-276,179
2026-04-07 22:59:09.242,-1120,-36,146
2026-04-07 22:59:09.290,-923,393,98
2026-04-07 22:59:09.292,-593,407,182
2026-04-07 22:59:09.389,-467,592,168
2026-04-07 22:59:09.389,-543,348,173
2026-04-07 22:59:09.436,-663,161,134
2026-04-07 22:59:09.485,-790,58,127
2026-04-07 22:59:09.531,-893,-47,199
2026-04-07 22:59:09.533,-926,-245,168
2026-04-07 22:59:09.585,-852,-339,27
2026-04-07 22:59:09.632,-780,-393,40
2026-04-07 22:59:09.683,-654,-470,18
2026-04-07 22:59:09.729,-502,-506,58
2026-04-07 22:59:09.778,-383,-457,-42
2026-04-07 22:59:09.779,-392,-369,-72
2026-04-07 22:59:09.826,-440,-392,-50
2026-04-07 22:59:09.875,-517,-386,-21
2026-04-07 22:59:09.923,-641,-377,48
2026-04-07 22:59:09.973,-753,-392,55
2026-04-07 22:59:10.021,-874,-362,70
2026-04-07 22:59:10.022,-942,-245,92
2026-04-07 22:59:10.070,-1015,-130,158
2026-04-07 22:59:10.120,-888,358,37
2026-04-07 22:59:10.168,-782,527,45
2026-04-07 22:59:10.216,-640,666,-36
2026-04-07 22:59:10.217,-610,387,-60
2026-04-07 22:59:10.263,-691,287,-50
2026-04-07 22:59:10.313,-873,159,104
2026-04-07 22:59:10.363,-1111,117,240
2026-04-07 22:59:10.411,-1263,87,-154
2026-04-07 22:59:10.461,-972,-332,-282
2026-04-07 22:59:10.462,-663,-519,-176
2026-04-07 22:59:10.509,-536,-481,-181
2026-04-07 22:59:10.559,-494,-320,-155
2026-04-07 22:59:10.606,-414,-216,-152
2026-04-07 22:59:10.655,-395,-196,-84
2026-04-07 22:59:10.703,-365,-225,-126
2026-04-07 22:59:10.703,-442,-316,-111
2026-04-07 22:59:10.750,-612,-324,-44
2026-04-07 22:59:10.799,-704,-353,-70
2026-04-07 22:59:10.852,-855,-285,27
2026-04-07 22:59:10.901,-900,-244,92
2026-04-07 22:59:10.949,-979,-249,124
2026-04-07 22:59:10.953,-966,-229,101
2026-04-07 22:59:10.996,-932,-137,95
2026-04-07 22:59:11.045,-776,16,92
2026-04-07 22:59:11.095,-622,139,89
2026-04-07 22:59:11.140,-485,256,83
2026-04-07 22:59:11.141,-460,263,112
2026-04-07 22:59:11.193,-511,205,159
2026-04-07 22:59:11.240,-592,83,115
2026-04-07 22:59:11.290,-659,-50,40
2026-04-07 22:59:11.339,-764,-172,57
2026-04-07 22:59:11.387,-846,-304,58
2026-04-07 22:59:11.388,-890,-386,54
2026-04-07 22:59:11.435,-907,-449,150
2026-04-07 22:59:11.484,-782,-565,301
2026-04-07 22:59:11.533,-513,-538,329
2026-04-07 22:59:11.582,-387,-333,297
2026-04-07 22:59:11.633,-342,-296,355
2026-04-07 22:59:11.633,-330,-398,322
2026-04-07 22:59:11.680,-423,-416,253
2026-04-07 22:59:11.729,-566,-340,241
2026-04-07 22:59:11.827,-682,-258,220
2026-04-07 22:59:11.828,-783,-241,180
2026-04-07 22:59:11.874,-899,-201,174
2026-04-07 22:59:11.875,-913,-142,158
2026-04-07 22:59:11.923,-811,76,118
2026-04-07 22:59:11.971,-615,340,22
2026-04-07 22:59:12.020,-535,232,138
2026-04-07 22:59:12.069,-525,388,183
2026-04-07 22:59:12.118,-558,185,147
2026-04-07 22:59:12.118,-637,34,144
2026-04-07 22:59:12.165,-755,-35,162
2026-04-07 22:59:12.215,-821,-133,159
2026-04-07 22:59:12.262,-836,-234,134
2026-04-07 22:59:12.311,-817,-227,135
2026-04-07 22:59:12.313,-781,-244,9
2026-04-07 22:59:12.360,-618,-454,-51
2026-04-07 22:59:12.410,-444,-481,-59
2026-04-07 22:59:12.458,-379,-381,-90
2026-04-07 22:59:12.506,-362,-361,-137
2026-04-07 22:59:12.554,-435,-368,-151
2026-04-07 22:59:12.555,-534,-254,-48
2026-04-07 22:59:12.604,-595,-264,-21
2026-04-07 22:59:12.655,-692,-414,-27
2026-04-07 22:59:12.703,-845,-362,33
2026-04-07 22:59:12.752,-915,-318,165
2026-04-07 22:59:12.800,-953,-240,271
2026-04-07 22:59:12.800,-859,255,173
2026-04-07 22:59:12.848,-655,588,109
2026-04-07 22:59:12.898,-729,526,250
2026-04-07 22:59:12.947,-643,513,135
2026-04-07 22:59:12.996,-772,86,122
2026-04-07 22:59:13.044,-887,302,173
2026-04-07 22:59:13.044,-991,-223,128
2026-04-07 22:59:13.094,-1042,63,115
2026-04-07 22:59:13.191,-1035,-21,-152
2026-04-07 22:59:13.193,-771,-303,-191
2026-04-07 22:59:13.239,-615,-352,-178
2026-04-07 22:59:13.288,-511,-83,-63
2026-04-07 22:59:13.291,-388,-64,-56
2026-04-07 22:59:13.337,-246,-267,-198
2026-04-07 22:59:13.387,-263,-334,-172
2026-04-07 22:59:13.434,-341,-366,-146
2026-04-07 22:59:13.481,-417,-343,-124
2026-04-07 22:59:13.483,-567,-306,-59
2026-04-07 22:59:13.531,-748,-262,-26
2026-04-07 22:59:13.581,-870,-245,132
2026-04-07 22:59:13.629,-944,-281,113
2026-04-07 22:59:13.677,-1023,-241,28
2026-04-07 22:59:13.727,-1034,-215,67
2026-04-07 22:59:13.727,-874,-115,61
2026-04-07 22:59:13.775,-759,-35,-5
2026-04-07 22:59:13.824,-578,321,-36
2026-04-07 22:59:13.872,-477,296,74
2026-04-07 22:59:13.922,-525,250,19
2026-04-07 22:59:13.970,-596,61,-9
2026-04-07 22:59:13.973,-649,-15,33
2026-04-07 22:59:14.019,-753,-167,70
2026-04-07 22:59:14.067,-800,-258,49
2026-04-07 22:59:14.118,-874,-393,98
2026-04-07 22:59:14.165,-820,-523,261
2026-04-07 22:59:14.216,-627,-590,319
2026-04-07 22:59:14.216,-441,-370,316
2026-04-07 22:59:14.262,-363,-246,374
2026-04-07 22:59:14.313,-351,-366,347
2026-04-07 22:59:14.362,-431,-404,294
2026-04-07 22:59:14.409,-552,-317,252
2026-04-07 22:59:14.412,-687,-244,205
2026-04-07 22:59:14.460,-782,-219,180
2026-04-07 22:59:14.507,-801,-224,121
2026-04-07 22:59:14.555,-834,-196,65
2026-04-07 22:59:14.603,-882,-48,39
2026-04-07 22:59:14.650,-774,179,63
2026-04-07 22:59:14.652,-552,494,121
2026-04-07 22:59:14.701,-478,289,104
2026-04-07 22:59:14.750,-511,212,119
2026-04-07 22:59:14.799,-638,83,118
2026-04-07 22:59:14.848,-740,-3,134
2026-04-07 22:59:14.898,-815,-128,124
2026-04-07 22:59:14.898,-863,-251,71
2026-04-07 22:59:14.945,-855,-295,86
2026-04-07 22:59:14.996,-804,-318,74
2026-04-07 22:59:15.044,-699,-386,10
2026-04-07 22:59:15.093,-541,-469,10
2026-04-07 22:59:15.140,-399,-478,-112
2026-04-07 22:59:15.142,-398,-350,-190
2026-04-07 22:59:15.188,-391,-301,-114
2026-04-07 22:59:15.238,-500,-372,-27
2026-04-07 22:59:15.286,-584,-312,-54
2026-04-07 22:59:15.336,-665,-315,16
2026-04-07 22:59:15.382,-736,-307,51
2026-04-07 22:59:15.383,-797,-374,113
2026-04-07 22:59:15.433,-935,-491,358
2026-04-07 22:59:15.634,-964,-65,229
2026-04-07 22:59:15.645,-745,372,88
2026-04-07 22:59:15.645,-758,468,-190
2026-04-07 22:59:15.646,-541,324,-358
2026-04-07 22:59:15.646,-616,390,-231
2026-04-07 22:59:15.675,-631,111,-75
2026-04-07 22:59:15.725,-812,27,36
2026-04-07 22:59:15.774,-955,37,186
2026-04-07 22:59:15.872,-1007,-110,89
2026-04-07 22:59:15.873,-895,-283,74
2026-04-07 22:59:15.875,-722,-334,40
2026-04-07 22:59:15.918,-625,-265,40
2026-04-07 22:59:15.970,-509,-324,-44
2026-04-07 22:59:16.018,-383,-283,3
2026-04-07 22:59:16.065,-354,-330,-30
2026-04-07 22:59:16.067,-410,-348,-42
2026-04-07 22:59:16.115,-452,-285,10
2026-04-07 22:59:16.164,-536,-307,24
2026-04-07 22:59:16.214,-701,-307,71
2026-04-07 22:59:16.263,-811,-263,107
2026-04-07 22:59:16.310,-889,-261,98
2026-04-07 22:59:16.310,-942,-217,106
2026-04-07 22:59:16.359,-969,-163,89
2026-04-07 22:59:16.406,-904,-70,67
2026-04-07 22:59:16.457,-677,85,7
2026-04-07 22:59:16.504,-443,220,30
2026-04-07 22:59:16.506,-364,221,39
2026-04-07 22:59:16.555,-440,113,58
2026-04-07 22:59:16.604,-538,60,92
