Timestamp,X,Y,Z
2026-04-07 22:57:31.646,-445,187,-20
2026-04-07 22:57:31.690,-452,149,-47
2026-04-07 22:57:31.740,-460,160,-2
2026-04-07 22:57:31.789,-470,156,-51
2026-04-07 22:57:31.887,-438,175,54
2026-04-07 22:57:31.890,-407,-27,94
2026-04-07 22:57:31.893,-423,-187,177
2026-04-07 22:57:31.936,-520,-340,220
2026-04-07 22:57:31.985,-710,-622,125
2026-04-07 22:57:32.033,-1040,-622,122
2026-04-07 22:57:32.082,-1231,-761,65
2026-04-07 22:57:32.129,-1226,-829,49
2026-04-07 22:57:32.130,-1034,-572,33
2026-04-07 22:57:32.181,-779,-349,16
2026-04-07 22:57:32.227,-493,3,34
2026-04-07 22:57:32.275,-299,356,45
2026-04-07 22:57:32.324,-169,667,28
2026-04-07 22:57:32.377,-293,481,52
2026-04-07 22:57:32.378,-388,254,71
2026-04-07 22:57:32.424,-595,-133,67
2026-04-07 22:57:32.473,-916,-345,98
2026-04-07 22:57:32.522,-1327,-973,219
2026-04-07 22:57:32.568,-1409,-422,60
2026-04-07 22:57:32.569,-1424,-557,110
2026-04-07 22:57:32.621,-1086,-447,42
2026-04-07 22:57:32.666,-870,-313,-5
2026-04-07 22:57:32.714,-710,-253,21
2026-04-07 22:57:32.765,-542,-233,92
2026-04-07 22:57:32.812,-384,-252,144
2026-04-07 22:57:32.813,-279,-158,118
2026-04-07 22:57:32.861,-290,-211,259
2026-04-07 22:57:32.911,-310,-225,279
2026-04-07 22:57:32.959,-415,-201,267
2026-04-07 22:57:33.008,-603,-310,262
2026-04-07 22:57:33.056,-905,-365,229
2026-04-07 22:57:33.057,-1102,-367,113
2026-04-07 22:57:33.105,-1322,-532,33
2026-04-07 22:57:33.154,-1449,-544,22
2026-04-07 22:57:33.203,-1252,-548,-66
2026-04-07 22:57:33.300,-1109,-581,-32
2026-04-07 22:57:33.301,-863,-318,-24
2026-04-07 22:57:33.301,-502,-276,-11
2026-04-07 22:57:33.349,-219,-45,45
2026-04-07 22:57:33.399,-122,70,79
2026-04-07 22:57:33.447,-35,278,71
2026-04-07 22:57:33.495,-25,251,100
2026-04-07 22:57:33.543,-100,94,110
2026-04-07 22:57:33.545,-292,-55,98
2026-04-07 22:57:33.594,-561,-181,103
2026-04-07 22:57:33.641,-944,-466,100
2026-04-07 22:57:33.689,-1076,-463,15
2026-04-07 22:57:33.739,-1268,-446,1
2026-04-07 22:57:33.740,-1371,-545,82
2026-04-07 22:57:33.792,-1194,-548,94
2026-04-07 22:57:33.837,-856,-379,107
2026-04-07 22:57:33.887,-691,-184,106
2026-04-07 22:57:33.936,-589,-196,103
2026-04-07 22:57:33.984,-441,-160,128
2026-04-07 22:57:33.985,-309,-67,131
2026-04-07 22:57:34.032,-319,-28,164
2026-04-07 22:57:34.082,-280,-46,191
2026-04-07 22:57:34.129,-297,40,159
2026-04-07 22:57:34.178,-360,-66,71
2026-04-07 22:57:34.231,-423,-193,89
