Timestamp,X,Y,Z
2026-04-07 22:40:55.873,-181,-320,-370
2026-04-07 22:40:55.873,-176,-300,-349
2026-04-07 22:40:55.971,-163,-303,-354
2026-04-07 22:40:55.971,-179,-291,-351
2026-04-07 22:40:56.020,-173,-294,-357
2026-04-07 22:40:56.020,-164,-279,-360
2026-04-07 22:40:56.116,-179,-281,-355
2026-04-07 22:40:56.116,-183,-305,-394
2026-04-07 22:40:56.165,-196,-313,-424
2026-04-07 22:40:56.216,-196,-340,-442
2026-04-07 22:40:56.216,-200,-324,-448
2026-04-07 22:40:56.263,-196,-305,-409
2026-04-07 22:40:56.313,-173,-312,-388
2026-04-07 22:40:56.361,-166,-251,-370
2026-04-07 22:40:56.407,-138,-214,-358
2026-04-07 22:40:56.508,-163,-220,-285
2026-04-07 22:40:56.509,-182,-226,-346
2026-04-07 22:40:56.509,-205,-289,-379
2026-04-07 22:40:56.555,-216,-278,-387
2026-04-07 22:40:56.605,-195,-255,-398
2026-04-07 22:40:56.653,-210,-291,-557
2026-04-07 22:40:56.653,-249,-481,-867
2026-04-07 22:40:56.701,-266,-537,-935
2026-04-07 22:40:56.753,-158,-440,-768
2026-04-07 22:40:56.799,-92,-329,-431
2026-04-07 22:40:56.847,-75,-147,-148
2026-04-07 22:40:56.897,-88,-31,4
2026-04-07 22:40:56.897,-61,23,13
2026-04-07 22:40:56.946,-17,-4,52
2026-04-07 22:40:56.995,33,-40,3
2026-04-07 22:40:57.043,-23,-89,-14
2026-04-07 22:40:57.091,-170,-142,-193
2026-04-07 22:40:57.143,-353,-289,-588
2026-04-07 22:40:57.144,-468,-437,-1104
2026-04-07 22:40:57.188,-411,-401,-1049
2026-04-07 22:40:57.239,-344,-440,-950
2026-04-07 22:40:57.288,-274,-438,-913
2026-04-07 22:40:57.335,-267,-417,-746
2026-04-07 22:40:57.385,-232,-354,-618
2026-04-07 22:40:57.385,-157,-251,-354
2026-04-07 22:40:57.432,-98,-100,-146
2026-04-07 22:40:57.481,-27,-9,-21
2026-04-07 22:40:57.532,13,25,73
2026-04-07 22:40:57.580,65,43,116
2026-04-07 22:40:57.581,71,4,42
2026-04-07 22:40:57.628,24,-73,-27
2026-04-07 22:40:57.678,-132,-158,-237
2026-04-07 22:40:57.775,-360,-356,-509
2026-04-07 22:40:57.777,-516,-398,-1011
2026-04-07 22:40:57.821,-508,-477,-1002
2026-04-07 22:40:57.870,-436,-429,-955
2026-04-07 22:40:57.921,-336,-446,-923
2026-04-07 22:40:57.923,-313,-422,-867
2026-04-07 22:40:57.969,-285,-316,-810
2026-04-07 22:40:58.017,-213,-241,-603
2026-04-07 22:40:58.066,-210,-158,-207
2026-04-07 22:40:58.068,-154,14,-9
2026-04-07 22:40:58.116,-12,140,171
2026-04-07 22:40:58.163,63,101,223
2026-04-07 22:40:58.216,85,58,125
2026-04-07 22:40:58.262,1,-18,40
2026-04-07 22:40:58.309,-145,-116,-105
2026-04-07 22:40:58.310,-320,-245,-479
2026-04-07 22:40:58.358,-464,-459,-816
2026-04-07 22:40:58.410,-476,-444,-1050
2026-04-07 22:40:58.457,-357,-433,-1026
2026-04-07 22:40:58.506,-230,-449,-928
2026-04-07 22:40:58.554,-211,-446,-885
2026-04-07 22:40:58.554,-262,-441,-859
2026-04-07 22:40:58.602,-228,-349,-661
2026-04-07 22:40:58.650,-214,-272,-315
2026-04-07 22:40:58.700,-184,-98,-93
2026-04-07 22:40:58.748,-74,55,124
2026-04-07 22:40:58.748,42,71,250
2026-04-07 22:40:58.800,85,51,167
2026-04-07 22:40:58.848,22,-88,54
2026-04-07 22:40:58.895,-105,-220,-270
2026-04-07 22:40:58.946,-194,-439,-732
2026-04-07 22:40:58.993,-277,-548,-1129
2026-04-07 22:40:58.993,-361,-396,-1269
