Timestamp,X,Y,Z
2026-04-07 23:14:43.203,309,-401,-160
2026-04-07 23:14:43.251,304,-438,-79
2026-04-07 23:14:43.300,292,-438,-106
2026-04-07 23:14:43.348,310,-433,-145
2026-04-07 23:14:43.349,359,-352,-254
2026-04-07 23:14:43.397,414,-271,-325
2026-04-07 23:14:43.447,416,-249,-349
2026-04-07 23:14:43.496,416,-225,-358
2026-04-07 23:14:43.545,306,-320,-266
2026-04-07 23:14:43.593,-250,-826,690
2026-04-07 23:14:43.594,390,-396,-54
2026-04-07 23:14:43.643,159,-633,-62
2026-04-07 23:14:43.690,235,-501,-131
2026-04-07 23:14:43.837,239,-425,-111
2026-04-07 23:14:43.838,298,-388,-120
2026-04-07 23:14:43.838,373,-317,-231
2026-04-07 23:14:43.839,512,-216,-407
2026-04-07 23:14:43.887,546,-187,-482
2026-04-07 23:14:43.936,444,-246,-440
2026-04-07 23:14:43.985,333,-352,-306
2026-04-07 23:14:44.033,-282,-843,804
2026-04-07 23:14:44.033,399,-371,-36
2026-04-07 23:14:44.085,130,-651,-15
2026-04-07 23:14:44.132,263,-441,-88
2026-04-07 23:14:44.181,353,-318,-121
2026-04-07 23:14:44.228,409,-336,-216
2026-04-07 23:14:44.275,486,-236,-331
2026-04-07 23:14:44.276,498,-233,-421
2026-04-07 23:14:44.325,426,-269,-404
2026-04-07 23:14:44.375,345,-350,-305
2026-04-07 23:14:44.424,-280,-840,625
2026-04-07 23:14:44.473,504,-296,-133
2026-04-07 23:14:44.520,123,-563,-9
2026-04-07 23:14:44.521,238,-458,-38
2026-04-07 23:14:44.568,322,-315,-157
2026-04-07 23:14:44.620,388,-347,-140
2026-04-07 23:14:44.668,484,-283,-303
2026-04-07 23:14:44.716,530,-219,-428
2026-04-07 23:14:44.762,476,-252,-446
2026-04-07 23:14:44.763,407,-260,-352
2026-04-07 23:14:44.863,20,-722,729
2026-04-07 23:14:44.863,126,-309,-261
2026-04-07 23:14:44.960,168,-560,-88
2026-04-07 23:14:44.960,269,-467,-45
2026-04-07 23:14:44.961,297,-426,-117
2026-04-07 23:14:45.008,310,-412,4
2026-04-07 23:14:45.058,362,-372,-131
2026-04-07 23:14:45.105,469,-279,-237
2026-04-07 23:14:45.155,561,-222,-404
2026-04-07 23:14:45.201,520,-219,-458
2026-04-07 23:14:45.202,386,-313,-400
2026-04-07 23:14:45.251,101,-764,657
2026-04-07 23:14:45.299,57,-389,-143
2026-04-07 23:14:45.349,218,-472,-45
2026-04-07 23:14:45.448,227,-505,9
2026-04-07 23:14:45.449,337,-365,-169
2026-04-07 23:14:45.449,328,-388,-67
2026-04-07 23:14:45.495,414,-335,-167
2026-04-07 23:14:45.545,482,-250,-285
2026-04-07 23:14:45.593,532,-214,-410
2026-04-07 23:14:45.643,467,-287,-413
2026-04-07 23:14:45.689,346,-338,-318
2026-04-07 23:14:45.690,-310,-878,599
2026-04-07 23:14:45.739,486,-323,-15
2026-04-07 23:14:45.788,167,-499,77
2026-04-07 23:14:45.835,278,-404,-41
2026-04-07 23:14:45.884,288,-377,-96
2026-04-07 23:14:45.884,348,-378,-106
2026-04-07 23:14:45.933,434,-327,-216
2026-04-07 23:14:45.983,476,-260,-278
2026-04-07 23:14:46.031,518,-232,-328
2026-04-07 23:14:46.081,462,-250,-354
2026-04-07 23:14:46.128,344,-377,-299
2026-04-07 23:14:46.129,-423,-781,690
2026-04-07 23:14:46.177,540,-490,-115
2026-04-07 23:14:46.226,192,-527,-21
2026-04-07 23:14:46.276,301,-422,-75
2026-04-07 23:14:46.325,366,-359,-106
2026-04-07 23:14:46.371,431,-313,-146
2026-04-07 23:14:46.372,503,-238,-320
2026-04-07 23:14:46.422,484,-262,-406
2026-04-07 23:14:46.475,386,-306,-325
2026-04-07 23:14:46.519,-321,-857,501
2026-04-07 23:14:46.568,529,-321,-72
2026-04-07 23:14:46.617,161,-536,-3
2026-04-07 23:14:46.618,317,-394,-53
2026-04-07 23:14:46.715,305,-395,-81
2026-04-07 23:14:46.716,337,-371,-39
2026-04-07 23:14:46.763,375,-366,-151
2026-04-07 23:14:46.812,434,-326,-254
2026-04-07 23:14:46.812,487,-287,-360
2026-04-07 23:14:46.911,451,-298,-379
2026-04-07 23:14:46.912,344,-345,-297
2026-04-07 23:14:46.957,-212,-773,710
2026-04-07 23:14:47.007,440,-348,-97
2026-04-07 23:14:47.055,199,-533,33
2026-04-07 23:14:47.055,299,-404,-53
2026-04-07 23:14:47.105,302,-414,-53
2026-04-07 23:14:47.152,326,-385,-41
2026-04-07 23:14:47.202,389,-324,-215
2026-04-07 23:14:47.249,496,-249,-320
2026-04-07 23:14:47.299,512,-261,-387
2026-04-07 23:14:47.300,425,-305,-349
2026-04-07 23:14:47.348,301,-383,-263
2026-04-07 23:14:47.396,-271,-823,880
2026-04-07 23:14:47.445,426,-423,-143
2026-04-07 23:14:47.494,268,-473,42
2026-04-07 23:14:47.542,314,-406,-82
2026-04-07 23:14:47.543,319,-431,-35
2026-04-07 23:14:47.592,343,-396,-94
2026-04-07 23:14:47.641,367,-361,-204
2026-04-07 23:14:47.739,429,-297,-275
2026-04-07 23:14:47.740,500,-255,-345
2026-04-07 23:14:47.741,434,-304,-349
2026-04-07 23:14:47.786,313,-369,-255
2026-04-07 23:14:47.836,-201,-728,748
2026-04-07 23:14:47.885,334,-474,-97
2026-04-07 23:14:47.934,233,-520,12
2026-04-07 23:14:47.981,322,-424,-91
2026-04-07 23:14:47.982,297,-439,-18
2026-04-07 23:14:48.028,336,-407,-121
2026-04-07 23:14:48.077,402,-323,-222
2026-04-07 23:14:48.128,467,-250,-311
2026-04-07 23:14:48.176,479,-243,-388
2026-04-07 23:14:48.225,405,-265,-339
2026-04-07 23:14:48.225,307,-367,-248
2026-04-07 23:14:48.276,-159,-693,736
2026-04-07 23:14:48.323,301,-568,-60
2026-04-07 23:14:48.371,239,-485,42
2026-04-07 23:14:48.426,333,-412,-76
2026-04-07 23:14:48.518,317,-402,-38
2026-04-07 23:14:48.519,376,-358,-163
2026-04-07 23:14:48.520,416,-300,-291
2026-04-07 23:14:48.566,495,-260,-407
2026-04-07 23:14:48.616,420,-279,-358
2026-04-07 23:14:48.665,361,-288,-263
2026-04-07 23:14:48.666,-284,-813,595
2026-04-07 23:14:48.714,478,-363,68
2026-04-07 23:14:48.761,183,-576,67
2026-04-07 23:14:48.809,306,-533,-87
2026-04-07 23:14:48.859,269,-412,-51
2026-04-07 23:14:48.908,270,-413,-63
2026-04-07 23:14:48.908,360,-305,-213
2026-04-07 23:14:48.955,466,-255,-317
2026-04-07 23:14:49.006,477,-260,-385
2026-04-07 23:14:49.054,470,-279,-392
2026-04-07 23:14:49.103,364,-336,-285
2026-04-07 23:14:49.151,-64,-708,659
2026-04-07 23:14:49.152,202,-426,21
2026-04-07 23:14:49.200,141,-633,-12
2026-04-07 23:14:49.296,244,-500,-3
2026-04-07 23:14:49.297,284,-452,24
2026-04-07 23:14:49.347,309,-447,-33
2026-04-07 23:14:49.394,395,-361,-155
2026-04-07 23:14:49.395,459,-292,-276
2026-04-07 23:14:49.445,497,-269,-379
2026-04-07 23:14:49.493,457,-312,-361
2026-04-07 23:14:49.542,379,-323,-308
2026-04-07 23:14:49.590,47,-636,447
2026-04-07 23:14:49.591,63,-485,103
2026-04-07 23:14:49.639,139,-573,-45
2026-04-07 23:14:49.689,221,-470,-14
2026-04-07 23:14:49.737,291,-414,-53
2026-04-07 23:14:49.785,306,-428,-75
2026-04-07 23:14:49.833,350,-392,-154
2026-04-07 23:14:49.834,397,-349,-197
2026-04-07 23:14:49.882,488,-303,-337
2026-04-07 23:14:49.982,468,-305,-384
2026-04-07 23:14:49.983,424,-323,-384
2026-04-07 23:14:50.030,275,-403,-297
2026-04-07 23:14:50.078,-381,-904,565
2026-04-07 23:14:50.078,433,-439,-9
2026-04-07 23:14:50.127,174,-472,36
2026-04-07 23:14:50.174,282,-416,-38
2026-04-07 23:14:50.223,321,-381,-88
2026-04-07 23:14:50.272,414,-330,-176
2026-04-07 23:14:50.320,502,-260,-312
2026-04-07 23:14:50.321,480,-265,-385
2026-04-07 23:14:50.371,400,-320,-312
2026-04-07 23:14:50.419,226,-451,30
2026-04-07 23:14:50.467,-42,-595,523
2026-04-07 23:14:50.518,237,-613,-26
2026-04-07 23:14:50.567,252,-466,-38
2026-04-07 23:14:50.568,291,-422,-78
2026-04-07 23:14:50.664,313,-398,-82
2026-04-07 23:14:50.665,361,-345,-142
2026-04-07 23:14:50.710,405,-317,-215
2026-04-07 23:14:50.760,487,-264,-282
2026-04-07 23:14:50.761,505,-255,-327
2026-04-07 23:14:50.809,469,-301,-349
2026-04-07 23:14:50.858,387,-341,-249
2026-04-07 23:14:50.907,-20,-717,643
2026-04-07 23:14:50.955,162,-405,3
2026-04-07 23:14:51.004,149,-615,0
2026-04-07 23:14:51.005,250,-460,18
2026-04-07 23:14:51.053,322,-407,-20
2026-04-07 23:14:51.101,366,-370,-99
2026-04-07 23:14:51.150,402,-342,-126
2026-04-07 23:14:51.200,444,-313,-225
2026-04-07 23:14:51.248,457,-273,-282
2026-04-07 23:14:51.248,493,-277,-363
2026-04-07 23:14:51.298,375,-318,-336
2026-04-07 23:14:51.396,233,-456,-6
2026-04-07 23:14:51.398,-114,-707,559
2026-04-07 23:14:51.442,269,-584,-33
2026-04-07 23:14:51.492,250,-477,-15
2026-04-07 23:14:51.493,310,-396,-103
2026-04-07 23:14:51.540,345,-383,-79
2026-04-07 23:14:51.589,397,-327,-166
2026-04-07 23:14:51.640,426,-299,-245
2026-04-07 23:14:51.687,497,-268,-305
2026-04-07 23:14:51.688,470,-273,-354
2026-04-07 23:14:51.734,396,-303,-330
2026-04-07 23:14:51.783,201,-463,42
2026-04-07 23:14:51.832,-39,-628,459
2026-04-07 23:14:51.881,225,-611,-11
2026-04-07 23:14:51.930,227,-455,24
2026-04-07 23:14:51.930,286,-402,-62
2026-04-07 23:14:51.980,317,-390,-76
2026-04-07 23:14:52.027,417,-325,-185
2026-04-07 23:14:52.076,451,-269,-273
2026-04-07 23:14:52.125,493,-247,-343
2026-04-07 23:14:52.174,466,-254,-346
2026-04-07 23:14:52.175,370,-314,-266
2026-04-07 23:14:52.223,-128,-780,599
2026-04-07 23:14:52.273,323,-402,-96
2026-04-07 23:14:52.318,136,-620,-24
2026-04-07 23:14:52.368,251,-458,-29
2026-04-07 23:14:52.417,293,-445,-90
2026-04-07 23:14:52.418,316,-401,-72
2026-04-07 23:14:52.465,386,-363,-155
2026-04-07 23:14:52.514,431,-312,-269
2026-04-07 23:14:52.565,468,-286,-342
2026-04-07 23:14:52.613,447,-304,-373
2026-04-07 23:14:52.614,393,-321,-325
2026-04-07 23:14:52.661,215,-470,13
2026-04-07 23:14:52.711,-101,-692,513
2026-04-07 23:14:52.759,259,-546,-33
2026-04-07 23:14:52.808,223,-449,18
2026-04-07 23:14:52.856,292,-421,-54
2026-04-07 23:14:52.857,302,-403,-66
2026-04-07 23:14:52.905,377,-359,-176
2026-04-07 23:14:53.004,438,-321,-272
2026-04-07 23:14:53.005,482,-263,-366
2026-04-07 23:14:53.050,458,-297,-320
2026-04-07 23:14:53.101,378,-317,-276
2026-04-07 23:14:53.101,165,-544,183
2026-04-07 23:14:53.149,-51,-572,393
2026-04-07 23:14:53.198,239,-586,-47
2026-04-07 23:14:53.247,228,-472,-26
2026-04-07 23:14:53.296,299,-425,-87
2026-04-07 23:14:53.344,299,-392,-72
2026-04-07 23:14:53.345,386,-345,-215
2026-04-07 23:14:53.392,433,-290,-315
2026-04-07 23:14:53.442,486,-274,-395
2026-04-07 23:14:53.492,465,-263,-440
2026-04-07 23:14:53.539,335,-332,-312
2026-04-07 23:14:53.540,-160,-819,617
2026-04-07 23:14:53.587,322,-414,36
2026-04-07 23:14:53.635,156,-540,21
2026-04-07 23:14:53.685,264,-415,-5
2026-04-07 23:14:53.733,293,-410,-81
2026-04-07 23:14:53.833,346,-375,-139
2026-04-07 23:14:53.834,404,-331,-255
2026-04-07 23:14:53.834,457,-268,-330
2026-04-07 23:14:53.879,479,-249,-366
2026-04-07 23:14:53.930,395,-300,-320
2026-04-07 23:14:53.979,282,-385,-242
2026-04-07 23:14:54.028,-247,-881,684
2026-04-07 23:14:54.028,398,-440,-94
2026-04-07 23:14:54.076,218,-447,39
2026-04-07 23:14:54.124,281,-444,-76
2026-04-07 23:14:54.173,272,-431,-90
2026-04-07 23:14:54.272,327,-387,-99
2026-04-07 23:14:54.272,377,-320,-219
2026-04-07 23:14:54.273,474,-241,-330
2026-04-07 23:14:54.318,464,-263,-379
2026-04-07 23:14:54.367,402,-341,-376
2026-04-07 23:14:54.417,290,-411,-278
2026-04-07 23:14:54.464,-185,-829,707
2026-04-07 23:14:54.464,314,-510,-66
2026-04-07 23:14:54.513,203,-447,37
2026-04-07 23:14:54.561,277,-415,-85
2026-04-07 23:14:54.611,295,-394,-91
2026-04-07 23:14:54.662,346,-370,-181
2026-04-07 23:14:54.709,395,-327,-284
2026-04-07 23:14:54.710,475,-253,-361
2026-04-07 23:14:54.759,467,-273,-385
2026-04-07 23:14:54.805,400,-318,-345
2026-04-07 23:14:54.855,288,-387,-263
2026-04-07 23:14:54.905,-208,-847,702
2026-04-07 23:14:54.953,333,-508,-152
2026-04-07 23:14:54.954,176,-466,83
2026-04-07 23:14:55.002,308,-421,-103
2026-04-07 23:14:55.050,275,-406,-44
2026-04-07 23:14:55.099,408,-333,-169
2026-04-07 23:14:55.198,473,-249,-321
2026-04-07 23:14:55.199,465,-215,-397
2026-04-07 23:14:55.200,414,-261,-387
2026-04-07 23:14:55.246,283,-356,-270
2026-04-07 23:14:55.295,-104,-749,692
2026-04-07 23:14:55.344,292,-580,-127
2026-04-07 23:14:55.391,200,-433,61
2026-04-07 23:14:55.392,278,-416,-105
2026-04-07 23:14:55.440,297,-407,-94
2026-04-07 23:14:55.488,395,-370,-160
2026-04-07 23:14:55.538,469,-281,-269
2026-04-07 23:14:55.635,464,-245,-351
2026-04-07 23:14:55.636,455,-242,-355
2026-04-07 23:14:55.636,362,-303,-318
2026-04-07 23:14:55.684,-36,-910,760
2026-04-07 23:14:55.783,244,-166,-236
2026-04-07 23:14:55.785,167,-603,-88
2026-04-07 23:14:55.831,264,-447,12
2026-04-07 23:14:55.879,268,-491,-91
2026-04-07 23:14:55.880,268,-431,1
2026-04-07 23:14:55.928,334,-385,-112
2026-04-07 23:14:55.978,402,-315,-257
2026-04-07 23:14:56.026,557,-232,-407
2026-04-07 23:14:56.076,496,-249,-430
2026-04-07 23:14:56.123,363,-321,-370
2026-04-07 23:14:56.123,-155,-880,760
2026-04-07 23:14:56.172,387,-279,-272
2026-04-07 23:14:56.221,123,-560,12
2026-04-07 23:14:56.269,254,-420,3
2026-04-07 23:14:56.318,266,-426,-45
2026-04-07 23:14:56.318,305,-389,-39
2026-04-07 23:14:56.418,360,-353,-163
2026-04-07 23:14:56.419,433,-308,-255
2026-04-07 23:14:56.464,503,-255,-357
2026-04-07 23:14:56.514,456,-300,-394
2026-04-07 23:14:56.561,378,-358,-343
2026-04-07 23:14:56.561,-351,-871,596
2026-04-07 23:14:56.608,536,-375,-36
2026-04-07 23:14:56.658,148,-539,73
2026-04-07 23:14:56.706,261,-426,-27
2026-04-07 23:14:56.757,261,-399,-36
2026-04-07 23:14:56.805,302,-399,-66
2026-04-07 23:14:56.806,366,-349,-190
2026-04-07 23:14:56.855,411,-339,-246
2026-04-07 23:14:56.903,505,-270,-354
2026-04-07 23:14:56.953,475,-294,-370
2026-04-07 23:14:57.000,385,-330,-293
2026-04-07 23:14:57.048,63,-699,516
2026-04-07 23:14:57.049,107,-458,-21
2026-04-07 23:14:57.097,159,-585,-21
2026-04-07 23:14:57.146,227,-464,16
2026-04-07 23:14:57.195,292,-411,-90
2026-04-07 23:14:57.244,318,-369,-94
2026-04-07 23:14:57.297,361,-351,-179
2026-04-07 23:14:57.298,417,-295,-296
2026-04-07 23:14:57.392,516,-254,-403
2026-04-07 23:14:57.393,434,-303,-384
2026-04-07 23:14:57.488,324,-379,-323
2026-04-07 23:14:57.489,-324,-885,447
2026-04-07 23:14:57.490,493,-385,15
2026-04-07 23:14:57.535,182,-456,6
2026-04-07 23:14:57.585,268,-457,-30
2026-04-07 23:14:57.635,298,-429,-79
2026-04-07 23:14:57.684,335,-384,-126
2026-04-07 23:14:57.730,402,-332,-234
2026-04-07 23:14:57.731,460,-271,-363
2026-04-07 23:14:57.831,440,-304,-388
2026-04-07 23:14:57.832,395,-307,-379
2026-04-07 23:14:57.876,321,-383,-275
2026-04-07 23:14:57.926,-286,-856,579
2026-04-07 23:14:57.976,471,-392,22
2026-04-07 23:14:57.976,183,-487,42
2026-04-07 23:14:58.024,261,-417,-63
2026-04-07 23:14:58.073,284,-406,-99
2026-04-07 23:14:58.171,345,-375,-151
2026-04-07 23:14:58.218,423,-314,-275
2026-04-07 23:14:58.219,453,-277,-333
2026-04-07 23:14:58.219,462,-265,-388
2026-04-07 23:14:58.267,403,-297,-327
2026-04-07 23:14:58.317,302,-387,-239
2026-04-07 23:14:58.365,-265,-881,558
2026-04-07 23:14:58.414,432,-401,28
2026-04-07 23:14:58.415,192,-475,-17
2026-04-07 23:14:58.462,287,-414,-44
2026-04-07 23:14:58.512,309,-401,-76
2026-04-07 23:14:58.561,366,-363,-120
2026-04-07 23:14:58.608,395,-339,-248
2026-04-07 23:14:58.658,443,-292,-346
2026-04-07 23:14:58.659,467,-259,-392
2026-04-07 23:14:58.707,398,-296,-370
2026-04-07 23:14:58.755,304,-352,-285
2026-04-07 23:14:58.804,-288,-876,702
2026-04-07 23:14:58.853,455,-398,-63
2026-04-07 23:14:58.900,215,-460,36
2026-04-07 23:14:58.901,286,-405,-96
2026-04-07 23:14:59.001,275,-413,-63
2026-04-07 23:14:59.002,325,-393,-139
2026-04-07 23:14:59.097,407,-361,-252
2026-04-07 23:14:59.098,460,-300,-333
2026-04-07 23:14:59.194,476,-271,-387
2026-04-07 23:14:59.195,418,-274,-382
2026-04-07 23:14:59.195,322,-363,-264
2026-04-07 23:14:59.242,-220,-806,638
2026-04-07 23:14:59.292,453,-443,-87
2026-04-07 23:14:59.340,180,-475,68
2026-04-07 23:14:59.341,268,-443,-85
2026-04-07 23:14:59.388,265,-402,-41
2026-04-07 23:14:59.437,350,-361,-117
2026-04-07 23:14:59.484,417,-307,-263
2026-04-07 23:14:59.536,466,-271,-342
2026-04-07 23:14:59.582,464,-282,-407
2026-04-07 23:14:59.583,402,-305,-336
2026-04-07 23:14:59.633,282,-412,-254
2026-04-07 23:14:59.680,-353,-894,656
2026-04-07 23:14:59.731,461,-437,-67
2026-04-07 23:14:59.778,193,-442,49
2026-04-07 23:14:59.828,289,-435,-70
2026-04-07 23:14:59.829,286,-421,-90
2026-04-07 23:14:59.877,318,-396,-126
2026-04-07 23:14:59.926,368,-362,-224
2026-04-07 23:14:59.975,394,-317,-261
2026-04-07 23:15:00.023,471,-261,-370
2026-04-07 23:15:00.069,444,-326,-421
2026-04-07 23:15:00.069,368,-338,-345
2026-04-07 23:15:00.122,-167,-826,732
2026-04-07 23:15:00.169,378,-333,-225
2026-04-07 23:15:00.217,108,-535,34
2026-04-07 23:15:00.266,247,-465,-20
2026-04-07 23:15:00.266,284,-395,-105
2026-04-07 23:15:00.315,307,-410,-82
2026-04-07 23:15:00.364,359,-366,-201
2026-04-07 23:15:00.413,414,-323,-290
2026-04-07 23:15:00.461,470,-270,-352
2026-04-07 23:15:00.511,444,-291,-376
2026-04-07 23:15:00.512,373,-324,-309
2026-04-07 23:15:00.561,149,-565,216
2026-04-07 23:15:00.607,21,-556,271
2026-04-07 23:15:00.657,227,-572,-42
2026-04-07 23:15:00.705,243,-447,-3
2026-04-07 23:15:00.754,298,-405,-91
2026-04-07 23:15:00.755,305,-404,-112
2026-04-07 23:15:00.852,363,-351,-193
2026-04-07 23:15:00.852,396,-323,-269
2026-04-07 23:15:00.948,469,-268,-348
2026-04-07 23:15:00.948,442,-298,-351
2026-04-07 23:15:00.997,339,-357,-279
2026-04-07 23:15:00.997,-289,-814,471
2026-04-07 23:15:01.046,495,-413,1
2026-04-07 23:15:01.147,172,-475,21
2026-04-07 23:15:01.148,280,-425,-70
2026-04-07 23:15:01.194,295,-406,-87
2026-04-07 23:15:01.194,353,-363,-152
2026-04-07 23:15:01.242,411,-341,-257
2026-04-07 23:15:01.292,435,-288,-317
2026-04-07 23:15:01.339,421,-306,-348
2026-04-07 23:15:01.388,385,-342,-320
2026-04-07 23:15:01.435,185,-592,125
2026-04-07 23:15:01.437,125,-556,265
2026-04-07 23:15:01.484,200,-476,46
2026-04-07 23:15:01.585,268,-454,-14
2026-04-07 23:15:01.586,291,-389,-106
2026-04-07 23:15:01.681,319,-381,-87
2026-04-07 23:15:01.683,379,-360,-188
2026-04-07 23:15:01.683,389,-336,-233
2026-04-07 23:15:01.728,467,-260,-327
2026-04-07 23:15:01.778,440,-279,-349
2026-04-07 23:15:01.825,386,-301,-334
2026-04-07 23:15:01.876,298,-342,-251
2026-04-07 23:15:01.925,-88,-791,720
2026-04-07 23:15:01.926,282,-515,-35
2026-04-07 23:15:01.973,261,-454,-14
2026-04-07 23:15:02.070,318,-386,-90
2026-04-07 23:15:02.071,337,-375,-99
2026-04-07 23:15:02.119,376,-354,-179
2026-04-07 23:15:02.119,411,-333,-285
2026-04-07 23:15:02.167,449,-299,-349
2026-04-07 23:15:02.218,441,-282,-342
2026-04-07 23:15:02.266,352,-356,-282
2026-04-07 23:15:02.314,-267,-758,529
2026-04-07 23:15:02.363,531,-444,-53
2026-04-07 23:15:02.364,190,-499,25
2026-04-07 23:15:02.462,279,-456,-75
2026-04-07 23:15:02.463,282,-403,-75
2026-04-07 23:15:02.558,304,-397,-72
2026-04-07 23:15:02.559,379,-350,-204
2026-04-07 23:15:02.656,409,-318,-281
2026-04-07 23:15:02.657,485,-247,-391
2026-04-07 23:15:02.657,436,-253,-357
2026-04-07 23:15:02.705,357,-297,-315
2026-04-07 23:15:02.754,-51,-780,771
2026-04-07 23:15:02.800,239,-374,-206
2026-04-07 23:15:02.851,146,-602,-12
2026-04-07 23:15:02.852,260,-465,-47
2026-04-07 23:15:02.949,290,-404,-106
2026-04-07 23:15:02.950,325,-413,-76
2026-04-07 23:15:02.996,369,-361,-221
2026-04-07 23:15:03.043,453,-315,-312
2026-04-07 23:15:03.044,467,-281,-363
2026-04-07 23:15:03.092,433,-322,-370
2026-04-07 23:15:03.141,331,-351,-287
2026-04-07 23:15:03.192,-313,-838,511
2026-04-07 23:15:03.240,495,-422,1
2026-04-07 23:15:03.288,184,-450,25
2026-04-07 23:15:03.289,277,-419,-53
2026-04-07 23:15:03.337,295,-405,-87
2026-04-07 23:15:03.387,343,-377,-136
2026-04-07 23:15:03.435,402,-344,-237
2026-04-07 23:15:03.486,439,-300,-336
2026-04-07 23:15:03.531,465,-272,-367
2026-04-07 23:15:03.531,395,-283,-328
2026-04-07 23:15:03.631,90,-617,529
2026-04-07 23:15:03.632,140,-429,-60
2026-04-07 23:15:03.680,188,-597,-85
2026-04-07 23:15:03.729,239,-521,-35
2026-04-07 23:15:03.827,264,-438,-105
2026-04-07 23:15:03.828,233,-450,-44
2026-04-07 23:15:03.828,297,-365,-118
2026-04-07 23:15:03.974,393,-282,-258
2026-04-07 23:15:03.975,488,-254,-403
2026-04-07 23:15:03.976,465,-276,-443
2026-04-07 23:15:03.976,398,-316,-360
2026-04-07 23:15:04.019,248,-416,-209
2026-04-07 23:15:04.070,-163,-789,705
2026-04-07 23:15:04.119,210,-572,-91
2026-04-07 23:15:04.166,186,-473,-12
2026-04-07 23:15:04.215,257,-428,-67
2026-04-07 23:15:04.216,278,-410,-94
2026-04-07 23:15:04.264,354,-374,-198
2026-04-07 23:15:04.313,423,-297,-290
2026-04-07 23:15:04.362,450,-262,-373
