Timestamp,X,Y,Z
2026-04-07 22:39:18.663,-446,-217,61
2026-04-07 22:39:18.714,-446,-231,45
2026-04-07 22:39:18.763,-444,-238,49
2026-04-07 22:39:18.763,-440,-238,46
2026-04-07 22:39:18.812,-444,-272,40
2026-04-07 22:39:18.860,-443,-278,9
2026-04-07 22:39:18.909,-399,-325,24
2026-04-07 22:39:18.959,-388,-405,155
2026-04-07 22:39:19.007,-560,-396,472
2026-04-07 22:39:19.009,-692,-289,699
2026-04-07 22:39:19.056,-777,-247,790
2026-04-07 22:39:19.104,-743,-206,678
2026-04-07 22:39:19.153,-625,-193,549
2026-04-07 22:39:19.201,-539,-198,481
2026-04-07 22:39:19.201,-488,-191,404
2026-04-07 22:39:19.250,-410,-98,264
2026-04-07 22:39:19.297,-350,10,186
2026-04-07 22:39:19.346,-450,-131,65
2026-04-07 22:39:19.397,-440,-215,-57
2026-04-07 22:39:19.445,-216,-288,-302
2026-04-07 22:39:19.446,40,-527,-305
2026-04-07 22:39:19.495,12,-495,-157
2026-04-07 22:39:19.542,-78,-527,98
2026-04-07 22:39:19.605,-196,-492,199
2026-04-07 22:39:19.640,-283,-517,288
2026-04-07 22:39:19.690,-341,-481,347
2026-04-07 22:39:19.690,-473,-518,450
2026-04-07 22:39:19.738,-565,-473,526
2026-04-07 22:39:19.788,-654,-519,702
2026-04-07 22:39:19.837,-692,-329,751
2026-04-07 22:39:19.883,-606,-238,796
2026-04-07 22:39:19.933,-402,26,629
2026-04-07 22:39:19.934,-280,-1,489
2026-04-07 22:39:19.980,-181,49,404
2026-04-07 22:39:20.030,-121,24,374
2026-04-07 22:39:20.077,23,-5,374
2026-04-07 22:39:20.125,150,-71,444
2026-04-07 22:39:20.173,232,-74,429
2026-04-07 22:39:20.175,112,-31,519
2026-04-07 22:39:20.233,-35,12,592
2026-04-07 22:39:20.272,-123,0,619
2026-04-07 22:39:20.321,-194,-211,660
2026-04-07 22:39:20.370,-204,-217,532
2026-04-07 22:39:20.373,-289,-198,505
2026-04-07 22:39:20.419,-388,-209,549
2026-04-07 22:39:20.468,-407,-152,520
2026-04-07 22:39:20.517,-451,-62,589
2026-04-07 22:39:20.575,-482,-77,559
2026-04-07 22:39:20.615,-446,-170,407
2026-04-07 22:39:20.615,-362,-338,286
2026-04-07 22:39:20.662,-257,-508,300
2026-04-07 22:39:20.717,-148,-490,294
2026-04-07 22:39:20.761,-95,-423,356
2026-04-07 22:39:20.811,-68,-386,377
2026-04-07 22:39:20.862,-69,-307,456
2026-04-07 22:39:20.862,-68,-219,454
2026-04-07 22:39:20.910,-132,-225,483
2026-04-07 22:39:20.958,-134,-153,449
2026-04-07 22:39:21.005,-166,-247,443
2026-04-07 22:39:21.054,-192,-282,438
2026-04-07 22:39:21.153,-229,-323,417
2026-04-07 22:39:21.154,-234,-313,429
2026-04-07 22:39:21.154,-240,-214,463
2026-04-07 22:39:21.199,-232,-225,493
2026-04-07 22:39:21.249,-295,-181,646
2026-04-07 22:39:21.305,-256,-165,610
2026-04-07 22:39:21.346,-211,-259,616
2026-04-07 22:39:21.348,-166,-237,525
2026-04-07 22:39:21.396,-140,57,553
2026-04-07 22:39:21.445,-136,308,528
2026-04-07 22:39:21.492,-59,220,472
2026-04-07 22:39:21.540,42,-31,516
2026-04-07 22:39:21.541,202,-50,417
2026-04-07 22:39:21.588,224,-125,420
2026-04-07 22:39:21.642,234,-102,457
2026-04-07 22:39:21.688,220,-135,463
2026-04-07 22:39:21.737,158,-75,472
2026-04-07 22:39:21.785,66,-1,484
2026-04-07 22:39:21.785,-76,131,475
2026-04-07 22:39:21.836,-137,137,481
2026-04-07 22:39:21.882,-186,114,526
2026-04-07 22:39:21.932,-240,53,573
2026-04-07 22:39:21.981,-320,5,637
2026-04-07 22:39:22.030,-497,39,651
2026-04-07 22:39:22.030,-682,104,587
2026-04-07 22:39:22.079,-762,-71,495
2026-04-07 22:39:22.127,-838,-188,370
2026-04-07 22:39:22.174,-712,-500,101
2026-04-07 22:39:22.276,-354,-853,37
2026-04-07 22:39:22.320,-192,-687,79
2026-04-07 22:39:22.375,-124,-536,180
2026-04-07 22:39:22.375,-73,-444,297
2026-04-07 22:39:22.376,-57,-388,365
2026-04-07 22:39:22.420,-100,-348,396
2026-04-07 22:39:22.467,-134,-303,398
2026-04-07 22:39:22.468,-199,-454,329
2026-04-07 22:39:22.519,-354,-501,389
2026-04-07 22:39:22.568,-559,-457,459
2026-04-07 22:39:22.615,-691,-474,514
2026-04-07 22:39:22.663,-641,-232,589
2026-04-07 22:39:22.709,-507,13,586
2026-04-07 22:39:22.709,-395,197,538
2026-04-07 22:39:22.759,-275,209,469
2026-04-07 22:39:22.808,-259,150,532
2026-04-07 22:39:22.861,-177,262,496
2026-04-07 22:39:22.906,-44,176,483
2026-04-07 22:39:22.955,83,33,460
2026-04-07 22:39:22.957,156,-49,460
2026-04-07 22:39:23.004,154,-73,444
2026-04-07 22:39:23.052,179,-107,447
2026-04-07 22:39:23.102,164,-76,441
2026-04-07 22:39:23.152,122,-27,465
2026-04-07 22:39:23.198,91,18,449
2026-04-07 22:39:23.199,49,50,457
2026-04-07 22:39:23.249,3,-3,522
2026-04-07 22:39:23.295,-47,-126,680
2026-04-07 22:39:23.345,22,-140,675
2026-04-07 22:39:23.395,-95,-30,693
2026-04-07 22:39:23.444,-227,79,701
2026-04-07 22:39:23.445,-387,71,644
2026-04-07 22:39:23.491,-361,24,593
2026-04-07 22:39:23.542,-424,-37,516
2026-04-07 22:39:23.590,-574,-218,411
2026-04-07 22:39:23.637,-494,-594,173
2026-04-07 22:39:23.637,-257,-628,164
