Timestamp,X,Y,Z
2026-04-07 22:44:16.916,34,-304,-44
2026-04-07 22:44:16.920,41,-318,-72
2026-04-07 22:44:16.966,-160,-310,-3
2026-04-07 22:44:17.014,-500,-469,223
2026-04-07 22:44:17.065,-712,-377,401
2026-04-07 22:44:17.112,-902,-424,701
2026-04-07 22:44:17.160,-922,-460,547
2026-04-07 22:44:17.161,-907,-508,544
2026-04-07 22:44:17.210,-730,-444,440
2026-04-07 22:44:17.259,-518,-542,382
2026-04-07 22:44:17.308,-272,-537,243
2026-04-07 22:44:17.357,-51,-473,112
2026-04-07 22:44:17.405,78,-497,121
2026-04-07 22:44:17.406,150,-320,198
2026-04-07 22:44:17.458,168,-313,304
2026-04-07 22:44:17.503,153,-402,520
2026-04-07 22:44:17.551,196,-207,416
2026-04-07 22:44:17.601,277,68,277
2026-04-07 22:44:17.650,282,130,277
2026-04-07 22:44:17.650,254,50,237
2026-04-07 22:44:17.698,177,-134,173
2026-04-07 22:44:17.750,-170,-273,294
2026-04-07 22:44:17.797,-217,-474,210
2026-04-07 22:44:17.844,-56,-455,57
2026-04-07 22:44:17.894,-84,-482,42
2026-04-07 22:44:17.895,-169,-338,58
2026-04-07 22:44:17.943,-140,-190,270
2026-04-07 22:44:17.990,-51,-24,376
2026-04-07 22:44:18.040,127,22,295
2026-04-07 22:44:18.088,165,51,395
2026-04-07 22:44:18.092,230,-53,235
2026-04-07 22:44:18.136,216,-265,107
2026-04-07 22:44:18.186,156,-558,210
2026-04-07 22:44:18.236,104,-531,238
2026-04-07 22:44:18.284,-89,-654,238
2026-04-07 22:44:18.333,-294,-723,289
2026-04-07 22:44:18.334,-657,-447,325
2026-04-07 22:44:18.382,-1187,-572,490
2026-04-07 22:44:18.430,-1336,-505,674
2026-04-07 22:44:18.481,-1137,-206,668
2026-04-07 22:44:18.528,-951,-527,492
2026-04-07 22:44:18.576,-947,-662,492
2026-04-07 22:44:18.578,-652,-515,376
2026-04-07 22:44:18.625,-370,-556,347
2026-04-07 22:44:18.674,-65,-519,222
2026-04-07 22:44:18.724,64,-553,168
2026-04-07 22:44:18.772,148,-880,-296
2026-04-07 22:44:18.823,302,-73,-11
2026-04-07 22:44:18.824,345,176,262
2026-04-07 22:44:18.868,277,164,319
2026-04-07 22:44:18.919,246,187,250
2026-04-07 22:44:18.965,266,258,188
2026-04-07 22:44:19.016,-21,-115,270
2026-04-07 22:44:19.017,-455,-366,411
2026-04-07 22:44:19.063,-235,-300,414
2026-04-07 22:44:19.114,-6,-363,-63
2026-04-07 22:44:19.161,-139,-398,-54
2026-04-07 22:44:19.208,-209,-389,149
2026-04-07 22:44:19.258,-69,-171,255
2026-04-07 22:44:19.260,75,-3,240
2026-04-07 22:44:19.307,122,78,249
2026-04-07 22:44:19.357,299,8,199
2026-04-07 22:44:19.404,334,-175,191
2026-04-07 22:44:19.455,125,-441,353
2026-04-07 22:44:19.503,-67,-532,285
2026-04-07 22:44:19.504,-156,-816,362
2026-04-07 22:44:19.551,-300,-433,465
2026-04-07 22:44:19.598,-600,-549,486
2026-04-07 22:44:19.648,-1025,-558,513
2026-04-07 22:44:19.699,-1195,-208,828
2026-04-07 22:44:19.746,-943,-82,924
2026-04-07 22:44:19.746,-718,-461,571
2026-04-07 22:44:19.797,-845,-514,579
2026-04-07 22:44:19.843,-793,-550,493
2026-04-07 22:44:19.893,-610,-682,367
2026-04-07 22:44:19.942,-299,-776,204
