Timestamp,X,Y,Z
2026-04-07 22:37:36.483,-473,-252,125
2026-04-07 22:37:36.533,-458,-174,131
2026-04-07 22:37:36.583,-440,-95,109
2026-04-07 22:37:36.631,-466,-12,82
2026-04-07 22:37:36.680,-503,0,-44
2026-04-07 22:37:36.680,-551,8,-209
2026-04-07 22:37:36.727,-547,-44,-163
2026-04-07 22:37:36.777,-539,-187,-140
2026-04-07 22:37:36.827,-569,-247,-115
2026-04-07 22:37:36.877,-554,-326,-76
2026-04-07 22:37:36.877,-547,-305,-42
2026-04-07 22:37:36.922,-544,-301,-63
2026-04-07 22:37:36.972,-511,-251,-82
2026-04-07 22:37:37.021,-523,-255,-97
2026-04-07 22:37:37.070,-542,-122,-50
2026-04-07 22:37:37.119,-601,-81,-70
2026-04-07 22:37:37.120,-610,130,-44
2026-04-07 22:37:37.168,-553,233,-84
2026-04-07 22:37:37.216,-535,286,-63
2026-04-07 22:37:37.264,-607,189,12
2026-04-07 22:37:37.314,-683,98,68
2026-04-07 22:37:37.361,-730,48,-45
2026-04-07 22:37:37.362,-727,-59,-6
2026-04-07 22:37:37.412,-677,-160,-99
2026-04-07 22:37:37.463,-612,-192,-158
2026-04-07 22:37:37.508,-632,-270,-185
2026-04-07 22:37:37.560,-659,-332,-228
2026-04-07 22:37:37.657,-606,-338,-299
2026-04-07 22:37:37.657,-502,-313,-272
2026-04-07 22:37:37.658,-549,-389,-233
2026-04-07 22:37:37.704,-655,-505,-290
2026-04-07 22:37:37.754,-714,-496,-230
2026-04-07 22:37:37.802,-811,-437,-148
2026-04-07 22:37:37.850,-942,-362,-79
2026-04-07 22:37:37.850,-937,-273,-84
2026-04-07 22:37:37.899,-878,-157,27
2026-04-07 22:37:37.947,-783,-134,165
2026-04-07 22:37:37.995,-603,-21,217
2026-04-07 22:37:38.047,-429,55,176
2026-04-07 22:37:38.048,-351,26,223
2026-04-07 22:37:38.094,-318,23,225
2026-04-07 22:37:38.142,-370,-30,180
2026-04-07 22:37:38.191,-432,-49,138
2026-04-07 22:37:38.239,-513,-154,149
2026-04-07 22:37:38.290,-631,-129,217
2026-04-07 22:37:38.290,-833,-256,121
2026-04-07 22:37:38.337,-1012,-358,140
2026-04-07 22:37:38.386,-999,-389,86
