Timestamp,X,Y,Z
2026-04-07 23:16:28.600,-4,-665,-131
2026-04-07 23:16:28.649,-9,-622,109
2026-04-07 23:16:28.697,30,-747,189
2026-04-07 23:16:28.698,54,-778,316
2026-04-07 23:16:28.747,45,-749,463
2026-04-07 23:16:28.843,71,-617,534
2026-04-07 23:16:28.844,116,-448,493
2026-04-07 23:16:28.893,153,-256,376
2026-04-07 23:16:28.942,168,-179,179
2026-04-07 23:16:28.943,208,-89,131
2026-04-07 23:16:28.991,171,-128,33
2026-04-07 23:16:29.040,103,-211,-44
2026-04-07 23:16:29.088,34,-678,-200
2026-04-07 23:16:29.136,-56,-621,-29
2026-04-07 23:16:29.185,-2,-745,173
2026-04-07 23:16:29.185,38,-755,235
2026-04-07 23:16:29.234,40,-799,374
2026-04-07 23:16:29.284,59,-731,516
2026-04-07 23:16:29.335,83,-531,522
2026-04-07 23:16:29.383,132,-305,437
2026-04-07 23:16:29.383,159,-276,301
2026-04-07 23:16:29.431,194,-171,161
2026-04-07 23:16:29.479,197,-121,67
2026-04-07 23:16:29.527,167,-176,-14
2026-04-07 23:16:29.578,80,-423,-123
2026-04-07 23:16:29.625,-53,-699,-133
2026-04-07 23:16:29.625,-39,-710,74
2026-04-07 23:16:29.676,-2,-673,199
2026-04-07 23:16:29.723,-7,-749,390
2026-04-07 23:16:29.774,21,-696,483
2026-04-07 23:16:29.820,52,-631,577
2026-04-07 23:16:29.871,91,-452,531
2026-04-07 23:16:29.871,123,-258,395
2026-04-07 23:16:29.919,154,-197,297
2026-04-07 23:16:29.967,208,-45,216
2026-04-07 23:16:30.016,234,-5,118
2026-04-07 23:16:30.066,190,-153,7
2026-04-07 23:16:30.163,100,-454,-62
2026-04-07 23:16:30.164,18,-558,-15
2026-04-07 23:16:30.164,-60,-636,177
2026-04-07 23:16:30.210,-64,-787,180
2026-04-07 23:16:30.260,-4,-701,359
2026-04-07 23:16:30.308,38,-790,425
2026-04-07 23:16:30.357,66,-699,508
2026-04-07 23:16:30.358,109,-461,520
2026-04-07 23:16:30.406,136,-271,446
2026-04-07 23:16:30.455,161,-205,319
2026-04-07 23:16:30.505,217,-86,186
2026-04-07 23:16:30.552,215,-71,112
2026-04-07 23:16:30.552,182,-181,31
2026-04-07 23:16:30.601,95,-385,30
2026-04-07 23:16:30.649,-20,-646,-18
2026-04-07 23:16:30.701,-76,-692,144
2026-04-07 23:16:30.746,-45,-633,273
2026-04-07 23:16:30.796,-31,-755,335
2026-04-07 23:16:30.797,-18,-678,468
2026-04-07 23:16:30.845,-5,-591,608
2026-04-07 23:16:30.894,38,-487,619
2026-04-07 23:16:30.942,84,-267,492
2026-04-07 23:16:30.991,101,-163,413
2026-04-07 23:16:31.040,161,-95,286
2026-04-07 23:16:31.041,203,-65,121
2026-04-07 23:16:31.088,206,-126,37
2026-04-07 23:16:31.138,113,-365,-20
2026-04-07 23:16:31.185,40,-487,10
2026-04-07 23:16:31.235,-22,-660,101
2026-04-07 23:16:31.283,-38,-799,208
2026-04-07 23:16:31.283,-7,-681,346
2026-04-07 23:16:31.379,-18,-753,462
2026-04-07 23:16:31.427,-25,-595,653
2026-04-07 23:16:31.427,25,-461,610
2026-04-07 23:16:31.478,67,-338,540
2026-04-07 23:16:31.479,94,-153,444
2026-04-07 23:16:31.527,149,-106,216
2026-04-07 23:16:31.576,221,-22,79
2026-04-07 23:16:31.625,223,-50,92
2026-04-07 23:16:31.673,130,-271,46
2026-04-07 23:16:31.722,58,-666,-73
2026-04-07 23:16:31.723,15,-670,173
2026-04-07 23:16:31.771,56,-620,350
2026-04-07 23:16:31.820,66,-681,374
2026-04-07 23:16:31.868,47,-745,487
2026-04-07 23:16:31.917,61,-532,625
2026-04-07 23:16:31.966,95,-399,559
2026-04-07 23:16:31.966,107,-251,478
2026-04-07 23:16:32.015,137,-201,321
2026-04-07 23:16:32.063,202,-88,217
2026-04-07 23:16:32.113,219,-139,186
2026-04-07 23:16:32.160,244,-100,86
2026-04-07 23:16:32.209,155,-200,134
2026-04-07 23:16:32.210,31,-598,132
2026-04-07 23:16:32.259,-74,-736,152
2026-04-07 23:16:32.307,-24,-728,261
2026-04-07 23:16:32.360,-12,-620,422
2026-04-07 23:16:32.408,46,-657,508
2026-04-07 23:16:32.409,61,-585,590
2026-04-07 23:16:32.452,116,-482,663
2026-04-07 23:16:32.552,119,-398,546
2026-04-07 23:16:32.553,147,-270,340
2026-04-07 23:16:32.648,208,-128,189
2026-04-07 23:16:32.648,236,0,74
2026-04-07 23:16:32.649,200,-103,83
2026-04-07 23:16:32.697,92,-403,-47
2026-04-07 23:16:32.746,63,-590,-145
2026-04-07 23:16:32.795,-53,-607,-18
2026-04-07 23:16:32.893,1,-714,250
2026-04-07 23:16:32.895,73,-823,288
2026-04-07 23:16:32.895,71,-812,416
