Timestamp,X,Y,Z
2026-04-07 23:18:22.627,-529,-727,-20
2026-04-07 23:18:22.676,-431,-572,-36
2026-04-07 23:18:22.772,-204,-425,-23
2026-04-07 23:18:22.773,-65,-430,-85
2026-04-07 23:18:22.774,-148,-522,-102
2026-04-07 23:18:22.822,-178,-538,-164
2026-04-07 23:18:22.872,-142,-393,-81
2026-04-07 23:18:22.921,-134,-139,-20
2026-04-07 23:18:22.969,-157,76,95
2026-04-07 23:18:22.970,-225,372,170
2026-04-07 23:18:23.018,-248,674,201
2026-04-07 23:18:23.067,-285,849,370
2026-04-07 23:18:23.116,-270,1036,383
2026-04-07 23:18:23.163,-193,948,404
2026-04-07 23:18:23.212,-157,756,382
2026-04-07 23:18:23.213,-150,603,326
2026-04-07 23:18:23.261,-115,500,261
2026-04-07 23:18:23.312,-77,250,309
2026-04-07 23:18:23.360,-59,108,256
2026-04-07 23:18:23.408,-35,-35,195
2026-04-07 23:18:23.457,-20,-146,158
2026-04-07 23:18:23.458,-5,-263,103
2026-04-07 23:18:23.556,33,-378,91
2026-04-07 23:18:23.557,90,-491,15
2026-04-07 23:18:23.602,181,-646,-67
2026-04-07 23:18:23.652,239,-796,-81
2026-04-07 23:18:23.652,273,-944,-109
2026-04-07 23:18:23.699,286,-995,-99
2026-04-07 23:18:23.751,268,-960,-105
2026-04-07 23:18:23.800,185,-833,-106
2026-04-07 23:18:23.847,103,-669,-78
2026-04-07 23:18:23.896,69,-488,-5
2026-04-07 23:18:23.897,63,-286,27
2026-04-07 23:18:23.945,63,-138,98
2026-04-07 23:18:23.994,33,-5,150
2026-04-07 23:18:24.092,-8,175,208
2026-04-07 23:18:24.093,-44,303,232
2026-04-07 23:18:24.189,-76,340,268
2026-04-07 23:18:24.190,-76,443,340
2026-04-07 23:18:24.190,-84,571,383
2026-04-07 23:18:24.237,-40,718,408
2026-04-07 23:18:24.286,25,809,466
2026-04-07 23:18:24.385,63,869,440
2026-04-07 23:18:24.386,82,802,449
2026-04-07 23:18:24.386,105,674,449
2026-04-07 23:18:24.431,126,513,334
2026-04-07 23:18:24.481,123,299,318
2026-04-07 23:18:24.580,132,179,270
2026-04-07 23:18:24.581,119,57,159
2026-04-07 23:18:24.581,162,-33,121
2026-04-07 23:18:24.627,217,-139,85
2026-04-07 23:18:24.675,251,-270,61
2026-04-07 23:18:24.725,301,-488,-60
2026-04-07 23:18:24.824,394,-601,-170
2026-04-07 23:18:24.826,402,-655,-124
2026-04-07 23:18:24.826,422,-651,-45
2026-04-07 23:18:24.971,402,-554,-20
2026-04-07 23:18:24.972,353,-428,19
2026-04-07 23:18:24.973,306,-271,135
2026-04-07 23:18:25.017,252,-97,191
2026-04-07 23:18:25.066,168,32,237
2026-04-07 23:18:25.067,89,98,255
2026-04-07 23:18:25.115,23,275,292
2026-04-07 23:18:25.163,-49,396,280
2026-04-07 23:18:25.211,-119,533,362
2026-04-07 23:18:25.261,-158,642,361
2026-04-07 23:18:25.308,-176,737,371
2026-04-07 23:18:25.309,-174,735,379
2026-04-07 23:18:25.357,-175,726,396
2026-04-07 23:18:25.458,-145,700,410
2026-04-07 23:18:25.460,-121,649,396
2026-04-07 23:18:25.506,-32,546,325
2026-04-07 23:18:25.554,32,412,312
2026-04-07 23:18:25.555,95,298,295
2026-04-07 23:18:25.602,146,168,204
2026-04-07 23:18:25.650,162,86,186
2026-04-07 23:18:25.701,147,-40,132
2026-04-07 23:18:25.750,145,-76,91
2026-04-07 23:18:25.750,143,-264,68
2026-04-07 23:18:25.798,158,-323,109
2026-04-07 23:18:25.846,216,-433,65
2026-04-07 23:18:25.894,265,-511,27
2026-04-07 23:18:25.944,302,-607,-30
2026-04-07 23:18:26.042,350,-706,-108
2026-04-07 23:18:26.043,355,-769,-96
2026-04-07 23:18:26.044,337,-791,-131
2026-04-07 23:18:26.090,292,-733,-127
2026-04-07 23:18:26.187,242,-633,-85
2026-04-07 23:18:26.188,236,-502,10
2026-04-07 23:18:26.236,205,-349,76
2026-04-07 23:18:26.237,192,-202,153
2026-04-07 23:18:26.333,181,-95,195
2026-04-07 23:18:26.334,128,30,207
2026-04-07 23:18:26.381,105,168,225
2026-04-07 23:18:26.431,65,256,226
2026-04-07 23:18:26.529,-32,331,232
2026-04-07 23:18:26.530,-122,408,252
2026-04-07 23:18:26.531,-225,540,268
2026-04-07 23:18:26.576,-285,655,295
2026-04-07 23:18:26.626,-280,772,297
2026-04-07 23:18:26.674,-256,802,319
2026-04-07 23:18:26.675,-203,769,335
2026-04-07 23:18:26.721,-212,695,347
2026-04-07 23:18:26.772,-166,667,329
2026-04-07 23:18:26.821,-107,542,334
2026-04-07 23:18:26.870,-42,424,288
2026-04-07 23:18:26.917,46,281,179
2026-04-07 23:18:26.918,104,170,174
2026-04-07 23:18:26.967,181,114,115
2026-04-07 23:18:27.016,188,26,103
2026-04-07 23:18:27.065,118,-140,98
2026-04-07 23:18:27.163,60,-315,140
2026-04-07 23:18:27.164,85,-415,121
2026-04-07 23:18:27.164,144,-474,73
2026-04-07 23:18:27.210,181,-619,16
2026-04-07 23:18:27.261,246,-713,-56
2026-04-07 23:18:27.309,293,-805,-56
2026-04-07 23:18:27.358,313,-825,-48
2026-04-07 23:18:27.406,284,-809,-29
2026-04-07 23:18:27.407,245,-744,3
2026-04-07 23:18:27.454,226,-608,33
2026-04-07 23:18:27.502,253,-508,25
2026-04-07 23:18:27.551,250,-387,54
2026-04-07 23:18:27.602,238,-259,104
2026-04-07 23:18:27.602,241,-189,144
2026-04-07 23:18:27.649,193,-95,179
2026-04-07 23:18:27.698,150,6,217
2026-04-07 23:18:27.748,91,114,244
2026-04-07 23:18:27.795,71,342,253
2026-04-07 23:18:27.956,52,403,240
2026-04-07 23:18:27.957,-42,435,312
2026-04-07 23:18:27.957,-69,474,288
2026-04-07 23:18:27.958,-95,539,335
2026-04-07 23:18:27.992,-112,569,362
2026-04-07 23:18:28.039,-96,557,377
2026-04-07 23:18:28.088,-98,574,353
2026-04-07 23:18:28.088,-68,605,359
2026-04-07 23:18:28.187,-62,623,313
2026-04-07 23:18:28.188,-78,603,315
2026-04-07 23:18:28.234,-49,615,304
2026-04-07 23:18:28.284,-26,546,325
2026-04-07 23:18:28.332,11,467,352
2026-04-07 23:18:28.333,32,328,380
2026-04-07 23:18:28.381,56,211,368
2026-04-07 23:18:28.430,75,90,310
2026-04-07 23:18:28.479,63,-72,249
2026-04-07 23:18:28.527,63,-204,167
2026-04-07 23:18:28.576,80,-305,112
2026-04-07 23:18:28.577,137,-375,88
2026-04-07 23:18:28.626,170,-469,106
2026-04-07 23:18:28.722,219,-618,74
2026-04-07 23:18:28.722,283,-745,109
2026-04-07 23:18:28.821,292,-824,167
2026-04-07 23:18:28.823,277,-789,210
2026-04-07 23:18:28.823,225,-732,201
2026-04-07 23:18:28.871,164,-611,217
2026-04-07 23:18:28.918,111,-494,213
2026-04-07 23:18:28.967,139,-297,225
2026-04-07 23:18:29.016,150,-146,210
2026-04-07 23:18:29.063,172,41,238
2026-04-07 23:18:29.063,144,147,156
2026-04-07 23:18:29.113,90,248,143
2026-04-07 23:18:29.162,57,378,171
2026-04-07 23:18:29.210,-38,499,268
2026-04-07 23:18:29.258,-63,625,277
2026-04-07 23:18:29.258,-76,768,312
2026-04-07 23:18:29.308,-85,840,379
2026-04-07 23:18:29.361,-70,838,328
2026-04-07 23:18:29.404,-22,746,292
2026-04-07 23:18:29.455,43,633,288
2026-04-07 23:18:29.501,58,494,282
2026-04-07 23:18:29.501,76,390,289
2026-04-07 23:18:29.551,86,265,367
2026-04-07 23:18:29.598,122,247,277
2026-04-07 23:18:29.698,181,156,146
2026-04-07 23:18:29.699,209,9,113
2026-04-07 23:18:29.699,220,-97,51
2026-04-07 23:18:29.746,208,-196,45
2026-04-07 23:18:29.795,220,-347,49
2026-04-07 23:18:29.844,234,-544,76
2026-04-07 23:18:29.892,351,-661,-30
2026-04-07 23:18:30.042,403,-759,-15
2026-04-07 23:18:30.043,422,-747,27
2026-04-07 23:18:30.044,395,-698,58
2026-04-07 23:18:30.044,319,-610,110
2026-04-07 23:18:30.087,283,-483,137
2026-04-07 23:18:30.137,248,-316,147
2026-04-07 23:18:30.185,235,-165,177
2026-04-07 23:18:30.186,198,-37,161
2026-04-07 23:18:30.235,140,99,205
2026-04-07 23:18:30.332,93,229,162
2026-04-07 23:18:30.333,61,336,204
2026-04-07 23:18:30.380,-15,376,211
2026-04-07 23:18:30.429,-77,476,268
2026-04-07 23:18:30.430,-93,599,306
2026-04-07 23:18:30.478,-103,702,377
2026-04-07 23:18:30.525,-79,775,380
2026-04-07 23:18:30.576,-65,819,364
2026-04-07 23:18:30.623,-45,760,370
2026-04-07 23:18:30.624,-9,649,322
2026-04-07 23:18:30.673,18,491,295
2026-04-07 23:18:30.720,55,346,300
2026-04-07 23:18:30.769,82,278,241
2026-04-07 23:18:30.819,99,226,216
2026-04-07 23:18:30.918,139,112,146
2026-04-07 23:18:30.919,180,-10,167
2026-04-07 23:18:30.919,210,-120,156
2026-04-07 23:18:30.964,273,-281,276
2026-04-07 23:18:31.013,335,-469,235
2026-04-07 23:18:31.064,372,-638,103
2026-04-07 23:18:31.110,400,-699,82
2026-04-07 23:18:31.160,353,-644,106
2026-04-07 23:18:31.160,337,-478,176
2026-04-07 23:18:31.208,291,-316,207
2026-04-07 23:18:31.257,296,-126,207
2026-04-07 23:18:31.306,264,-47,213
2026-04-07 23:18:31.353,225,16,235
2026-04-07 23:18:31.354,182,169,319
2026-04-07 23:18:31.405,149,292,386
2026-04-07 23:18:31.451,103,400,331
2026-04-07 23:18:31.502,52,506,297
2026-04-07 23:18:31.550,3,571,368
2026-04-07 23:18:31.551,-52,640,370
2026-04-07 23:18:31.601,-57,694,382
2026-04-07 23:18:31.648,-66,724,420
2026-04-07 23:18:31.696,-40,647,386
2026-04-07 23:18:31.744,12,526,326
