Timestamp,X,Y,Z
2026-04-07 22:53:08.245,-48,-47,-485
2026-04-07 22:53:08.295,-48,-40,-468
2026-04-07 22:53:08.344,-35,-64,-500
2026-04-07 22:53:08.392,-27,-72,-509
2026-04-07 22:53:08.443,-24,-71,-530
2026-04-07 22:53:08.443,-11,-68,-539
2026-04-07 22:53:08.488,-15,-50,-533
2026-04-07 22:53:08.539,3,-30,-491
2026-04-07 22:53:08.586,-5,-15,-462
2026-04-07 22:53:08.637,-2,-1,-506
2026-04-07 22:53:08.687,-8,-23,-494
2026-04-07 22:53:08.687,-15,-28,-507
2026-04-07 22:53:08.735,-32,-38,-527
2026-04-07 22:53:08.783,-30,-40,-512
2026-04-07 22:53:08.832,-49,-39,-516
2026-04-07 22:53:08.882,-38,-9,-503
2026-04-07 22:53:08.978,-21,-1,-489
2026-04-07 22:53:08.980,-8,-13,-501
2026-04-07 22:53:08.983,4,-11,-494
2026-04-07 22:53:09.026,5,-2,-501
2026-04-07 22:53:09.076,4,-33,-443
2026-04-07 22:53:09.122,23,-20,-433
2026-04-07 22:53:09.123,-7,-44,-452
2026-04-07 22:53:09.173,-35,-67,-473
2026-04-07 22:53:09.223,-35,-2,-512
2026-04-07 22:53:09.270,-52,-18,-662
2026-04-07 22:53:09.320,-65,-4,-834
2026-04-07 22:53:09.368,-95,1,-894
2026-04-07 22:53:09.371,-92,-53,-980
2026-04-07 22:53:09.416,-65,-126,-824
2026-04-07 22:53:09.464,81,-234,-650
2026-04-07 22:53:09.515,32,-106,-384
2026-04-07 22:53:09.564,-4,10,-21
2026-04-07 22:53:09.612,65,-9,118
2026-04-07 22:53:09.614,96,23,161
2026-04-07 22:53:09.661,100,105,134
2026-04-07 22:53:09.710,71,88,94
2026-04-07 22:53:09.757,0,-21,-67
2026-04-07 22:53:09.807,-78,-57,-111
2026-04-07 22:53:09.856,-248,-140,-308
2026-04-07 22:53:09.857,-384,-299,-935
2026-04-07 22:53:09.904,-699,-483,-1184
2026-04-07 22:53:09.954,-619,-247,-1064
2026-04-07 22:53:10.001,-389,-158,-1040
2026-04-07 22:53:10.049,-218,-180,-780
2026-04-07 22:53:10.099,-138,-126,-700
2026-04-07 22:53:10.099,-187,-160,-683
2026-04-07 22:53:10.149,-190,-98,-703
2026-04-07 22:53:10.195,-85,-128,-700
2026-04-07 22:53:10.244,21,-115,-700
2026-04-07 22:53:10.293,39,-255,-557
2026-04-07 22:53:10.294,-66,-232,-190
2026-04-07 22:53:10.343,-75,27,146
2026-04-07 22:53:10.391,15,48,356
2026-04-07 22:53:10.440,111,75,241
2026-04-07 22:53:10.490,145,180,106
2026-04-07 22:53:10.536,82,16,15
2026-04-07 22:53:10.537,2,-136,-45
2026-04-07 22:53:10.587,-97,-160,-152
2026-04-07 22:53:10.636,-181,-164,-456
2026-04-07 22:53:10.685,-423,-264,-750
2026-04-07 22:53:10.733,-616,-426,-998
2026-04-07 22:53:10.782,-487,-324,-978
2026-04-07 22:53:10.784,-390,-305,-821
2026-04-07 22:53:10.830,-294,-347,-698
2026-04-07 22:53:10.881,-284,-301,-756
2026-04-07 22:53:10.926,-330,-270,-831
2026-04-07 22:53:10.976,-347,-298,-934
2026-04-07 22:53:11.026,-333,-314,-1059
2026-04-07 22:53:11.026,-230,-259,-810
2026-04-07 22:53:11.074,-232,-58,-465
2026-04-07 22:53:11.122,-285,19,-129
2026-04-07 22:53:11.170,-234,86,289
2026-04-07 22:53:11.220,-95,169,392
2026-04-07 22:53:11.221,9,236,307
2026-04-07 22:53:11.268,66,86,67
2026-04-07 22:53:11.318,49,-139,-18
2026-04-07 22:53:11.366,-114,-201,-81
2026-04-07 22:53:11.418,-238,-240,-455
2026-04-07 22:53:11.513,-285,-214,-1061
2026-04-07 22:53:11.516,-677,-483,-923
2026-04-07 22:53:11.516,-514,-353,-1187
2026-04-07 22:53:11.561,-263,-245,-1108
2026-04-07 22:53:11.611,-119,-237,-867
2026-04-07 22:53:11.659,-158,-233,-874
2026-04-07 22:53:11.707,-250,-241,-868
2026-04-07 22:53:11.709,-178,-313,-990
2026-04-07 22:53:11.757,-136,-252,-706
2026-04-07 22:53:11.807,-279,-32,-394
2026-04-07 22:53:11.854,-301,-93,291
2026-04-07 22:53:11.903,-98,420,666
2026-04-07 22:53:11.949,120,361,222
2026-04-07 22:53:11.950,56,193,113
2026-04-07 22:53:12.003,76,-29,-69
2026-04-07 22:53:12.050,-9,-112,-70
2026-04-07 22:53:12.101,-176,-149,-290
2026-04-07 22:53:12.146,-235,-152,-900
2026-04-07 22:53:12.246,-502,-309,-722
2026-04-07 22:53:12.247,-786,-116,-879
2026-04-07 22:53:12.248,-726,-156,-1080
2026-04-07 22:53:12.291,-486,-237,-880
2026-04-07 22:53:12.341,-307,-240,-770
2026-04-07 22:53:12.390,-310,-228,-859
2026-04-07 22:53:12.392,-357,-191,-839
2026-04-07 22:53:12.493,-227,-251,-812
2026-04-07 22:53:12.493,-116,-348,-633
2026-04-07 22:53:12.539,-246,-208,-400
2026-04-07 22:53:12.585,-313,-1,-155
2026-04-07 22:53:12.635,-58,115,43
2026-04-07 22:53:12.636,87,86,243
2026-04-07 22:53:12.683,96,155,322
2026-04-07 22:53:12.732,134,209,155
2026-04-07 22:53:12.779,78,-22,58
2026-04-07 22:53:12.828,-36,-285,-73
2026-04-07 22:53:12.876,-184,-330,-96
2026-04-07 22:53:12.878,-324,-252,-352
2026-04-07 22:53:12.928,-454,-167,-1023
2026-04-07 22:53:12.976,-557,-370,-981
2026-04-07 22:53:13.074,-606,-116,-1088
2026-04-07 22:53:13.076,-466,-236,-1165
2026-04-07 22:53:13.121,-351,-232,-879
2026-04-07 22:53:13.122,-361,-232,-803
2026-04-07 22:53:13.169,-420,-209,-856
2026-04-07 22:53:13.217,-418,-299,-882
2026-04-07 22:53:13.268,-283,-509,-767
2026-04-07 22:53:13.314,-318,-217,-418
2026-04-07 22:53:13.315,-298,25,-124
2026-04-07 22:53:13.366,-133,-12,514
2026-04-07 22:53:13.416,12,80,571
2026-04-07 22:53:13.462,86,233,298
2026-04-07 22:53:13.513,101,197,49
2026-04-07 22:53:13.559,21,-35,-59
2026-04-07 22:53:13.560,-139,-151,-102
2026-04-07 22:53:13.609,-328,-144,-266
2026-04-07 22:53:13.658,-419,-103,-795
2026-04-07 22:53:13.756,-522,-215,-852
2026-04-07 22:53:13.757,-428,-268,-1143
2026-04-07 22:53:13.806,-302,-35,-1140
2026-04-07 22:53:13.807,-210,-133,-1037
2026-04-07 22:53:13.853,-179,-112,-934
2026-04-07 22:53:13.902,-219,-112,-795
2026-04-07 22:53:13.950,-298,-81,-849
2026-04-07 22:53:14.001,-408,-62,-821
2026-04-07 22:53:14.049,-327,-63,-1037
2026-04-07 22:53:14.049,-284,-178,-836
2026-04-07 22:53:14.097,-284,-192,-549
2026-04-07 22:53:14.146,-255,36,-266
2026-04-07 22:53:14.195,-167,55,48
2026-04-07 22:53:14.243,-52,-29,405
2026-04-07 22:53:14.291,52,49,402
2026-04-07 22:53:14.292,171,222,167
2026-04-07 22:53:14.393,173,103,-12
2026-04-07 22:53:14.393,117,-5,-79
2026-04-07 22:53:14.439,-50,-126,-120
2026-04-07 22:53:14.488,-151,-6,-401
2026-04-07 22:53:14.490,-201,-77,-833
2026-04-07 22:53:14.537,-391,-287,-1032
2026-04-07 22:53:14.584,-527,25,-1031
2026-04-07 22:53:14.633,-395,-118,-1199
2026-04-07 22:53:14.682,-220,-151,-978
2026-04-07 22:53:14.728,-175,-216,-859
2026-04-07 22:53:14.729,-221,-222,-821
2026-04-07 22:53:14.780,-313,-289,-920
2026-04-07 22:53:14.828,-253,-607,-929
2026-04-07 22:53:14.876,-141,-310,-498
2026-04-07 22:53:14.926,-188,65,-231
2026-04-07 22:53:14.976,-156,165,377
2026-04-07 22:53:14.976,42,281,481
2026-04-07 22:53:15.024,120,296,186
2026-04-07 22:53:15.072,42,143,19
2026-04-07 22:53:15.119,-16,-9,-6
2026-04-07 22:53:15.169,-54,-167,-118
2026-04-07 22:53:15.220,-45,-263,-330
2026-04-07 22:53:15.220,-95,-732,-789
2026-04-07 22:53:15.317,-388,-539,-442
2026-04-07 22:53:15.318,-407,-684,-639
2026-04-07 22:53:15.364,-174,-580,-749
2026-04-07 22:53:15.413,-82,-477,-563
2026-04-07 22:53:15.461,-74,-397,-601
2026-04-07 22:53:15.461,-119,-306,-709
2026-04-07 22:53:15.561,-177,-199,-849
2026-04-07 22:53:15.567,-239,-296,-1005
2026-04-07 22:53:15.607,-327,-374,-1047
2026-04-07 22:53:15.656,-229,-407,-889
2026-04-07 22:53:15.656,-194,-407,-604
2026-04-07 22:53:15.704,-201,-197,-340
2026-04-07 22:53:15.755,-192,26,-155
2026-04-07 22:53:15.803,-57,128,167
2026-04-07 22:53:15.853,75,199,417
2026-04-07 22:53:15.899,126,247,277
2026-04-07 22:53:15.902,91,178,144
2026-04-07 22:53:15.950,75,66,-41
2026-04-07 22:53:15.998,60,-38,-131
2026-04-07 22:53:16.047,1,-106,-157
2026-04-07 22:53:16.095,-178,-198,-236
2026-04-07 22:53:16.143,-275,-463,-809
2026-04-07 22:53:16.143,-633,-341,-755
2026-04-07 22:53:16.193,-686,-486,-958
2026-04-07 22:53:16.242,-475,-270,-1119
2026-04-07 22:53:16.292,-339,-282,-839
2026-04-07 22:53:16.339,-196,-254,-712
2026-04-07 22:53:16.388,-203,-220,-752
2026-04-07 22:53:16.388,-250,-216,-804
2026-04-07 22:53:16.437,-317,-285,-914
2026-04-07 22:53:16.486,-204,-325,-818
2026-04-07 22:53:16.535,-68,-223,-576
2026-04-07 22:53:16.583,-75,-56,-293
2026-04-07 22:53:16.586,-101,-64,-35
2026-04-07 22:53:16.632,-59,37,177
2026-04-07 22:53:16.680,32,124,377
2026-04-07 22:53:16.729,92,143,256
2026-04-07 22:53:16.780,127,133,158
2026-04-07 22:53:16.826,121,27,-29
2026-04-07 22:53:16.827,-21,-60,-24
2026-04-07 22:53:16.876,-200,-162,-158
2026-04-07 22:53:16.926,-298,-198,-309
2026-04-07 22:53:16.975,-411,-67,-825
2026-04-07 22:53:17.021,-551,-156,-1192
2026-04-07 22:53:17.070,-810,-90,-977
2026-04-07 22:53:17.071,-535,-176,-1152
2026-04-07 22:53:17.125,-272,-243,-883
2026-04-07 22:53:17.168,-178,-185,-612
2026-04-07 22:53:17.216,-204,-240,-539
2026-04-07 22:53:17.267,-257,-161,-740
2026-04-07 22:53:17.314,-328,-190,-798
2026-04-07 22:53:17.315,-286,-244,-800
2026-04-07 22:53:17.364,-178,-365,-668
2026-04-07 22:53:17.410,-83,-263,-318
2026-04-07 22:53:17.461,-16,-189,-115
2026-04-07 22:53:17.508,-57,-115,-53
2026-04-07 22:53:17.556,3,9,182
2026-04-07 22:53:17.556,126,45,315
2026-04-07 22:53:17.608,223,126,228
2026-04-07 22:53:17.654,217,94,91
2026-04-07 22:53:17.706,105,-92,-12
2026-04-07 22:53:17.751,-26,-206,-48
2026-04-07 22:53:17.752,-146,-164,-112
2026-04-07 22:53:17.802,-363,-242,-303
2026-04-07 22:53:17.851,-606,-314,-885
2026-04-07 22:53:17.899,-952,-374,-747
2026-04-07 22:53:17.949,-871,-374,-673
2026-04-07 22:53:17.995,-592,-253,-685
2026-04-07 22:53:17.999,-424,-320,-569
2026-04-07 22:53:18.048,-304,-267,-528
2026-04-07 22:53:18.093,-295,-225,-554
2026-04-07 22:53:18.141,-348,-207,-624
2026-04-07 22:53:18.193,-405,-202,-726
2026-04-07 22:53:18.241,-434,-210,-776
2026-04-07 22:53:18.242,-397,-217,-776
2026-04-07 22:53:18.288,-246,-428,-756
2026-04-07 22:53:18.338,-191,-338,-776
2026-04-07 22:53:18.388,-292,-71,-388
2026-04-07 22:53:18.435,-248,6,-54
2026-04-07 22:53:18.484,-79,89,153
2026-04-07 22:53:18.484,102,292,362
2026-04-07 22:53:18.533,167,254,297
2026-04-07 22:53:18.584,175,192,149
2026-04-07 22:53:18.632,117,35,-29
2026-04-07 22:53:18.682,38,-131,-41
2026-04-07 22:53:18.683,-113,-154,-94
2026-04-07 22:53:18.728,-243,-161,-334
2026-04-07 22:53:18.777,-388,-172,-773
2026-04-07 22:53:18.877,-725,-463,-755
2026-04-07 22:53:18.880,-839,-323,-809
2026-04-07 22:53:18.922,-670,-300,-850
2026-04-07 22:53:18.922,-477,-307,-573
2026-04-07 22:53:18.973,-362,-272,-525
2026-04-07 22:53:19.021,-326,-288,-554
2026-04-07 22:53:19.069,-338,-237,-563
2026-04-07 22:53:19.118,-370,-264,-576
2026-04-07 22:53:19.165,-404,-270,-695
2026-04-07 22:53:19.166,-368,-272,-716
2026-04-07 22:53:19.216,-273,-397,-764
2026-04-07 22:53:19.265,-247,-514,-640
2026-04-07 22:53:19.314,-170,-390,-473
2026-04-07 22:53:19.363,-95,-277,-254
2026-04-07 22:53:19.410,-58,-9,-82
2026-04-07 22:53:19.410,-32,115,13
2026-04-07 22:53:19.459,61,182,300
2026-04-07 22:53:19.508,119,271,390
2026-04-07 22:53:19.557,155,257,207
2026-04-07 22:53:19.606,55,87,73
2026-04-07 22:53:19.652,-94,-64,-2
2026-04-07 22:53:19.654,-169,-137,-218
2026-04-07 22:53:19.701,-217,-174,-658
2026-04-07 22:53:19.751,-330,-568,-1050
2026-04-07 22:53:19.802,-802,28,-935
2026-04-07 22:53:19.848,-458,-245,-992
2026-04-07 22:53:19.896,-220,-416,-894
2026-04-07 22:53:19.898,-147,-356,-555
2026-04-07 22:53:19.948,-86,-262,-509
2026-04-07 22:53:19.995,-74,-262,-624
2026-04-07 22:53:20.045,-146,-204,-768
2026-04-07 22:53:20.091,-235,-103,-984
2026-04-07 22:53:20.093,-321,-56,-1137
2026-04-07 22:53:20.143,-254,-85,-1172
2026-04-07 22:53:20.191,-226,-387,-719
2026-04-07 22:53:20.241,-219,-97,-445
2026-04-07 22:53:20.289,-264,72,-216
2026-04-07 22:53:20.336,-199,72,495
2026-04-07 22:53:20.338,25,98,472
2026-04-07 22:53:20.385,52,333,361
2026-04-07 22:53:20.433,74,159,65
2026-04-07 22:53:20.484,78,17,16
2026-04-07 22:53:20.583,-4,-62,-75
2026-04-07 22:53:20.583,-130,-107,-193
2026-04-07 22:53:20.585,-238,-115,-279
2026-04-07 22:53:20.634,-308,-219,-885
2026-04-07 22:53:20.678,-405,-253,-1035
2026-04-07 22:53:20.727,-595,-161,-1077
2026-04-07 22:53:20.774,-370,-189,-1247
2026-04-07 22:53:20.824,-188,-175,-980
2026-04-07 22:53:20.826,-129,-183,-753
2026-04-07 22:53:20.872,-168,-172,-797
2026-04-07 22:53:20.925,-216,-191,-947
2026-04-07 22:53:20.973,-271,-193,-894
2026-04-07 22:53:21.021,-107,-581,-911
2026-04-07 22:53:21.022,-111,-209,-573
2026-04-07 22:53:21.067,-225,32,-215
2026-04-07 22:53:21.115,-165,-51,65
2026-04-07 22:53:21.165,-33,43,303
2026-04-07 22:53:21.215,30,308,401
2026-04-07 22:53:21.261,75,199,199
2026-04-07 22:53:21.267,81,96,42
2026-04-07 22:53:21.312,30,-57,-27
2026-04-07 22:53:21.361,-93,-133,-79
2026-04-07 22:53:21.409,-198,-107,-219
2026-04-07 22:53:21.458,-299,-127,-317
2026-04-07 22:53:21.506,-578,-256,-710
2026-04-07 22:53:21.507,-1004,-244,-1290
2026-04-07 22:53:21.555,-957,-368,-1131
2026-04-07 22:53:21.604,-622,-308,-922
2026-04-07 22:53:21.653,-343,-395,-714
2026-04-07 22:53:21.704,-240,-272,-750
2026-04-07 22:53:21.748,-344,-285,-722
2026-04-07 22:53:21.751,-323,-227,-722
2026-04-07 22:53:21.799,-217,-240,-622
2026-04-07 22:53:21.847,-41,-64,-467
2026-04-07 22:53:21.897,-23,-94,-375
2026-04-07 22:53:21.946,-8,-100,-109
2026-04-07 22:53:21.946,71,-129,43
2026-04-07 22:53:21.996,83,-85,229
2026-04-07 22:53:22.044,127,79,413
2026-04-07 22:53:22.093,123,87,243
2026-04-07 22:53:22.140,-2,-6,60
2026-04-07 22:53:22.189,-146,-106,-85
2026-04-07 22:53:22.190,-253,-206,-175
2026-04-07 22:53:22.238,-410,-204,-373
2026-04-07 22:53:22.288,-560,-167,-843
2026-04-07 22:53:22.337,-838,-325,-676
2026-04-07 22:53:22.384,-942,-393,-741
2026-04-07 22:53:22.432,-703,-309,-694
2026-04-07 22:53:22.435,-490,-380,-633
2026-04-07 22:53:22.480,-387,-376,-542
2026-04-07 22:53:22.531,-321,-310,-619
2026-04-07 22:53:22.578,-400,-267,-703
2026-04-07 22:53:22.629,-498,-226,-798
2026-04-07 22:53:22.675,-505,-154,-806
2026-04-07 22:53:22.676,-444,-223,-888
2026-04-07 22:53:22.726,-355,-283,-725
2026-04-07 22:53:22.775,-276,-88,-403
2026-04-07 22:53:22.823,-150,96,-167
2026-04-07 22:53:22.872,-124,110,306
2026-04-07 22:53:22.921,15,107,385
2026-04-07 22:53:22.921,102,226,349
2026-04-07 22:53:22.968,102,125,132
2026-04-07 22:53:23.019,11,-24,-18
2026-04-07 22:53:23.067,-110,-94,-127
2026-04-07 22:53:23.165,-236,-144,-282
2026-04-07 22:53:23.167,-350,-202,-606
2026-04-07 22:53:23.169,-596,-124,-935
2026-04-07 22:53:23.211,-747,-338,-882
2026-04-07 22:53:23.262,-628,-147,-929
2026-04-07 22:53:23.312,-488,-294,-764
2026-04-07 22:53:23.360,-313,-375,-628
2026-04-07 22:53:23.362,-212,-318,-600
2026-04-07 22:53:23.410,-243,-280,-625
2026-04-07 22:53:23.458,-317,-191,-816
2026-04-07 22:53:23.506,-407,-127,-923
2026-04-07 22:53:23.556,-317,-220,-1158
2026-04-07 22:53:23.602,-227,-371,-971
2026-04-07 22:53:23.603,-411,-176,-522
2026-04-07 22:53:23.653,-487,10,-111
2026-04-07 22:53:23.701,-370,63,383
2026-04-07 22:53:23.748,-122,258,750
2026-04-07 22:53:23.799,130,405,358
2026-04-07 22:53:23.845,148,248,98
2026-04-07 22:53:23.848,9,-71,-69
2026-04-07 22:53:23.894,-124,-220,-115
2026-04-07 22:53:23.944,-236,-269,-258
2026-04-07 22:53:23.991,-356,-215,-759
2026-04-07 22:53:24.044,-611,-291,-768
2026-04-07 22:53:24.044,-763,-188,-861
2026-04-07 22:53:24.089,-656,-237,-953
2026-04-07 22:53:24.138,-451,-356,-743
2026-04-07 22:53:24.187,-279,-369,-576
2026-04-07 22:53:24.238,-216,-339,-537
2026-04-07 22:53:24.285,-252,-309,-622
2026-04-07 22:53:24.287,-343,-242,-680
2026-04-07 22:53:24.335,-365,-242,-753
2026-04-07 22:53:24.382,-329,-217,-722
2026-04-07 22:53:24.433,-245,-250,-680
2026-04-07 22:53:24.480,-188,-285,-595
2026-04-07 22:53:24.527,-165,-402,-519
2026-04-07 22:53:24.529,-107,-283,-255
2026-04-07 22:53:24.577,-58,-90,-115
2026-04-07 22:53:24.627,16,36,54
2026-04-07 22:53:24.675,145,90,270
2026-04-07 22:53:24.723,299,151,279
2026-04-07 22:53:24.772,268,121,177
2026-04-07 22:53:24.774,205,53,67
2026-04-07 22:53:24.822,63,-62,3
2026-04-07 22:53:24.869,-97,-116,-105
2026-04-07 22:53:24.921,-202,-176,-198
2026-04-07 22:53:24.967,-285,-304,-661
2026-04-07 22:53:25.068,-504,-417,-824
2026-04-07 22:53:25.069,-699,-416,-780
2026-04-07 22:53:25.070,-609,-154,-867
2026-04-07 22:53:25.116,-441,-169,-824
2026-04-07 22:53:25.164,-336,-165,-640
2026-04-07 22:53:25.212,-204,-152,-575
2026-04-07 22:53:25.214,-191,-158,-598
2026-04-07 22:53:25.263,-234,-139,-661
2026-04-07 22:53:25.309,-283,-184,-738
2026-04-07 22:53:25.359,-307,-210,-636
2026-04-07 22:53:25.407,-125,-351,-762
2026-04-07 22:53:25.458,-128,-349,-732
2026-04-07 22:53:25.458,-181,-175,-506
2026-04-07 22:53:25.504,-148,-103,-194
2026-04-07 22:53:25.552,-44,-64,4
2026-04-07 22:53:25.603,95,5,48
2026-04-07 22:53:25.650,255,75,112
2026-04-07 22:53:25.698,291,57,85
2026-04-07 22:53:25.698,214,37,36
2026-04-07 22:53:25.748,107,-110,22
2026-04-07 22:53:25.796,20,-100,-69
2026-04-07 22:53:25.847,-97,-115,-193
2026-04-07 22:53:25.895,-214,-167,-510
2026-04-07 22:53:25.943,-318,-198,-987
2026-04-07 22:53:25.943,-668,-290,-847
2026-04-07 22:53:25.992,-771,-84,-861
2026-04-07 22:53:26.039,-472,-255,-916
2026-04-07 22:53:26.139,-237,-247,-695
2026-04-07 22:53:26.142,-142,-220,-628
2026-04-07 22:53:26.142,-191,-220,-606
2026-04-07 22:53:26.186,-243,-200,-744
2026-04-07 22:53:26.235,-262,-200,-716
2026-04-07 22:53:26.284,-93,-327,-785
2026-04-07 22:53:26.335,-61,-393,-578
2026-04-07 22:53:26.382,-112,-223,-346
2026-04-07 22:53:26.383,-119,-45,-160
2026-04-07 22:53:26.429,61,15,76
2026-04-07 22:53:26.478,157,-21,97
2026-04-07 22:53:26.527,123,-24,144
2026-04-07 22:53:26.576,123,49,164
2026-04-07 22:53:26.625,93,40,92
2026-04-07 22:53:26.627,-32,-90,10
2026-04-07 22:53:26.673,-191,-240,-84
2026-04-07 22:53:26.723,-310,-244,-333
2026-04-07 22:53:26.770,-473,-226,-871
2026-04-07 22:53:26.821,-676,-431,-825
2026-04-07 22:53:26.869,-792,-112,-709
2026-04-07 22:53:26.869,-641,-178,-1055
2026-04-07 22:53:26.917,-445,-170,-704
2026-04-07 22:53:26.966,-212,-155,-601
2026-04-07 22:53:27.019,-161,-187,-539
2026-04-07 22:53:27.067,-159,-202,-540
2026-04-07 22:53:27.112,-243,-180,-671
2026-04-07 22:53:27.114,-354,-175,-801
2026-04-07 22:53:27.162,-348,-181,-947
2026-04-07 22:53:27.212,-337,-392,-1059
2026-04-07 22:53:27.261,-371,-431,-735
2026-04-07 22:53:27.306,-304,-233,-360
2026-04-07 22:53:27.308,-299,-21,-88
2026-04-07 22:53:27.357,-145,105,128
2026-04-07 22:53:27.406,38,140,321
2026-04-07 22:53:27.454,140,429,386
