Timestamp,X,Y,Z
2026-04-07 22:51:06.760,177,-199,262
2026-04-07 22:51:06.760,168,-185,182
2026-04-07 22:51:06.760,141,-154,219
2026-04-07 22:51:06.810,98,-108,214
2026-04-07 22:51:06.859,-8,-86,295
2026-04-07 22:51:06.908,-122,-151,456
2026-04-07 22:51:06.955,-249,-246,567
2026-04-07 22:51:07.004,-308,-523,513
2026-04-07 22:51:07.004,-327,-663,608
2026-04-07 22:51:07.053,-423,-754,586
2026-04-07 22:51:07.102,-504,-676,604
2026-04-07 22:51:07.151,-540,-622,546
2026-04-07 22:51:07.250,-547,-457,561
2026-04-07 22:51:07.251,-454,-240,564
2026-04-07 22:51:07.253,-364,65,570
2026-04-07 22:51:07.298,-277,98,493
2026-04-07 22:51:07.347,-177,194,531
2026-04-07 22:51:07.395,-74,169,514
2026-04-07 22:51:07.444,-34,95,410
2026-04-07 22:51:07.496,-44,33,377
2026-04-07 22:51:07.496,-52,-47,362
2026-04-07 22:51:07.540,-110,-90,411
2026-04-07 22:51:07.589,-141,-179,601
2026-04-07 22:51:07.640,-175,-138,747
2026-04-07 22:51:07.690,-241,70,696
2026-04-07 22:51:07.690,-369,184,723
2026-04-07 22:51:07.738,-471,196,681
2026-04-07 22:51:07.785,-512,298,677
2026-04-07 22:51:07.832,-577,354,721
2026-04-07 22:51:07.883,-744,381,874
2026-04-07 22:51:07.931,-872,285,735
2026-04-07 22:51:07.931,-595,-287,268
2026-04-07 22:51:07.979,-277,-521,310
2026-04-07 22:51:08.028,-66,-360,202
2026-04-07 22:51:08.075,93,-327,141
2026-04-07 22:51:08.127,177,-240,122
2026-04-07 22:51:08.175,202,-206,89
2026-04-07 22:51:08.175,220,-201,100
2026-04-07 22:51:08.224,203,-213,60
2026-04-07 22:51:08.271,121,-113,3
2026-04-07 22:51:08.323,37,14,6
2026-04-07 22:51:08.372,-60,-49,88
2026-04-07 22:51:08.420,-185,-148,82
2026-04-07 22:51:08.420,-249,-398,328
2026-04-07 22:51:08.467,-266,-626,389
2026-04-07 22:51:08.517,-498,-888,705
2026-04-07 22:51:08.565,-567,-1014,781
2026-04-07 22:51:08.615,-714,-1041,772
2026-04-07 22:51:08.660,-762,-1037,634
2026-04-07 22:51:08.661,-731,-823,601
2026-04-07 22:51:08.712,-627,-622,469
2026-04-07 22:51:08.758,-509,-219,486
2026-04-07 22:51:08.809,-280,-37,373
2026-04-07 22:51:08.857,-191,-20,373
2026-04-07 22:51:08.857,-112,-18,352
2026-04-07 22:51:08.907,-77,-50,279
2026-04-07 22:51:08.957,-61,-71,229
2026-04-07 22:51:09.005,-69,-3,213
2026-04-07 22:51:09.052,-103,52,279
2026-04-07 22:51:09.101,-161,-19,283
2026-04-07 22:51:09.101,-244,-139,393
2026-04-07 22:51:09.150,-361,-408,422
2026-04-07 22:51:09.200,-572,-456,775
2026-04-07 22:51:09.248,-843,-420,848
2026-04-07 22:51:09.296,-1023,-402,807
2026-04-07 22:51:09.345,-1080,-506,875
2026-04-07 22:51:09.348,-1026,-564,811
2026-04-07 22:51:09.392,-744,-644,714
2026-04-07 22:51:09.440,-516,-566,552
2026-04-07 22:51:09.489,-308,-384,392
2026-04-07 22:51:09.541,-286,-344,325
2026-04-07 22:51:09.589,-170,-226,109
2026-04-07 22:51:09.589,-47,-291,-73
2026-04-07 22:51:09.638,100,-347,-109
2026-04-07 22:51:09.685,162,-274,-70
2026-04-07 22:51:09.734,217,-254,-88
2026-04-07 22:51:09.784,155,-190,-102
2026-04-07 22:51:09.831,66,-138,-79
2026-04-07 22:51:09.832,-74,-90,1
2026-04-07 22:51:09.882,-150,-226,7
2026-04-07 22:51:09.930,-341,-215,115
2026-04-07 22:51:09.977,-449,-325,307
2026-04-07 22:51:10.027,-632,-496,411
2026-04-07 22:51:10.028,-835,-700,577
2026-04-07 22:51:10.076,-935,-849,589
2026-04-07 22:51:10.125,-1074,-1005,657
2026-04-07 22:51:10.175,-1138,-961,534
2026-04-07 22:51:10.225,-1026,-845,399
2026-04-07 22:51:10.273,-833,-647,370
2026-04-07 22:51:10.273,-621,-477,303
2026-04-07 22:51:10.320,-380,-4,156
2026-04-07 22:51:10.369,-123,309,91
2026-04-07 22:51:10.418,-12,222,104
2026-04-07 22:51:10.466,32,156,80
2026-04-07 22:51:10.515,15,103,79
2026-04-07 22:51:10.517,-22,69,91
2026-04-07 22:51:10.565,-80,-32,137
2026-04-07 22:51:10.612,-166,-183,249
2026-04-07 22:51:10.660,-129,-162,340
2026-04-07 22:51:10.712,-210,139,619
2026-04-07 22:51:10.758,-390,156,808
2026-04-07 22:51:10.762,-530,85,1029
2026-04-07 22:51:10.807,-655,158,1035
2026-04-07 22:51:10.856,-835,23,1033
2026-04-07 22:51:10.904,-964,-15,965
2026-04-07 22:51:10.953,-1004,-157,784
2026-04-07 22:51:10.955,-1013,-152,622
2026-04-07 22:51:11.001,-846,-207,390
2026-04-07 22:51:11.053,-627,-304,255
2026-04-07 22:51:11.101,-373,-361,259
2026-04-07 22:51:11.150,-187,-366,173
2026-04-07 22:51:11.197,-39,-310,171
2026-04-07 22:51:11.198,63,-292,106
2026-04-07 22:51:11.247,163,-244,54
2026-04-07 22:51:11.294,237,-217,-60
2026-04-07 22:51:11.344,199,-164,-72
2026-04-07 22:51:11.395,101,-91,-102
2026-04-07 22:51:11.442,0,-117,-63
2026-04-07 22:51:11.443,-121,-127,-72
2026-04-07 22:51:11.492,-300,-165,18
2026-04-07 22:51:11.538,-536,-338,6
2026-04-07 22:51:11.588,-942,-405,-29
2026-04-07 22:51:11.635,-1115,-537,155
2026-04-07 22:51:11.685,-1169,-601,295
2026-04-07 22:51:11.687,-1134,-705,483
2026-04-07 22:51:11.734,-1174,-914,365
2026-04-07 22:51:11.783,-1289,-1072,280
2026-04-07 22:51:11.831,-1262,-922,198
2026-04-07 22:51:11.880,-1285,-960,74
2026-04-07 22:51:11.929,-1033,-550,43
2026-04-07 22:51:11.929,-620,-231,-41
2026-04-07 22:51:11.977,-240,138,-133
2026-04-07 22:51:12.025,-23,291,-69
2026-04-07 22:51:12.074,98,307,103
2026-04-07 22:51:12.172,137,214,121
2026-04-07 22:51:12.223,92,98,168
2026-04-07 22:51:12.223,45,46,86
2026-04-07 22:51:12.223,-82,-46,128
2026-04-07 22:51:12.269,-191,-179,250
2026-04-07 22:51:12.319,-255,-258,258
2026-04-07 22:51:12.368,-495,-227,478
2026-04-07 22:51:12.369,-966,-398,756
2026-04-07 22:51:12.416,-1141,-522,1051
2026-04-07 22:51:12.465,-1111,-502,1054
2026-04-07 22:51:12.514,-1042,-590,953
2026-04-07 22:51:12.563,-1021,-569,750
2026-04-07 22:51:12.614,-995,-541,559
2026-04-07 22:51:12.615,-861,-426,373
2026-04-07 22:51:12.660,-730,-368,261
2026-04-07 22:51:12.708,-506,-431,55
2026-04-07 22:51:12.758,-275,-304,25
2026-04-07 22:51:12.804,-63,-258,-20
2026-04-07 22:51:12.853,78,-242,-32
2026-04-07 22:51:12.854,200,-201,-51
2026-04-07 22:51:12.905,219,-155,-30
2026-04-07 22:51:12.954,210,-158,-54
2026-04-07 22:51:13.002,145,-83,-29
2026-04-07 22:51:13.049,95,-59,-54
2026-04-07 22:51:13.052,-66,-145,43
2026-04-07 22:51:13.100,-279,-190,131
2026-04-07 22:51:13.150,-431,-342,150
2026-04-07 22:51:13.198,-557,-463,265
2026-04-07 22:51:13.244,-678,-667,313
2026-04-07 22:51:13.294,-813,-923,535
2026-04-07 22:51:13.295,-904,-1054,567
2026-04-07 22:51:13.342,-977,-1142,625
2026-04-07 22:51:13.391,-996,-1127,504
2026-04-07 22:51:13.440,-966,-1018,465
2026-04-07 22:51:13.489,-808,-718,359
2026-04-07 22:51:13.589,-561,-432,228
2026-04-07 22:51:13.590,-380,-213,196
2026-04-07 22:51:13.590,-259,-71,204
2026-04-07 22:51:13.636,-175,25,182
2026-04-07 22:51:13.683,-123,77,280
2026-04-07 22:51:13.731,-98,78,277
2026-04-07 22:51:13.780,-94,72,249
2026-04-07 22:51:13.781,-79,74,177
2026-04-07 22:51:13.834,-130,-6,74
2026-04-07 22:51:13.878,-204,-85,122
2026-04-07 22:51:13.928,-393,-245,261
2026-04-07 22:51:13.976,-686,-751,523
2026-04-07 22:51:14.026,-818,-765,757
2026-04-07 22:51:14.030,-850,-652,912
2026-04-07 22:51:14.075,-838,-390,889
2026-04-07 22:51:14.123,-950,-317,857
2026-04-07 22:51:14.171,-1022,-193,748
2026-04-07 22:51:14.219,-1217,-202,531
2026-04-07 22:51:14.220,-1222,-357,176
2026-04-07 22:51:14.269,-753,-579,100
2026-04-07 22:51:14.317,-355,-447,97
2026-04-07 22:51:14.368,-161,-403,-21
2026-04-07 22:51:14.417,-30,-366,-91
2026-04-07 22:51:14.464,66,-241,-24
2026-04-07 22:51:14.464,139,-185,-18
2026-04-07 22:51:14.513,183,-165,18
2026-04-07 22:51:14.561,188,-165,0
2026-04-07 22:51:14.609,110,-175,167
2026-04-07 22:51:14.659,80,-167,223
2026-04-07 22:51:14.706,-47,-229,316
2026-04-07 22:51:14.707,-111,-272,131
2026-04-07 22:51:14.756,-212,-463,243
2026-04-07 22:51:14.803,-308,-506,232
2026-04-07 22:51:14.851,-445,-692,434
2026-04-07 22:51:14.904,-554,-783,511
2026-04-07 22:51:14.951,-741,-862,714
2026-04-07 22:51:14.953,-765,-950,577
2026-04-07 22:51:15.003,-807,-911,564
2026-04-07 22:51:15.049,-693,-617,419
2026-04-07 22:51:15.097,-551,-348,306
2026-04-07 22:51:15.148,-446,-122,292
2026-04-07 22:51:15.149,-316,24,292
2026-04-07 22:51:15.195,-199,99,358
2026-04-07 22:51:15.244,-140,86,401
2026-04-07 22:51:15.293,-134,66,419
2026-04-07 22:51:15.343,-178,21,444
2026-04-07 22:51:15.389,-229,34,498
2026-04-07 22:51:15.389,-307,-62,586
2026-04-07 22:51:15.441,-350,-28,625
2026-04-07 22:51:15.486,-383,-62,671
2026-04-07 22:51:15.537,-487,-106,762
2026-04-07 22:51:15.586,-583,-83,769
2026-04-07 22:51:15.634,-714,-246,826
2026-04-07 22:51:15.634,-824,-261,671
2026-04-07 22:51:15.682,-941,-396,449
2026-04-07 22:51:15.733,-825,-378,243
2026-04-07 22:51:15.781,-476,-597,103
2026-04-07 22:51:15.828,-168,-550,141
2026-04-07 22:51:15.878,-47,-475,131
2026-04-07 22:51:15.878,49,-445,162
2026-04-07 22:51:15.926,80,-397,210
2026-04-07 22:51:15.974,71,-423,241
2026-04-07 22:51:16.075,66,-399,286
2026-04-07 22:51:16.079,6,-372,337
2026-04-07 22:51:16.120,-66,-434,226
