Timestamp,X,Y,Z
2026-04-07 22:55:15.970,-29,-362,-275
2026-04-07 22:55:15.971,-40,-442,-225
2026-04-07 22:55:16.020,-141,-438,-228
2026-04-07 22:55:16.070,-308,-678,-103
2026-04-07 22:55:16.117,-584,-883,-203
2026-04-07 22:55:16.166,-909,-1058,55
2026-04-07 22:55:16.215,-1203,-871,191
2026-04-07 22:55:16.216,-1347,-631,592
2026-04-07 22:55:16.265,-1096,-269,771
2026-04-07 22:55:16.312,-826,-214,611
2026-04-07 22:55:16.361,-642,-288,454
2026-04-07 22:55:16.409,-548,-359,247
2026-04-07 22:55:16.412,-504,-553,158
2026-04-07 22:55:16.459,-413,-881,249
2026-04-07 22:55:16.556,-247,-1063,399
2026-04-07 22:55:16.557,-136,-1023,307
2026-04-07 22:55:16.604,-29,-807,199
2026-04-07 22:55:16.656,75,-647,107
2026-04-07 22:55:16.656,113,-440,24
2026-04-07 22:55:16.703,120,-207,-3
2026-04-07 22:55:16.800,140,-148,-81
2026-04-07 22:55:16.849,-30,-117,-157
2026-04-07 22:55:16.849,-119,-140,-358
2026-04-07 22:55:16.899,-53,-169,-473
2026-04-07 22:55:16.899,67,-118,-459
2026-04-07 22:55:16.948,144,-127,-439
2026-04-07 22:55:16.997,107,-116,-398
2026-04-07 22:55:17.044,63,-73,-387
2026-04-07 22:55:17.094,-14,-60,-323
2026-04-07 22:55:17.144,-44,-128,-297
2026-04-07 22:55:17.144,-130,-279,-237
2026-04-07 22:55:17.188,-211,-735,-207
2026-04-07 22:55:17.240,-494,-1006,-142
2026-04-07 22:55:17.287,-774,-1267,167
2026-04-07 22:55:17.337,-646,-782,267
2026-04-07 22:55:17.339,-556,-394,404
2026-04-07 22:55:17.387,-642,-449,543
2026-04-07 22:55:17.436,-768,-341,484
2026-04-07 22:55:17.485,-810,-236,546
2026-04-07 22:55:17.533,-703,-89,619
2026-04-07 22:55:17.580,-634,-128,525
2026-04-07 22:55:17.581,-604,-366,374
2026-04-07 22:55:17.628,-613,-680,419
2026-04-07 22:55:17.680,-575,-972,499
2026-04-07 22:55:17.726,-448,-1018,331
2026-04-07 22:55:17.776,-297,-905,309
2026-04-07 22:55:17.823,-188,-798,210
2026-04-07 22:55:17.824,-53,-526,52
2026-04-07 22:55:17.875,179,-83,77
2026-04-07 22:55:17.971,313,66,-47
2026-04-07 22:55:17.973,-106,-42,-140
2026-04-07 22:55:18.068,-342,-376,-465
2026-04-07 22:55:18.075,-273,-539,-494
2026-04-07 22:55:18.076,-4,-407,-501
2026-04-07 22:55:18.116,138,-312,-456
2026-04-07 22:55:18.166,87,-216,-360
2026-04-07 22:55:18.216,76,-136,-291
2026-04-07 22:55:18.264,34,-262,-276
