Timestamp,X,Y,Z
2026-04-07 22:49:09.368,-1043,37,43
2026-04-07 22:49:09.419,-915,41,86
2026-04-07 22:49:09.467,-754,142,88
2026-04-07 22:49:09.517,-583,27,48
2026-04-07 22:49:09.568,-438,93,31
2026-04-07 22:49:09.569,-323,39,-3
2026-04-07 22:49:09.616,-219,19,-35
2026-04-07 22:49:09.664,-120,10,-24
2026-04-07 22:49:09.711,-70,-38,-32
2026-04-07 22:49:09.760,-40,45,-17
2026-04-07 22:49:09.808,-36,13,-42
2026-04-07 22:49:09.857,-62,-1,-14
2026-04-07 22:49:09.859,-105,-10,-47
2026-04-07 22:49:09.905,-220,-119,-126
2026-04-07 22:49:09.955,-401,-155,-82
2026-04-07 22:49:10.003,-624,-178,-9
2026-04-07 22:49:10.052,-883,-425,76
2026-04-07 22:49:10.053,-955,-457,57
2026-04-07 22:49:10.103,-1181,-399,164
2026-04-07 22:49:10.151,-1190,-380,80
2026-04-07 22:49:10.200,-1238,-304,1
2026-04-07 22:49:10.245,-1137,-272,70
2026-04-07 22:49:10.246,-1008,-402,-129
2026-04-07 22:49:10.299,-922,-448,-193
2026-04-07 22:49:10.345,-761,-387,-96
2026-04-07 22:49:10.397,-542,-371,-160
2026-04-07 22:49:10.445,-366,-231,-131
2026-04-07 22:49:10.492,-214,-138,-100
2026-04-07 22:49:10.494,-100,-85,-73
2026-04-07 22:49:10.539,-15,-91,-88
2026-04-07 22:49:10.590,9,-86,-63
2026-04-07 22:49:10.640,2,-100,-70
2026-04-07 22:49:10.686,-52,-100,-70
2026-04-07 22:49:10.739,-160,-155,-140
2026-04-07 22:49:10.739,-391,-195,-84
2026-04-07 22:49:10.786,-631,-227,83
2026-04-07 22:49:10.884,-782,-49,109
2026-04-07 22:49:10.884,-1017,-169,135
2026-04-07 22:49:10.929,-1105,-228,-8
2026-04-07 22:49:10.982,-1201,-800,-70
2026-04-07 22:49:10.982,-1088,-765,-85
2026-04-07 22:49:11.027,-896,-805,-242
2026-04-07 22:49:11.077,-695,-660,-209
2026-04-07 22:49:11.124,-506,-583,-172
2026-04-07 22:49:11.174,-352,-485,-131
2026-04-07 22:49:11.176,-240,-361,-124
2026-04-07 22:49:11.226,-157,-301,-167
2026-04-07 22:49:11.271,-120,-279,-198
2026-04-07 22:49:11.321,-149,-405,-210
2026-04-07 22:49:11.368,-237,-519,-317
2026-04-07 22:49:11.418,-396,-529,-291
2026-04-07 22:49:11.418,-620,-509,-182
2026-04-07 22:49:11.467,-835,-503,-111
2026-04-07 22:49:11.516,-1005,-530,27
2026-04-07 22:49:11.563,-1191,-528,37
2026-04-07 22:49:11.615,-1238,-463,80
2026-04-07 22:49:11.661,-1190,-486,31
2026-04-07 22:49:11.661,-1032,-473,33
2026-04-07 22:49:11.712,-830,-345,45
2026-04-07 22:49:11.760,-584,-262,28
2026-04-07 22:49:11.812,-383,-160,51
2026-04-07 22:49:11.858,-232,-98,49
2026-04-07 22:49:11.906,-151,-76,65
2026-04-07 22:49:11.908,-84,-40,61
2026-04-07 22:49:11.954,-47,-42,36
2026-04-07 22:49:12.002,-63,-55,30
2026-04-07 22:49:12.051,-118,-76,13
2026-04-07 22:49:12.100,-225,-100,-30
2026-04-07 22:49:12.149,-369,-113,-41
2026-04-07 22:49:12.149,-638,-154,-27
2026-04-07 22:49:12.198,-1009,-229,-70
2026-04-07 22:49:12.247,-1337,-362,-227
2026-04-07 22:49:12.295,-1334,-529,-193
2026-04-07 22:49:12.345,-1310,-558,-109
2026-04-07 22:49:12.346,-1217,-564,-182
2026-04-07 22:49:12.393,-1076,-610,-91
2026-04-07 22:49:12.443,-964,-606,-3
2026-04-07 22:49:12.491,-815,-488,74
2026-04-07 22:49:12.540,-676,-401,73
2026-04-07 22:49:12.590,-438,-350,-9
2026-04-07 22:49:12.593,-283,-289,-30
2026-04-07 22:49:12.639,-106,-191,-129
2026-04-07 22:49:12.687,24,-162,-163
2026-04-07 22:49:12.734,65,-89,-97
2026-04-07 22:49:12.784,74,-48,-103
2026-04-07 22:49:12.832,9,-24,-120
2026-04-07 22:49:12.834,-183,-68,-209
2026-04-07 22:49:12.881,-388,-42,-246
2026-04-07 22:49:12.929,-663,-148,-555
2026-04-07 22:49:12.978,-936,-13,-462
2026-04-07 22:49:13.027,-1092,-14,-395
2026-04-07 22:49:13.077,-1234,-73,-410
2026-04-07 22:49:13.077,-1435,-100,-297
2026-04-07 22:49:13.173,-1405,-33,-234
2026-04-07 22:49:13.174,-1169,120,-121
2026-04-07 22:49:13.221,-1043,131,-170
2026-04-07 22:49:13.272,-780,155,-32
2026-04-07 22:49:13.272,-442,280,-67
2026-04-07 22:49:13.319,-266,235,-124
2026-04-07 22:49:13.368,-183,168,-167
2026-04-07 22:49:13.417,-266,115,-193
2026-04-07 22:49:13.468,-428,28,-175
2026-04-07 22:49:13.517,-651,-70,-81
2026-04-07 22:49:13.517,-755,-91,-56
2026-04-07 22:49:13.564,-904,-37,37
2026-04-07 22:49:13.612,-1072,-63,1
2026-04-07 22:49:13.661,-1229,3,-41
2026-04-07 22:49:13.711,-1277,-88,-84
2026-04-07 22:49:13.758,-1222,53,-15
2026-04-07 22:49:13.759,-1024,-68,12
2026-04-07 22:49:13.806,-829,24,61
2026-04-07 22:49:13.856,-632,-65,24
2026-04-07 22:49:13.906,-494,9,104
2026-04-07 22:49:13.953,-382,-4,88
2026-04-07 22:49:14.003,-261,-71,22
2026-04-07 22:49:14.050,-155,-74,-32
2026-04-07 22:49:14.051,-63,-71,-63
2026-04-07 22:49:14.099,25,-53,-106
2026-04-07 22:49:14.147,51,12,-82
2026-04-07 22:49:14.197,57,-46,-117
2026-04-07 22:49:14.244,4,-62,-82
2026-04-07 22:49:14.244,-106,-89,-73
2026-04-07 22:49:14.293,-244,-211,-115
2026-04-07 22:49:14.343,-454,-350,-105
2026-04-07 22:49:14.392,-731,-538,-198
2026-04-07 22:49:14.443,-1092,-645,-154
2026-04-07 22:49:14.443,-1454,-713,55
2026-04-07 22:49:14.490,-1535,-701,91
2026-04-07 22:49:14.539,-1600,-548,241
2026-04-07 22:49:14.588,-1509,-410,192
2026-04-07 22:49:14.637,-1338,-416,60
2026-04-07 22:49:14.686,-1082,-375,-8
2026-04-07 22:49:14.686,-790,-297,-72
2026-04-07 22:49:14.732,-523,-185,-108
2026-04-07 22:49:14.783,-289,-99,-118
2026-04-07 22:49:14.833,-87,-40,-158
2026-04-07 22:49:14.880,-21,-2,-133
2026-04-07 22:49:14.929,6,37,-109
2026-04-07 22:49:14.930,-36,17,-96
2026-04-07 22:49:14.979,-111,-2,-90
2026-04-07 22:49:15.025,-161,-73,-78
2026-04-07 22:49:15.075,-253,-130,-41
2026-04-07 22:49:15.123,-382,-154,71
2026-04-07 22:49:15.174,-676,-170,124
2026-04-07 22:49:15.174,-986,-174,128
2026-04-07 22:49:15.220,-1149,-252,171
2026-04-07 22:49:15.271,-1192,-464,97
2026-04-07 22:49:15.318,-1123,-556,-27
2026-04-07 22:49:15.367,-1017,-576,-109
2026-04-07 22:49:15.415,-811,-624,-176
2026-04-07 22:49:15.418,-604,-670,-279
2026-04-07 22:49:15.465,-342,-574,-340
2026-04-07 22:49:15.514,-191,-521,-261
2026-04-07 22:49:15.563,-142,-505,-267
2026-04-07 22:49:15.612,-172,-465,-188
2026-04-07 22:49:15.613,-234,-383,-140
2026-04-07 22:49:15.661,-382,-473,-182
2026-04-07 22:49:15.710,-687,-513,-48
2026-04-07 22:49:15.757,-872,-440,9
2026-04-07 22:49:15.806,-1021,-439,-5
2026-04-07 22:49:15.854,-1156,-494,-17
2026-04-07 22:49:15.856,-1217,-390,18
2026-04-07 22:49:15.903,-1112,-410,-11
2026-04-07 22:49:15.952,-985,-327,-5
2026-04-07 22:49:16.001,-804,-236,-11
2026-04-07 22:49:16.050,-583,-153,-2
2026-04-07 22:49:16.098,-386,-139,52
2026-04-07 22:49:16.099,-237,-102,10
2026-04-07 22:49:16.146,-115,-28,27
2026-04-07 22:49:16.196,-68,6,40
2026-04-07 22:49:16.247,-76,-13,45
2026-04-07 22:49:16.293,-115,-17,13
2026-04-07 22:49:16.341,-186,-24,-32
2026-04-07 22:49:16.342,-303,-28,-44
2026-04-07 22:49:16.389,-461,-104,-21
2026-04-07 22:49:16.439,-730,-100,83
2026-04-07 22:49:16.489,-1097,-101,-127
2026-04-07 22:49:16.537,-1445,-555,-62
2026-04-07 22:49:16.538,-1552,-479,21
2026-04-07 22:49:16.586,-1576,-607,22
2026-04-07 22:49:16.635,-1375,-749,37
2026-04-07 22:49:16.684,-1044,-781,132
2026-04-07 22:49:16.733,-812,-619,156
2026-04-07 22:49:16.781,-571,-466,150
2026-04-07 22:49:16.782,-380,-224,57
2026-04-07 22:49:16.829,-329,-174,-75
2026-04-07 22:49:16.878,-163,-193,-254
2026-04-07 22:49:16.928,-67,-185,-296
2026-04-07 22:49:16.977,-35,-201,-303
2026-04-07 22:49:17.026,-70,-197,-272
2026-04-07 22:49:17.027,-150,-190,-233
2026-04-07 22:49:17.074,-315,-219,-246
2026-04-07 22:49:17.123,-548,-272,-300
2026-04-07 22:49:17.171,-882,-165,-270
2026-04-07 22:49:17.218,-1159,-95,-279
2026-04-07 22:49:17.269,-1389,106,-123
2026-04-07 22:49:17.273,-1300,329,-97
2026-04-07 22:49:17.319,-1133,244,-112
2026-04-07 22:49:17.415,-985,94,-169
2026-04-07 22:49:17.416,-902,65,-230
2026-04-07 22:49:17.462,-753,45,-136
2026-04-07 22:49:17.513,-663,0,-24
2026-04-07 22:49:17.513,-470,151,-48
2026-04-07 22:49:17.562,-332,192,-67
2026-04-07 22:49:17.611,-291,162,-82
2026-04-07 22:49:17.657,-409,55,-50
2026-04-07 22:49:17.707,-496,0,-56
2026-04-07 22:49:17.756,-672,-53,-17
2026-04-07 22:49:17.756,-789,-57,-62
2026-04-07 22:49:17.807,-887,-104,-48
2026-04-07 22:49:17.854,-959,-49,-23
2026-04-07 22:49:17.903,-1083,-101,1
2026-04-07 22:49:17.953,-1121,-71,-47
2026-04-07 22:49:17.953,-1074,63,60
2026-04-07 22:49:18.000,-950,-10,-29
2026-04-07 22:49:18.051,-836,39,107
2026-04-07 22:49:18.100,-670,159,79
2026-04-07 22:49:18.147,-556,107,110
2026-04-07 22:49:18.248,-416,-44,-17
2026-04-07 22:49:18.248,-257,-10,-60
2026-04-07 22:49:18.249,-113,-41,-166
2026-04-07 22:49:18.290,-51,23,-170
2026-04-07 22:49:18.342,-30,80,-90
2026-04-07 22:49:18.390,-58,37,-72
2026-04-07 22:49:18.436,-68,35,-47
2026-04-07 22:49:18.438,-129,3,-30
2026-04-07 22:49:18.486,-261,-46,33
2026-04-07 22:49:18.535,-378,-85,74
2026-04-07 22:49:18.587,-562,-129,173
2026-04-07 22:49:18.633,-661,-182,252
2026-04-07 22:49:18.634,-816,-273,322
2026-04-07 22:49:18.683,-878,-309,326
2026-04-07 22:49:18.731,-936,-320,338
2026-04-07 22:49:18.780,-987,-339,103
2026-04-07 22:49:18.827,-1036,-407,-21
2026-04-07 22:49:18.878,-1040,-473,-123
2026-04-07 22:49:18.879,-1056,-479,-163
2026-04-07 22:49:18.925,-1018,-430,-179
2026-04-07 22:49:18.978,-890,-383,-178
2026-04-07 22:49:19.024,-711,-300,-124
2026-04-07 22:49:19.072,-527,-215,-93
2026-04-07 22:49:19.122,-396,-134,-60
2026-04-07 22:49:19.122,-275,-59,-29
2026-04-07 22:49:19.170,-182,-30,-17
2026-04-07 22:49:19.220,-124,15,9
2026-04-07 22:49:19.268,-88,74,9
2026-04-07 22:49:19.316,-157,5,15
2026-04-07 22:49:19.365,-295,-23,31
2026-04-07 22:49:19.365,-451,-90,10
2026-04-07 22:49:19.412,-681,-82,45
2026-04-07 22:49:19.463,-880,-153,27
2026-04-07 22:49:19.509,-1083,-283,24
2026-04-07 22:49:19.559,-1225,-448,146
2026-04-07 22:49:19.608,-1271,-499,158
2026-04-07 22:49:19.608,-1205,-625,316
2026-04-07 22:49:19.659,-1063,-637,313
2026-04-07 22:49:19.708,-850,-611,244
2026-04-07 22:49:19.757,-496,-406,115
2026-04-07 22:49:19.808,-324,-452,-88
2026-04-07 22:49:19.808,-155,-438,-190
2026-04-07 22:49:19.851,-40,-344,-179
2026-04-07 22:49:19.902,-15,-309,-190
2026-04-07 22:49:19.950,-68,-229,-200
2026-04-07 22:49:20.000,-200,-250,-227
2026-04-07 22:49:20.049,-399,-253,-197
2026-04-07 22:49:20.049,-611,-241,-191
2026-04-07 22:49:20.095,-795,-226,-157
2026-04-07 22:49:20.144,-941,-122,-67
2026-04-07 22:49:20.193,-1015,-76,-91
2026-04-07 22:49:20.243,-1044,-57,-240
2026-04-07 22:49:20.292,-1085,-55,-203
2026-04-07 22:49:20.292,-1030,-72,-181
2026-04-07 22:49:20.340,-881,-37,-145
2026-04-07 22:49:20.388,-720,15,-137
2026-04-07 22:49:20.436,-551,187,-99
2026-04-07 22:49:20.487,-329,169,-224
2026-04-07 22:49:20.533,-299,81,-264
2026-04-07 22:49:20.535,-279,26,-270
2026-04-07 22:49:20.582,-262,-41,-299
2026-04-07 22:49:20.632,-357,-41,-204
2026-04-07 22:49:20.680,-497,-75,-105
2026-04-07 22:49:20.730,-704,6,110
2026-04-07 22:49:20.777,-935,-152,121
2026-04-07 22:49:20.780,-1043,-197,140
2026-04-07 22:49:20.830,-1116,-106,174
2026-04-07 22:49:20.876,-1325,-60,103
2026-04-07 22:49:20.925,-1347,-68,0
2026-04-07 22:49:20.974,-1232,-59,91
2026-04-07 22:49:20.974,-1023,-250,-85
2026-04-07 22:49:21.022,-806,-111,-32
2026-04-07 22:49:21.071,-607,-70,-72
2026-04-07 22:49:21.119,-438,-64,-82
2026-04-07 22:49:21.169,-291,-51,-117
2026-04-07 22:49:21.216,-141,-50,-108
2026-04-07 22:49:21.217,-45,15,-117
2026-04-07 22:49:21.267,14,5,-117
2026-04-07 22:49:21.315,-8,30,-103
2026-04-07 22:49:21.365,-49,-11,-117
2026-04-07 22:49:21.413,-138,-91,-99
2026-04-07 22:49:21.461,-246,-112,-87
2026-04-07 22:49:21.463,-395,-181,-93
2026-04-07 22:49:21.510,-678,-322,-76
2026-04-07 22:49:21.558,-954,-586,30
2026-04-07 22:49:21.607,-996,-640,88
2026-04-07 22:49:21.658,-1225,-573,217
2026-04-07 22:49:21.704,-1375,-572,68
2026-04-07 22:49:21.705,-1422,-553,-18
2026-04-07 22:49:21.752,-1348,-547,-18
2026-04-07 22:49:21.802,-1210,-518,-51
2026-04-07 22:49:21.851,-1050,-412,-105
2026-04-07 22:49:21.901,-795,-269,-93
2026-04-07 22:49:21.901,-544,-164,-45
2026-04-07 22:49:21.950,-338,-94,-53
2026-04-07 22:49:21.997,-201,-18,-17
2026-04-07 22:49:22.046,-116,-5,-35
2026-04-07 22:49:22.096,-100,-6,-59
2026-04-07 22:49:22.145,-89,-29,-69
2026-04-07 22:49:22.146,-102,-51,-76
2026-04-07 22:49:22.192,-178,-81,-72
2026-04-07 22:49:22.240,-306,-131,-36
2026-04-07 22:49:22.289,-580,-183,110
2026-04-07 22:49:22.338,-887,-151,176
2026-04-07 22:49:22.386,-1094,-130,103
2026-04-07 22:49:22.388,-1173,-213,115
2026-04-07 22:49:22.436,-1234,-402,-20
2026-04-07 22:49:22.484,-1187,-697,-75
2026-04-07 22:49:22.533,-967,-737,16
2026-04-07 22:49:22.582,-736,-675,-78
2026-04-07 22:49:22.631,-512,-599,-38
2026-04-07 22:49:22.631,-343,-496,-60
2026-04-07 22:49:22.679,-141,-514,-30
2026-04-07 22:49:22.727,-70,-403,112
2026-04-07 22:49:22.777,-142,-276,179
2026-04-07 22:49:22.825,-210,-211,168
2026-04-07 22:49:22.875,-379,-260,168
2026-04-07 22:49:22.877,-618,-390,95
2026-04-07 22:49:22.924,-808,-512,30
2026-04-07 22:49:22.972,-874,-360,45
2026-04-07 22:49:23.022,-1062,-548,-75
2026-04-07 22:49:23.070,-1243,-428,-39
2026-04-07 22:49:23.070,-1261,-442,-219
2026-04-07 22:49:23.117,-1234,-375,-228
2026-04-07 22:49:23.167,-1040,-298,-167
2026-04-07 22:49:23.217,-812,-208,-129
2026-04-07 22:49:23.265,-600,-142,-72
2026-04-07 22:49:23.315,-413,-84,-9
2026-04-07 22:49:23.315,-268,13,19
2026-04-07 22:49:23.363,-169,35,21
2026-04-07 22:49:23.411,-151,60,77
2026-04-07 22:49:23.463,-131,43,55
2026-04-07 22:49:23.511,-178,-1,6
2026-04-07 22:49:23.555,-221,-5,-3
2026-04-07 22:49:23.555,-355,-46,-20
2026-04-07 22:49:23.607,-579,-118,-82
2026-04-07 22:49:23.655,-907,-211,-41
2026-04-07 22:49:23.704,-1292,-195,-6
2026-04-07 22:49:23.751,-1518,-675,-143
2026-04-07 22:49:23.803,-1414,-521,104
2026-04-07 22:49:23.803,-1319,-654,3
2026-04-07 22:49:23.849,-1134,-607,128
2026-04-07 22:49:23.899,-1045,-569,180
2026-04-07 22:49:23.949,-883,-512,92
2026-04-07 22:49:23.995,-679,-505,58
2026-04-07 22:49:24.045,-369,-422,-124
2026-04-07 22:49:24.047,-194,-280,-215
2026-04-07 22:49:24.093,-88,-180,-179
2026-04-07 22:49:24.142,2,-170,-206
2026-04-07 22:49:24.192,-51,-179,-218
2026-04-07 22:49:24.238,-116,-197,-209
2026-04-07 22:49:24.239,-228,-185,-178
2026-04-07 22:49:24.288,-413,-231,-173
2026-04-07 22:49:24.336,-634,-237,-209
2026-04-07 22:49:24.385,-960,-195,-154
2026-04-07 22:49:24.436,-1142,-108,-108
2026-04-07 22:49:24.483,-1275,6,-90
2026-04-07 22:49:24.486,-1265,-63,-118
2026-04-07 22:49:24.533,-1298,-117,-81
2026-04-07 22:49:24.584,-1214,97,-75
2026-04-07 22:49:24.628,-978,200,-53
2026-04-07 22:49:24.678,-806,304,-53
2026-04-07 22:49:24.729,-480,147,-76
2026-04-07 22:49:24.729,-401,304,-67
2026-04-07 22:49:24.776,-356,196,-51
2026-04-07 22:49:24.825,-282,7,-102
2026-04-07 22:49:24.873,-353,-80,-103
2026-04-07 22:49:24.922,-437,-66,-17
2026-04-07 22:49:24.970,-604,-121,27
2026-04-07 22:49:24.973,-837,-72,57
2026-04-07 22:49:25.019,-1032,-73,76
2026-04-07 22:49:25.069,-1150,-22,27
2026-04-07 22:49:25.119,-1200,3,127
2026-04-07 22:49:25.166,-1169,35,25
2026-04-07 22:49:25.168,-1112,-70,52
2026-04-07 22:49:25.220,-1045,-76,51
2026-04-07 22:49:25.266,-935,-41,70
2026-04-07 22:49:25.311,-759,-26,4
2026-04-07 22:49:25.362,-572,-59,36
2026-04-07 22:49:25.408,-393,-54,25
2026-04-07 22:49:25.409,-214,-28,-5
2026-04-07 22:49:25.459,-98,57,-24
2026-04-07 22:49:25.507,28,101,-60
2026-04-07 22:49:25.556,63,72,-38
2026-04-07 22:49:25.605,45,50,-63
2026-04-07 22:49:25.656,-11,-9,-59
2026-04-07 22:49:25.656,-106,-24,-59
2026-04-07 22:49:25.702,-201,-97,-131
2026-04-07 22:49:25.751,-373,-118,-219
2026-04-07 22:49:25.801,-658,-140,-318
2026-04-07 22:49:25.847,-1139,-108,-209
2026-04-07 22:49:25.896,-1288,-652,289
