Timestamp,X,Y,Z
2026-04-07 22:47:07.298,-463,273,-26
2026-04-07 22:47:07.348,-441,342,-47
2026-04-07 22:47:07.396,-409,321,-6
2026-04-07 22:47:07.445,-422,283,15
2026-04-07 22:47:07.446,-438,229,16
2026-04-07 22:47:07.494,-445,189,18
2026-04-07 22:47:07.543,-424,104,1
2026-04-07 22:47:07.592,-411,35,-38
2026-04-07 22:47:07.640,-407,-24,-26
2026-04-07 22:47:07.642,-410,-73,-50
2026-04-07 22:47:07.690,-470,-174,-82
2026-04-07 22:47:07.739,-518,-241,-154
2026-04-07 22:47:07.789,-651,-333,-146
2026-04-07 22:47:07.837,-919,-367,-175
2026-04-07 22:47:07.884,-1011,-429,-193
2026-04-07 22:47:07.887,-1020,-599,-194
2026-04-07 22:47:07.933,-937,-685,-118
2026-04-07 22:47:07.982,-779,-628,9
2026-04-07 22:47:08.030,-444,-292,33
2026-04-07 22:47:08.079,-195,53,46
2026-04-07 22:47:08.129,-35,182,12
2026-04-07 22:47:08.129,1,160,31
2026-04-07 22:47:08.178,-54,87,65
2026-04-07 22:47:08.226,-101,60,0
2026-04-07 22:47:08.276,-146,81,21
2026-04-07 22:47:08.326,-154,59,98
2026-04-07 22:47:08.371,-343,-75,112
2026-04-07 22:47:08.372,-750,10,115
2026-04-07 22:47:08.422,-1638,21,-67
2026-04-07 22:47:08.468,-2032,57,-121
2026-04-07 22:47:08.520,-1864,25,-32
2026-04-07 22:47:08.566,-1384,-19,-72
2026-04-07 22:47:08.567,-1152,-58,-275
2026-04-07 22:47:08.618,-896,12,-123
2026-04-07 22:47:08.667,-758,-33,21
2026-04-07 22:47:08.714,-606,-165,-14
2026-04-07 22:47:08.765,-347,-240,-39
2026-04-07 22:47:08.811,-150,-223,-20
2026-04-07 22:47:08.813,-3,-205,-9
2026-04-07 22:47:08.860,101,-155,18
2026-04-07 22:47:08.908,-169,-154,18
2026-04-07 22:47:08.957,-475,-180,3
2026-04-07 22:47:09.008,-610,-173,-18
2026-04-07 22:47:09.054,-676,8,131
2026-04-07 22:47:09.055,-842,-112,147
2026-04-07 22:47:09.106,-1417,-138,-12
2026-04-07 22:47:09.153,-1980,-188,-51
2026-04-07 22:47:09.203,-2032,-313,65
2026-04-07 22:47:09.250,-1888,-488,-56
2026-04-07 22:47:09.297,-1250,-258,-50
2026-04-07 22:47:09.298,-676,-95,-39
