Timestamp,X,Y,Z
2026-04-07 23:25:23.586,-185,-1047,231
2026-04-07 23:25:23.587,-238,-965,511
2026-04-07 23:25:23.636,-34,-772,483
2026-04-07 23:25:23.685,-66,-711,628
2026-04-07 23:25:23.734,-98,-371,753
2026-04-07 23:25:23.783,-64,-84,727
2026-04-07 23:25:23.831,-24,55,562
2026-04-07 23:25:23.832,37,67,414
2026-04-07 23:25:23.881,46,87,332
2026-04-07 23:25:23.930,12,105,277
2026-04-07 23:25:23.978,47,41,167
2026-04-07 23:25:24.027,74,-176,63
2026-04-07 23:25:24.075,82,-556,82
2026-04-07 23:25:24.076,-24,-116,492
2026-04-07 23:25:24.125,-409,-762,552
2026-04-07 23:25:24.173,-290,-1048,598
2026-04-07 23:25:24.222,-107,-515,787
2026-04-07 23:25:24.271,-76,-403,741
2026-04-07 23:25:24.271,-79,-244,710
2026-04-07 23:25:24.322,-62,-127,638
2026-04-07 23:25:24.370,-32,-36,616
2026-04-07 23:25:24.419,-34,-5,487
2026-04-07 23:25:24.468,16,90,326
2026-04-07 23:25:24.516,63,48,219
2026-04-07 23:25:24.516,68,-29,140
2026-04-07 23:25:24.563,38,-44,71
2026-04-07 23:25:24.615,-69,-179,-18
2026-04-07 23:25:24.660,-245,-814,103
2026-04-07 23:25:24.711,-433,-1137,474
2026-04-07 23:25:24.758,-73,-991,398
2026-04-07 23:25:24.759,42,-798,576
2026-04-07 23:25:24.808,-71,-536,690
2026-04-07 23:25:24.857,-132,-90,759
2026-04-07 23:25:24.907,-44,384,720
2026-04-07 23:25:24.956,1,157,550
2026-04-07 23:25:25.005,20,101,422
2026-04-07 23:25:25.005,85,143,268
2026-04-07 23:25:25.052,138,-51,113
2026-04-07 23:25:25.099,229,-238,-2
2026-04-07 23:25:25.149,93,-423,294
2026-04-07 23:25:25.197,-100,-860,504
2026-04-07 23:25:25.198,-113,-626,680
2026-04-07 23:25:25.247,-18,-360,783
2026-04-07 23:25:25.296,-38,-45,802
2026-04-07 23:25:25.345,-16,226,735
2026-04-07 23:25:25.394,46,24,675
2026-04-07 23:25:25.442,86,217,508
2026-04-07 23:25:25.443,105,148,411
2026-04-07 23:25:25.491,42,76,350
2026-04-07 23:25:25.540,59,28,250
2026-04-07 23:25:25.587,61,-206,137
2026-04-07 23:25:25.635,22,-410,313
2026-04-07 23:25:25.684,-26,-886,310
2026-04-07 23:25:25.685,67,-569,477
2026-04-07 23:25:25.735,116,-487,648
2026-04-07 23:25:25.782,72,-261,775
2026-04-07 23:25:25.835,56,-125,808
2026-04-07 23:25:25.879,80,-54,757
2026-04-07 23:25:25.929,110,-22,596
2026-04-07 23:25:25.930,139,23,419
2026-04-07 23:25:25.979,141,75,358
2026-04-07 23:25:26.028,102,1,279
2026-04-07 23:25:26.076,96,-5,226
2026-04-07 23:25:26.124,96,-49,179
2026-04-07 23:25:26.125,52,-395,159
2026-04-07 23:25:26.177,-48,-644,399
2026-04-07 23:25:26.224,-104,-559,619
2026-04-07 23:25:26.272,20,-540,510
2026-04-07 23:25:26.320,91,-461,690
2026-04-07 23:25:26.366,73,-280,787
2026-04-07 23:25:26.367,73,-100,732
2026-04-07 23:25:26.418,95,-67,650
2026-04-07 23:25:26.466,110,-45,522
2026-04-07 23:25:26.515,132,-90,422
2026-04-07 23:25:26.563,111,-97,353
2026-04-07 23:25:26.613,109,-81,277
2026-04-07 23:25:26.614,122,-24,204
2026-04-07 23:25:26.661,156,-75,104
2026-04-07 23:25:26.709,102,-424,124
2026-04-07 23:25:26.757,-30,-600,353
2026-04-07 23:25:26.806,-190,-789,628
2026-04-07 23:25:26.857,-60,-726,550
2026-04-07 23:25:26.858,5,-478,729
2026-04-07 23:25:26.905,28,-214,804
2026-04-07 23:25:26.953,51,-104,720
2026-04-07 23:25:27.003,94,-68,559
2026-04-07 23:25:27.050,125,-32,447
2026-04-07 23:25:27.051,125,28,334
2026-04-07 23:25:27.149,120,89,256
2026-04-07 23:25:27.150,135,35,176
2026-04-07 23:25:27.197,90,-238,104
2026-04-07 23:25:27.246,57,-590,144
2026-04-07 23:25:27.295,-172,-850,410
2026-04-07 23:25:27.296,-92,-731,457
2026-04-07 23:25:27.345,-27,-592,420
2026-04-07 23:25:27.392,-34,-356,629
2026-04-07 23:25:27.440,-17,-154,787
2026-04-07 23:25:27.490,36,-112,756
2026-04-07 23:25:27.537,93,-24,662
2026-04-07 23:25:27.538,137,-4,469
2026-04-07 23:25:27.587,127,285,392
2026-04-07 23:25:27.634,117,224,259
2026-04-07 23:25:27.685,93,-217,76
