Timestamp,X,Y,Z
2026-04-07 23:26:45.244,-220,-191,171
2026-04-07 23:26:45.294,-266,5,180
2026-04-07 23:26:45.391,-298,214,156
2026-04-07 23:26:45.392,-347,379,131
2026-04-07 23:26:45.392,-472,494,162
2026-04-07 23:26:45.440,-625,699,201
2026-04-07 23:26:45.489,-652,825,268
2026-04-07 23:26:45.538,-616,887,285
2026-04-07 23:26:45.586,-560,941,380
2026-04-07 23:26:45.635,-549,680,309
2026-04-07 23:26:45.635,-482,622,217
2026-04-07 23:26:45.734,-415,557,207
2026-04-07 23:26:45.735,-378,349,294
2026-04-07 23:26:45.780,-266,170,265
2026-04-07 23:26:45.879,-159,57,152
2026-04-07 23:26:45.879,-199,17,171
2026-04-07 23:26:45.881,-381,-90,334
2026-04-07 23:26:45.926,-466,-101,183
2026-04-07 23:26:45.977,-318,-549,-200
2026-04-07 23:26:46.025,-27,-704,-215
2026-04-07 23:26:46.074,39,-752,-331
2026-04-07 23:26:46.173,77,-817,-379
2026-04-07 23:26:46.174,47,-800,-308
2026-04-07 23:26:46.174,23,-799,-178
2026-04-07 23:26:46.222,1,-772,-112
2026-04-07 23:26:46.270,-67,-701,-47
2026-04-07 23:26:46.322,-133,-682,9
2026-04-07 23:26:46.323,-186,-657,79
2026-04-07 23:26:46.367,-159,-560,158
2026-04-07 23:26:46.416,-102,-449,279
2026-04-07 23:26:46.465,-85,-258,277
2026-04-07 23:26:46.513,-105,-15,319
2026-04-07 23:26:46.562,-169,254,318
2026-04-07 23:26:46.563,-220,405,264
2026-04-07 23:26:46.609,-275,513,228
2026-04-07 23:26:46.660,-348,553,225
2026-04-07 23:26:46.708,-463,658,202
2026-04-07 23:26:46.758,-569,826,67
2026-04-07 23:26:46.805,-509,956,-72
2026-04-07 23:26:46.806,-398,994,-45
2026-04-07 23:26:46.854,-343,1000,-23
2026-04-07 23:26:46.905,-398,667,155
2026-04-07 23:26:46.953,-420,361,304
2026-04-07 23:26:47.001,-496,257,328
2026-04-07 23:26:47.051,-683,116,420
2026-04-07 23:26:47.051,-832,134,152
2026-04-07 23:26:47.099,-775,-609,-53
2026-04-07 23:26:47.147,146,-976,-81
2026-04-07 23:26:47.197,-35,-914,-392
2026-04-07 23:26:47.242,153,-904,-434
2026-04-07 23:26:47.243,85,-711,40
2026-04-07 23:26:47.293,101,-723,-15
2026-04-07 23:26:47.342,159,-684,-184
2026-04-07 23:26:47.390,107,-644,-75
2026-04-07 23:26:47.440,-40,-607,45
2026-04-07 23:26:47.489,-167,-446,125
2026-04-07 23:26:47.489,-266,-265,198
2026-04-07 23:26:47.537,-402,-98,262
2026-04-07 23:26:47.585,-509,83,223
2026-04-07 23:26:47.634,-621,265,165
2026-04-07 23:26:47.683,-744,512,162
2026-04-07 23:26:47.731,-736,819,-45
2026-04-07 23:26:47.731,-678,958,-56
2026-04-07 23:26:47.781,-485,1035,3
2026-04-07 23:26:47.829,-405,936,162
2026-04-07 23:26:47.879,-473,772,188
2026-04-07 23:26:47.927,-568,726,67
2026-04-07 23:26:47.975,-566,647,202
2026-04-07 23:26:47.976,-486,534,247
2026-04-07 23:26:48.024,-420,374,241
2026-04-07 23:26:48.071,-365,113,250
2026-04-07 23:26:48.121,-408,4,334
2026-04-07 23:26:48.171,-392,-103,280
2026-04-07 23:26:48.172,-363,-229,52
2026-04-07 23:26:48.218,-163,-488,-29
2026-04-07 23:26:48.268,23,-590,-133
2026-04-07 23:26:48.317,121,-722,-318
2026-04-07 23:26:48.366,121,-777,-376
2026-04-07 23:26:48.416,109,-751,-260
2026-04-07 23:26:48.417,94,-785,-251
2026-04-07 23:26:48.463,75,-732,-278
2026-04-07 23:26:48.513,19,-660,-258
2026-04-07 23:26:48.663,-70,-634,-272
2026-04-07 23:26:48.664,-131,-582,-184
2026-04-07 23:26:48.665,-92,-502,-82
2026-04-07 23:26:48.665,-116,-451,51
2026-04-07 23:26:48.712,-169,-290,170
2026-04-07 23:26:48.756,-236,-204,255
2026-04-07 23:26:48.803,-330,62,395
2026-04-07 23:26:48.852,-388,19,359
2026-04-07 23:26:48.902,-603,264,344
2026-04-07 23:26:48.902,-655,728,389
2026-04-07 23:26:48.949,-495,1001,392
2026-04-07 23:26:49.000,-338,945,174
2026-04-07 23:26:49.048,-355,798,252
2026-04-07 23:26:49.097,-373,687,253
2026-04-07 23:26:49.145,-374,754,155
2026-04-07 23:26:49.146,-359,667,220
2026-04-07 23:26:49.195,-348,403,340
2026-04-07 23:26:49.244,-318,184,386
2026-04-07 23:26:49.291,-289,69,332
2026-04-07 23:26:49.339,-378,-142,295
2026-04-07 23:26:49.340,-347,-354,264
2026-04-07 23:26:49.389,-257,-389,-35
2026-04-07 23:26:49.438,-27,-588,-325
2026-04-07 23:26:49.488,181,-656,-401
2026-04-07 23:26:49.535,257,-716,-409
2026-04-07 23:26:49.585,216,-680,-323
2026-04-07 23:26:49.586,179,-761,-357
2026-04-07 23:26:49.634,32,-776,-372
2026-04-07 23:26:49.683,-273,-763,-267
2026-04-07 23:26:49.732,-275,-497,-50
2026-04-07 23:26:49.780,-216,-259,77
2026-04-07 23:26:49.827,-338,-60,109
2026-04-07 23:26:49.827,-416,437,141
2026-04-07 23:26:49.876,-375,646,10
2026-04-07 23:26:49.927,-628,849,158
2026-04-07 23:26:49.978,-589,1123,208
2026-04-07 23:26:50.023,-416,1126,141
2026-04-07 23:26:50.072,-372,879,249
2026-04-07 23:26:50.073,-326,776,180
2026-04-07 23:26:50.120,-276,737,113
2026-04-07 23:26:50.169,-308,557,235
2026-04-07 23:26:50.219,-243,365,274
2026-04-07 23:26:50.265,-227,160,202
2026-04-07 23:26:50.266,-222,62,267
2026-04-07 23:26:50.365,-182,-38,285
2026-04-07 23:26:50.366,-134,-156,268
2026-04-07 23:26:50.412,-74,-304,268
2026-04-07 23:26:50.463,-44,-419,125
2026-04-07 23:26:50.514,13,-536,-67
2026-04-07 23:26:50.515,102,-646,-212
2026-04-07 23:26:50.559,202,-794,-337
2026-04-07 23:26:50.609,246,-823,-373
2026-04-07 23:26:50.658,196,-768,-358
2026-04-07 23:26:50.707,131,-762,-349
2026-04-07 23:26:50.755,11,-681,-330
2026-04-07 23:26:50.756,-56,-636,-236
2026-04-07 23:26:50.804,-50,-512,-44
2026-04-07 23:26:50.852,-104,-362,83
2026-04-07 23:26:50.900,-166,-152,168
2026-04-07 23:26:51.000,-243,89,274
2026-04-07 23:26:51.001,-256,351,243
2026-04-07 23:26:51.001,-333,418,39
2026-04-07 23:26:51.047,-467,699,80
2026-04-07 23:26:51.096,-428,839,55
2026-04-07 23:26:51.146,-370,1032,97
2026-04-07 23:26:51.192,-414,944,238
2026-04-07 23:26:51.193,-398,818,189
2026-04-07 23:26:51.243,-350,810,71
2026-04-07 23:26:51.289,-356,801,70
2026-04-07 23:26:51.339,-311,528,182
2026-04-07 23:26:51.389,-227,285,273
2026-04-07 23:26:51.436,-161,87,252
2026-04-07 23:26:51.436,-94,-55,213
2026-04-07 23:26:51.486,-147,-189,185
2026-04-07 23:26:51.536,-165,-387,86
2026-04-07 23:26:51.634,-122,-437,-47
2026-04-07 23:26:51.635,49,-584,-26
2026-04-07 23:26:51.680,193,-675,-63
2026-04-07 23:26:51.681,262,-701,-106
2026-04-07 23:26:51.728,236,-773,-140
2026-04-07 23:26:51.779,242,-816,-184
2026-04-07 23:26:51.826,209,-791,-193
2026-04-07 23:26:51.876,157,-740,-169
2026-04-07 23:26:51.925,54,-671,-145
2026-04-07 23:26:51.925,-16,-595,-96
2026-04-07 23:26:51.975,-39,-510,19
2026-04-07 23:26:52.021,-31,-397,118
2026-04-07 23:26:52.072,-62,-202,174
2026-04-07 23:26:52.120,-82,50,313
2026-04-07 23:26:52.168,-125,68,370
2026-04-07 23:26:52.169,-209,151,347
2026-04-07 23:26:52.217,-248,317,334
2026-04-07 23:26:52.266,-265,562,292
2026-04-07 23:26:52.315,-238,925,185
2026-04-07 23:26:52.361,-213,1013,211
2026-04-07 23:26:52.362,-245,896,274
