Timestamp,X,Y,Z
2026-04-22 00:44:33.641,353,-168,-59
2026-04-22 00:44:33.657,222,-95,114
2026-04-22 00:44:33.851,-241,-264,1065
2026-04-22 00:44:33.881,112,-27,873
2026-04-22 00:44:33.898,4,-293,534
2026-04-22 00:44:33.926,133,-309,548
2026-04-22 00:44:33.942,288,-175,283
2026-04-22 00:44:33.971,347,-212,106
2026-04-22 00:44:33.987,373,-158,-81
2026-04-22 00:44:34.016,317,-122,-17
2026-04-22 00:44:34.032,180,-63,193
2026-04-22 00:44:34.061,-277,-201,1252
2026-04-22 00:44:34.257,201,-391,490
2026-04-22 00:44:34.302,36,-218,525
2026-04-22 00:44:34.304,208,-218,481
2026-04-22 00:44:34.331,288,-129,291
2026-04-22 00:44:34.349,339,-147,72
2026-04-22 00:44:34.377,379,-166,-77
2026-04-22 00:44:34.393,342,-177,-44
2026-04-22 00:44:34.422,164,-70,195
2026-04-22 00:44:34.437,-348,-173,1464
2026-04-22 00:44:34.466,200,-452,528
2026-04-22 00:44:34.661,34,-303,564
2026-04-22 00:44:34.677,183,-254,514
2026-04-22 00:44:34.706,271,-173,258
2026-04-22 00:44:34.736,331,-210,71
2026-04-22 00:44:34.752,374,-197,-44
2026-04-22 00:44:34.780,342,-210,-2
2026-04-22 00:44:34.797,214,-90,157
2026-04-22 00:44:34.826,-371,-153,1242
2026-04-22 00:44:34.842,234,-366,622
2026-04-22 00:44:34.871,32,-274,487
2026-04-22 00:44:35.067,143,-296,570
2026-04-22 00:44:35.084,268,-218,362
2026-04-22 00:44:35.114,318,-209,164
2026-04-22 00:44:35.129,356,-204,-3
2026-04-22 00:44:35.159,362,-190,-80
2026-04-22 00:44:35.174,274,-126,-24
2026-04-22 00:44:35.203,-23,-158,687
2026-04-22 00:44:35.231,-186,32,1122
2026-04-22 00:44:35.249,141,-407,407
2026-04-22 00:44:35.279,61,-302,618
2026-04-22 00:44:35.471,228,-266,496
2026-04-22 00:44:35.487,306,-254,272
2026-04-22 00:44:35.517,354,-192,38
2026-04-22 00:44:35.532,363,-126,-71
2026-04-22 00:44:35.561,271,-87,-80
2026-04-22 00:44:35.578,53,-77,202
2026-04-22 00:44:35.606,-342,-222,1389
2026-04-22 00:44:35.622,109,-435,424
2026-04-22 00:44:35.651,43,-309,657
2026-04-22 00:44:35.668,191,-256,530
2026-04-22 00:44:35.876,260,-182,344
2026-04-22 00:44:35.892,317,-166,90
2026-04-22 00:44:35.921,356,-221,-60
2026-04-22 00:44:35.937,315,-172,-95
2026-04-22 00:44:35.966,109,-108,175
2026-04-22 00:44:35.996,-352,-85,1603
2026-04-22 00:44:36.014,144,-473,559
2026-04-22 00:44:36.027,16,-333,657
2026-04-22 00:44:36.056,189,-183,493
2026-04-22 00:44:36.074,276,-163,181
2026-04-22 00:44:36.267,335,-208,-52
2026-04-22 00:44:36.296,366,-179,-93
2026-04-22 00:44:36.314,318,-101,-80
2026-04-22 00:44:36.345,142,-76,223
2026-04-22 00:44:36.359,-318,-117,1476
2026-04-22 00:44:36.387,222,-259,664
2026-04-22 00:44:36.417,80,-296,507
2026-04-22 00:44:36.432,205,-198,538
2026-04-22 00:44:36.461,307,-190,300
2026-04-22 00:44:36.477,370,-176,89
2026-04-22 00:44:36.671,419,-150,-86
2026-04-22 00:44:36.703,371,-225,-70
2026-04-22 00:44:36.717,254,-110,-20
2026-04-22 00:44:36.746,-201,-282,815
2026-04-22 00:44:36.762,-33,-98,1193
2026-04-22 00:44:36.791,131,-147,445
2026-04-22 00:44:36.807,81,-219,615
2026-04-22 00:44:36.836,241,-168,394
2026-04-22 00:44:36.866,334,-240,142
