Timestamp,X,Y,Z
2026-04-22 00:46:05.312,85,978,163
2026-04-22 00:46:05.340,138,984,154
2026-04-22 00:46:05.356,173,819,150
2026-04-22 00:46:05.386,209,679,180
2026-04-22 00:46:05.401,251,429,263
2026-04-22 00:46:05.429,291,200,263
2026-04-22 00:46:05.444,269,22,242
2026-04-22 00:46:05.472,203,-131,239
2026-04-22 00:46:05.489,166,-486,250
2026-04-22 00:46:05.534,204,-761,126
2026-04-22 00:46:05.712,319,-738,66
2026-04-22 00:46:05.742,373,-640,96
2026-04-22 00:46:05.758,392,-430,84
2026-04-22 00:46:05.787,370,-240,56
2026-04-22 00:46:05.804,259,-17,100
2026-04-22 00:46:05.832,160,124,43
2026-04-22 00:46:05.848,55,565,170
2026-04-22 00:46:05.879,125,972,54
2026-04-22 00:46:05.893,184,1118,62
2026-04-22 00:46:05.922,187,948,43
2026-04-22 00:46:06.117,195,826,25
2026-04-22 00:46:06.149,217,565,88
2026-04-22 00:46:06.163,232,319,145
2026-04-22 00:46:06.194,265,175,189
2026-04-22 00:46:06.209,256,44,141
2026-04-22 00:46:06.237,219,-195,105
2026-04-22 00:46:06.253,217,-721,149
2026-04-22 00:46:06.282,328,-706,44
2026-04-22 00:46:06.298,412,-712,78
2026-04-22 00:46:06.328,471,-596,135
2026-04-22 00:46:06.522,434,-437,133
2026-04-22 00:46:06.538,354,-205,112
2026-04-22 00:46:06.567,276,85,123
2026-04-22 00:46:06.583,199,351,171
2026-04-22 00:46:06.612,133,691,192
2026-04-22 00:46:06.642,193,968,146
2026-04-22 00:46:06.672,195,844,154
2026-04-22 00:46:06.688,225,845,100
2026-04-22 00:46:06.703,311,591,117
2026-04-22 00:46:06.732,382,300,25
2026-04-22 00:46:06.927,410,62,-26
2026-04-22 00:46:06.943,372,-294,69
2026-04-22 00:46:06.972,367,-374,124
2026-04-22 00:46:06.989,361,-468,203
2026-04-22 00:46:07.017,439,-412,30
2026-04-22 00:46:07.033,453,-470,12
2026-04-22 00:46:07.063,522,-301,-154
2026-04-22 00:46:07.078,442,0,-50
2026-04-22 00:46:07.107,296,298,123
2026-04-22 00:46:07.124,246,756,122
2026-04-22 00:46:07.333,269,805,93
2026-04-22 00:46:07.370,229,903,113
2026-04-22 00:46:07.380,229,745,113
2026-04-22 00:46:07.395,288,405,28
2026-04-22 00:46:07.425,371,140,-91
2026-04-22 00:46:07.440,382,-186,-125
2026-04-22 00:46:07.469,398,-577,-39
2026-04-22 00:46:07.485,432,-784,-189
2026-04-22 00:46:07.515,455,-450,-62
2026-04-22 00:46:07.530,358,-153,132
2026-04-22 00:46:07.722,199,175,232
2026-04-22 00:46:07.752,120,870,234
2026-04-22 00:46:07.782,226,1185,111
2026-04-22 00:46:07.798,241,1002,202
2026-04-22 00:46:07.827,239,646,30
2026-04-22 00:46:07.850,334,321,-125
2026-04-22 00:46:07.872,407,112,-150
2026-04-22 00:46:07.889,406,-173,-119
2026-04-22 00:46:07.917,376,-682,21
2026-04-22 00:46:07.933,410,-769,40
2026-04-22 00:46:08.127,441,-464,126
2026-04-22 00:46:08.157,349,-107,163
2026-04-22 00:46:08.173,190,274,188
2026-04-22 00:46:08.202,125,789,174
2026-04-22 00:46:08.219,199,1045,150
2026-04-22 00:46:08.249,200,996,197
2026-04-22 00:46:08.277,210,755,117
2026-04-22 00:46:08.294,238,434,97
2026-04-22 00:46:08.322,311,165,77
2026-04-22 00:46:08.339,327,-263,122
2026-04-22 00:46:08.533,371,-672,143
2026-04-22 00:46:08.566,441,-686,71
2026-04-22 00:46:08.579,460,-509,64
2026-04-22 00:46:08.607,471,-225,-34
2026-04-22 00:46:08.624,370,244,174
2026-04-22 00:46:08.652,325,520,135
2026-04-22 00:46:08.669,285,966,102
2026-04-22 00:46:08.697,309,1022,182
2026-04-22 00:46:08.714,316,604,136
2026-04-22 00:46:08.742,355,330,-19
2026-04-22 00:46:08.952,350,30,-95
2026-04-22 00:46:08.968,399,-569,-55
2026-04-22 00:46:08.997,387,-750,-12
2026-04-22 00:46:09.013,489,-546,-97
2026-04-22 00:46:09.028,392,-135,131
2026-04-22 00:46:09.057,293,189,256
2026-04-22 00:46:09.073,194,707,319
2026-04-22 00:46:09.102,265,1097,229
2026-04-22 00:46:09.118,309,748,166
2026-04-22 00:46:09.149,286,506,40
2026-04-22 00:46:09.343,325,193,-168
2026-04-22 00:46:09.361,434,-147,-222
2026-04-22 00:46:09.391,420,-536,-102
2026-04-22 00:46:09.405,518,-517,-204
2026-04-22 00:46:09.435,477,-162,53
2026-04-22 00:46:09.465,377,152,277
2026-04-22 00:46:09.479,310,694,347
2026-04-22 00:46:09.507,359,952,356
2026-04-22 00:46:09.525,389,693,238
2026-04-22 00:46:09.555,361,427,54
2026-04-22 00:46:09.748,425,57,-264
2026-04-22 00:46:09.764,448,-161,-258
2026-04-22 00:46:09.794,425,-590,-150
2026-04-22 00:46:09.809,433,-416,-136
2026-04-22 00:46:09.837,365,-232,38
2026-04-22 00:46:09.854,326,85,260
2026-04-22 00:46:09.882,303,410,316
2026-04-22 00:46:09.912,231,652,209
2026-04-22 00:46:09.929,301,890,305
2026-04-22 00:46:09.957,338,491,277
2026-04-22 00:46:10.152,377,326,137
2026-04-22 00:46:10.168,414,251,-30
2026-04-22 00:46:10.197,454,-29,-86
2026-04-22 00:46:10.214,457,-457,26
2026-04-22 00:46:10.242,480,-540,-39
2026-04-22 00:46:10.258,485,-341,-147
2026-04-22 00:46:10.287,404,-82,155
2026-04-22 00:46:10.304,354,364,315
2026-04-22 00:46:10.332,394,956,265
2026-04-22 00:46:10.349,476,783,271
2026-04-22 00:46:10.542,461,484,156
2026-04-22 00:46:10.572,458,162,-54
2026-04-22 00:46:10.602,481,-214,-144
2026-04-22 00:46:10.619,444,-567,-144
2026-04-22 00:46:10.648,471,-515,-274
2026-04-22 00:46:10.663,373,-214,-36
2026-04-22 00:46:10.694,316,106,267
2026-04-22 00:46:10.709,292,333,239
2026-04-22 00:46:10.737,316,981,221
2026-04-22 00:46:10.754,357,680,240
2026-04-22 00:46:10.949,347,395,191
2026-04-22 00:46:10.979,272,224,62
2026-04-22 00:46:10.994,300,-187,-88
2026-04-22 00:46:11.038,434,-333,-171
2026-04-22 00:46:11.040,541,-483,-467
2026-04-22 00:46:11.070,518,-381,-244
2026-04-22 00:46:11.101,416,49,283
2026-04-22 00:46:11.115,459,336,434
2026-04-22 00:46:11.157,414,746,318
2026-04-22 00:46:11.158,424,800,331
2026-04-22 00:46:11.353,391,300,162
2026-04-22 00:46:11.382,398,-10,-113
2026-04-22 00:46:11.404,484,-185,-264
2026-04-22 00:46:11.431,454,-485,-245
2026-04-22 00:46:11.445,454,-465,-280
2026-04-22 00:46:11.476,352,-261,-51
2026-04-22 00:46:11.490,280,81,271
2026-04-22 00:46:11.521,290,609,382
2026-04-22 00:46:11.535,365,1015,348
2026-04-22 00:46:11.565,393,768,310
2026-04-22 00:46:11.757,323,468,120
2026-04-22 00:46:11.787,321,130,-173
2026-04-22 00:46:11.817,432,-359,-278
2026-04-22 00:46:11.834,441,-696,-313
2026-04-22 00:46:11.848,453,-419,-234
2026-04-22 00:46:11.879,356,-151,82
2026-04-22 00:46:11.893,332,221,359
2026-04-22 00:46:11.923,315,656,239
2026-04-22 00:46:11.952,324,1114,154
2026-04-22 00:46:11.969,374,650,217
2026-04-22 00:46:12.164,372,337,5
2026-04-22 00:46:12.179,437,151,-201
2026-04-22 00:46:12.207,458,-168,-126
2026-04-22 00:46:12.237,443,-620,-64
2026-04-22 00:46:12.253,441,-615,-136
2026-04-22 00:46:12.282,412,-381,26
2026-04-22 00:46:12.299,379,-64,205
2026-04-22 00:46:12.327,346,159,203
2026-04-22 00:46:12.343,262,604,263
2026-04-22 00:46:12.372,315,936,268
2026-04-22 00:46:12.568,352,632,217
2026-04-22 00:46:12.585,376,287,51
2026-04-22 00:46:12.614,429,-13,-106
2026-04-22 00:46:12.629,515,-439,-115
2026-04-22 00:46:12.657,534,-484,-153
2026-04-22 00:46:12.674,437,-227,-36
2026-04-22 00:46:12.702,335,91,218
2026-04-22 00:46:12.732,283,552,383
2026-04-22 00:46:12.748,357,919,379
2026-04-22 00:46:12.779,385,682,263
2026-04-22 00:46:12.973,337,458,156
2026-04-22 00:46:12.990,357,155,-68
2026-04-22 00:46:13.021,447,-145,-192
2026-04-22 00:46:13.036,476,-331,-227
2026-04-22 00:46:13.063,469,-411,-201
2026-04-22 00:46:13.080,408,-438,-4
2026-04-22 00:46:13.107,357,-210,283
2026-04-22 00:46:13.124,365,65,370
2026-04-22 00:46:13.152,309,501,369
2026-04-22 00:46:13.169,350,928,291
2026-04-22 00:46:13.364,366,716,256
2026-04-22 00:46:13.394,326,508,199
2026-04-22 00:46:13.422,338,335,30
2026-04-22 00:46:13.439,390,134,1
2026-04-22 00:46:13.467,391,-277,6
2026-04-22 00:46:13.484,409,-650,22
2026-04-22 00:46:13.512,404,-728,11
2026-04-22 00:46:13.529,440,-512,108
2026-04-22 00:46:13.557,413,-156,133
2026-04-22 00:46:13.576,342,159,205
2026-04-22 00:46:13.767,306,772,162
2026-04-22 00:46:13.797,365,954,82
2026-04-22 00:46:13.814,324,886,151
2026-04-22 00:46:13.842,319,528,20
2026-04-22 00:46:13.872,329,159,-74
2026-04-22 00:46:13.889,268,-289,40
2026-04-22 00:46:13.917,282,-826,161
2026-04-22 00:46:13.934,310,-991,142
2026-04-22 00:46:13.963,429,-713,194
2026-04-22 00:46:13.978,439,-417,181
2026-04-22 00:46:14.172,413,-73,125
2026-04-22 00:46:14.217,313,166,201
2026-04-22 00:46:14.219,232,626,119
2026-04-22 00:46:14.249,313,1067,-42
2026-04-22 00:46:14.263,298,886,114
2026-04-22 00:46:14.294,277,697,13
2026-04-22 00:46:14.308,282,355,-50
2026-04-22 00:46:14.337,254,-29,29
2026-04-22 00:46:14.354,238,-532,142
2026-04-22 00:46:14.382,200,-1214,226
2026-04-22 00:46:14.578,371,-869,142
2026-04-22 00:46:14.607,440,-635,215
2026-04-22 00:46:14.625,398,-307,163
2026-04-22 00:46:14.656,359,-15,128
2026-04-22 00:46:14.671,243,236,166
2026-04-22 00:46:14.701,219,734,53
2026-04-22 00:46:14.714,339,990,-101
2026-04-22 00:46:14.742,314,726,-39
2026-04-22 00:46:14.759,285,650,31
