Timestamp,X,Y,Z
2026-04-22 00:39:52.271,-316,-891,813
2026-04-22 00:39:52.301,467,-104,-265
2026-04-22 00:39:52.315,120,-611,66
2026-04-22 00:39:52.344,235,-424,7
2026-04-22 00:39:52.372,243,-514,-42
2026-04-22 00:39:52.389,243,-434,-11
2026-04-22 00:39:52.420,314,-393,-192
2026-04-22 00:39:52.434,358,-364,-284
2026-04-22 00:39:52.628,429,-357,-418
2026-04-22 00:39:52.658,414,-344,-441
2026-04-22 00:39:52.674,350,-365,-345
2026-04-22 00:39:52.712,250,-419,-213
2026-04-22 00:39:52.719,-160,-646,472
2026-04-22 00:39:52.749,268,-467,-89
2026-04-22 00:39:52.764,241,-441,75
2026-04-22 00:39:52.793,269,-483,-47
2026-04-22 00:39:52.822,272,-447,-4
2026-04-22 00:39:52.839,317,-404,-123
2026-04-22 00:39:53.034,343,-360,-249
2026-04-22 00:39:53.062,404,-326,-355
2026-04-22 00:39:53.079,458,-285,-462
2026-04-22 00:39:53.107,381,-333,-408
2026-04-22 00:39:53.124,304,-362,-291
2026-04-22 00:39:53.168,-349,-839,475
2026-04-22 00:39:53.169,510,-243,-61
2026-04-22 00:39:53.198,189,-558,105
2026-04-22 00:39:53.219,271,-428,-29
2026-04-22 00:39:53.242,280,-452,-50
2026-04-22 00:39:53.438,282,-399,-47
2026-04-22 00:39:53.454,316,-372,-213
2026-04-22 00:39:53.483,384,-318,-343
2026-04-22 00:39:53.513,472,-265,-509
2026-04-22 00:39:53.529,413,-290,-489
2026-04-22 00:39:53.558,339,-344,-381
2026-04-22 00:39:53.574,46,-508,314
2026-04-22 00:39:53.604,155,-530,80
2026-04-22 00:39:53.621,155,-643,4
2026-04-22 00:39:53.651,248,-455,29
2026-04-22 00:39:53.844,259,-497,-83
2026-04-22 00:39:53.861,329,-375,-133
2026-04-22 00:39:53.904,335,-339,-241
2026-04-22 00:39:53.904,399,-265,-392
2026-04-22 00:39:53.934,430,-228,-485
2026-04-22 00:39:53.949,380,-255,-468
2026-04-22 00:39:53.978,326,-310,-398
2026-04-22 00:39:54.008,202,-414,-175
2026-04-22 00:39:54.024,-124,-768,543
2026-04-22 00:39:54.053,259,-592,32
2026-04-22 00:39:54.249,260,-486,98
2026-04-22 00:39:54.264,290,-499,-61
2026-04-22 00:39:54.293,319,-393,-119
2026-04-22 00:39:54.309,324,-359,-219
2026-04-22 00:39:54.338,417,-287,-408
2026-04-22 00:39:54.354,426,-248,-467
2026-04-22 00:39:54.383,405,-252,-409
2026-04-22 00:39:54.399,366,-285,-365
2026-04-22 00:39:54.427,230,-373,-192
2026-04-22 00:39:54.444,-275,-841,860
2026-04-22 00:39:54.653,308,-426,112
2026-04-22 00:39:54.669,211,-494,119
2026-04-22 00:39:54.698,270,-470,-36
2026-04-22 00:39:54.714,304,-471,-69
2026-04-22 00:39:54.742,324,-430,-131
2026-04-22 00:39:54.761,418,-359,-288
2026-04-22 00:39:54.790,470,-296,-406
2026-04-22 00:39:54.806,475,-272,-468
2026-04-22 00:39:54.834,368,-303,-391
2026-04-22 00:39:54.849,261,-334,-270
2026-04-22 00:39:55.043,-275,-786,642
2026-04-22 00:39:55.072,295,-473,-49
2026-04-22 00:39:55.089,167,-521,115
2026-04-22 00:39:55.119,251,-459,-36
2026-04-22 00:39:55.149,276,-461,-55
2026-04-22 00:39:55.164,306,-389,-88
2026-04-22 00:39:55.192,375,-358,-210
2026-04-22 00:39:55.209,462,-302,-352
2026-04-22 00:39:55.238,441,-281,-389
2026-04-22 00:39:55.254,415,-290,-442
2026-04-22 00:39:55.449,302,-342,-334
2026-04-22 00:39:55.478,126,-415,142
2026-04-22 00:39:55.494,-86,-708,479
2026-04-22 00:39:55.523,221,-559,-14
2026-04-22 00:39:55.539,223,-468,81
2026-04-22 00:39:55.568,290,-491,-102
2026-04-22 00:39:55.584,292,-435,-105
2026-04-22 00:39:55.613,333,-397,-174
2026-04-22 00:39:55.644,372,-337,-299
2026-04-22 00:39:55.661,421,-270,-408
2026-04-22 00:39:55.869,378,-275,-383
2026-04-22 00:39:55.884,369,-281,-387
2026-04-22 00:39:55.899,265,-370,-286
2026-04-22 00:39:55.928,-344,-885,444
2026-04-22 00:39:55.944,506,-348,-184
