Timestamp,X,Y,Z
2026-04-22 00:42:23.381,344,516,136
2026-04-22 00:42:23.409,345,408,166
2026-04-22 00:42:23.439,333,309,219
2026-04-22 00:42:23.456,333,222,223
2026-04-22 00:42:23.487,343,173,243
2026-04-22 00:42:23.501,350,97,263
2026-04-22 00:42:23.529,364,-18,275
2026-04-22 00:42:23.724,335,-206,351
2026-04-22 00:42:23.741,370,-303,317
2026-04-22 00:42:23.771,405,-217,309
2026-04-22 00:42:23.785,402,-183,348
2026-04-22 00:42:23.816,375,-84,331
2026-04-22 00:42:23.831,350,33,298
2026-04-22 00:42:23.859,335,170,273
2026-04-22 00:42:23.876,304,291,236
2026-04-22 00:42:23.904,280,440,200
2026-04-22 00:42:23.922,283,565,151
2026-04-22 00:42:24.131,278,599,122
2026-04-22 00:42:24.146,263,585,142
2026-04-22 00:42:24.174,265,532,168
2026-04-22 00:42:24.191,287,424,179
2026-04-22 00:42:24.219,313,296,208
2026-04-22 00:42:24.236,341,173,245
2026-04-22 00:42:24.264,356,53,277
2026-04-22 00:42:24.281,367,-89,299
2026-04-22 00:42:24.309,368,-160,278
2026-04-22 00:42:24.326,372,-388,132
2026-04-22 00:42:24.519,371,-412,75
2026-04-22 00:42:24.549,407,-393,103
2026-04-22 00:42:24.566,401,-344,230
2026-04-22 00:42:24.594,400,-203,276
2026-04-22 00:42:24.624,358,-80,298
2026-04-22 00:42:24.641,327,55,290
2026-04-22 00:42:24.671,261,193,291
2026-04-22 00:42:24.686,227,280,270
2026-04-22 00:42:24.716,208,390,217
2026-04-22 00:42:24.731,237,606,126
2026-04-22 00:42:24.924,271,712,113
2026-04-22 00:42:24.954,281,693,101
2026-04-22 00:42:24.971,266,606,124
2026-04-22 00:42:25.001,267,431,151
2026-04-22 00:42:25.016,288,298,196
2026-04-22 00:42:25.044,335,236,208
2026-04-22 00:42:25.061,342,160,228
2026-04-22 00:42:25.104,344,39,241
2026-04-22 00:42:25.121,357,-47,258
2026-04-22 00:42:25.136,333,-246,259
2026-04-22 00:42:25.331,316,-466,272
2026-04-22 00:42:25.359,381,-304,309
2026-04-22 00:42:25.376,392,-197,368
2026-04-22 00:42:25.404,363,-57,375
2026-04-22 00:42:25.421,336,79,343
2026-04-22 00:42:25.449,302,211,308
2026-04-22 00:42:25.479,261,299,277
2026-04-22 00:42:25.496,239,350,222
2026-04-22 00:42:25.511,241,426,172
2026-04-22 00:42:25.539,276,586,129
2026-04-22 00:42:25.735,309,625,69
2026-04-22 00:42:25.764,311,622,84
2026-04-22 00:42:25.783,291,508,154
2026-04-22 00:42:25.813,300,418,181
2026-04-22 00:42:25.828,309,381,219
2026-04-22 00:42:25.858,315,232,263
2026-04-22 00:42:25.871,339,183,240
2026-04-22 00:42:25.902,350,6,210
2026-04-22 00:42:25.916,368,-117,197
2026-04-22 00:42:25.944,380,-272,163
2026-04-22 00:42:26.140,369,-416,111
2026-04-22 00:42:26.156,423,-318,127
2026-04-22 00:42:26.186,425,-274,237
2026-04-22 00:42:26.216,398,-181,288
2026-04-22 00:42:26.233,383,-73,290
2026-04-22 00:42:26.261,329,67,309
2026-04-22 00:42:26.276,316,211,286
2026-04-22 00:42:26.304,283,306,267
2026-04-22 00:42:26.321,285,430,197
2026-04-22 00:42:26.350,285,581,148
2026-04-22 00:42:26.544,285,664,120
2026-04-22 00:42:26.561,275,646,115
2026-04-22 00:42:26.589,280,531,122
2026-04-22 00:42:26.606,282,404,184
2026-04-22 00:42:26.635,306,298,213
2026-04-22 00:42:26.651,346,200,202
2026-04-22 00:42:26.679,344,113,236
2026-04-22 00:42:26.696,345,-22,257
2026-04-22 00:42:26.725,347,-205,265
2026-04-22 00:42:26.754,377,-381,128
2026-04-22 00:42:26.968,430,-352,37
2026-04-22 00:42:26.981,409,-322,194
2026-04-22 00:42:26.996,414,-265,287
2026-04-22 00:42:27.011,402,-180,284
2026-04-22 00:42:27.040,374,-88,288
2026-04-22 00:42:27.056,330,49,323
2026-04-22 00:42:27.087,308,189,296
2026-04-22 00:42:27.101,286,301,266
2026-04-22 00:42:27.129,268,402,227
2026-04-22 00:42:27.146,285,553,153
2026-04-22 00:42:27.340,282,622,105
2026-04-22 00:42:27.371,277,621,108
2026-04-22 00:42:27.401,299,550,115
2026-04-22 00:42:27.416,319,412,177
2026-04-22 00:42:27.445,361,323,239
2026-04-22 00:42:27.461,381,212,217
2026-04-22 00:42:27.489,356,62,175
2026-04-22 00:42:27.506,330,-102,172
2026-04-22 00:42:27.534,319,-397,33
2026-04-22 00:42:27.551,363,-397,-70
2026-04-22 00:42:27.744,414,-352,51
2026-04-22 00:42:27.774,435,-295,203
2026-04-22 00:42:27.791,425,-171,302
2026-04-22 00:42:27.819,404,-116,313
2026-04-22 00:42:27.836,392,10,288
2026-04-22 00:42:27.864,351,107,338
2026-04-22 00:42:27.881,306,194,309
2026-04-22 00:42:27.909,267,363,260
2026-04-22 00:42:27.939,265,545,174
2026-04-22 00:42:27.956,241,687,132
2026-04-22 00:42:28.150,233,757,104
2026-04-22 00:42:28.180,210,658,175
2026-04-22 00:42:28.196,277,401,160
2026-04-22 00:42:28.225,323,294,166
2026-04-22 00:42:28.242,320,102,203
2026-04-22 00:42:28.272,350,-20,211
2026-04-22 00:42:28.286,356,-19,247
2026-04-22 00:42:28.316,342,-94,171
2026-04-22 00:42:28.331,336,-489,-17
2026-04-22 00:42:28.359,372,-520,-53
2026-04-22 00:42:28.554,410,-491,147
2026-04-22 00:42:28.586,428,-343,198
2026-04-22 00:42:28.618,383,-239,284
2026-04-22 00:42:28.633,354,-135,276
2026-04-22 00:42:28.648,293,-2,331
2026-04-22 00:42:28.678,264,112,301
2026-04-22 00:42:28.693,278,309,222
2026-04-22 00:42:28.723,272,469,199
2026-04-22 00:42:28.738,306,685,86
2026-04-22 00:42:28.768,289,733,88
2026-04-22 00:42:28.960,264,621,120
2026-04-22 00:42:28.976,296,545,106
2026-04-22 00:42:29.004,259,405,179
2026-04-22 00:42:29.021,275,213,156
2026-04-22 00:42:29.049,273,89,221
2026-04-22 00:42:29.079,262,-67,266
