Timestamp,X,Y,Z
2026-04-07 23:22:30.963,335,-353,-198
2026-04-07 23:22:30.963,630,-254,-691
2026-04-07 23:22:31.014,474,-269,-844
2026-04-07 23:22:31.062,434,-228,-750
2026-04-07 23:22:31.109,184,-395,-459
2026-04-07 23:22:31.160,-1288,-1251,1002
2026-04-07 23:22:31.207,639,-700,-413
2026-04-07 23:22:31.208,80,-313,21
2026-04-07 23:22:31.257,71,-161,39
2026-04-07 23:22:31.306,255,-441,-198
2026-04-07 23:22:31.354,206,-402,97
2026-04-07 23:22:31.403,384,-369,-317
2026-04-07 23:22:31.451,598,-143,-800
2026-04-07 23:22:31.451,515,-142,-806
2026-04-07 23:22:31.500,373,-262,-524
2026-04-07 23:22:31.549,161,-371,-318
2026-04-07 23:22:31.598,-1061,-1069,848
2026-04-07 23:22:31.648,429,-401,-111
2026-04-07 23:22:31.649,57,-445,347
2026-04-07 23:22:31.696,154,-431,-51
2026-04-07 23:22:31.747,247,-493,-97
2026-04-07 23:22:31.792,318,-423,-261
2026-04-07 23:22:31.844,527,-234,-512
2026-04-07 23:22:31.891,586,-216,-667
2026-04-07 23:22:31.892,425,-300,-664
2026-04-07 23:22:31.941,325,-313,-403
2026-04-07 23:22:31.989,-75,-943,274
2026-04-07 23:22:32.039,-574,-738,271
2026-04-07 23:22:32.087,157,-597,-63
2026-04-07 23:22:32.136,109,-372,162
2026-04-07 23:22:32.137,194,-362,55
2026-04-07 23:22:32.184,247,-339,80
2026-04-07 23:22:32.233,263,-377,-198
2026-04-07 23:22:32.282,540,-134,-898
2026-04-07 23:22:32.331,479,13,-1253
2026-04-07 23:22:32.378,521,-109,-906
2026-04-07 23:22:32.380,121,-404,-142
2026-04-07 23:22:32.427,-1209,-1035,399
2026-04-07 23:22:32.479,530,-646,-157
2026-04-07 23:22:32.525,-66,-343,229
2026-04-07 23:22:32.573,52,-107,73
2026-04-07 23:22:32.574,293,-191,-258
2026-04-07 23:22:32.622,438,-286,-32
2026-04-07 23:22:32.672,570,-523,-492
2026-04-07 23:22:32.718,378,-260,-1007
2026-04-07 23:22:32.769,491,-280,-925
2026-04-07 23:22:32.817,266,-396,-388
2026-04-07 23:22:32.818,-371,-966,798
2026-04-07 23:22:32.868,-548,-714,-123
2026-04-07 23:22:32.916,255,-466,-51
2026-04-07 23:22:32.964,102,-206,291
2026-04-07 23:22:33.010,154,-389,131
2026-04-07 23:22:33.061,181,-412,-41
2026-04-07 23:22:33.062,211,-393,-337
2026-04-07 23:22:33.109,482,-169,-810
2026-04-07 23:22:33.161,443,-50,-1007
2026-04-07 23:22:33.208,418,-216,-806
2026-04-07 23:22:33.256,253,-330,-407
2026-04-07 23:22:33.306,-44,-661,-212
2026-04-07 23:22:33.307,-1059,-1259,707
2026-04-07 23:22:33.355,247,-434,-176
2026-04-07 23:22:33.403,-78,-172,180
2026-04-07 23:22:33.450,121,-474,-39
2026-04-07 23:22:33.500,236,-335,-47
2026-04-07 23:22:33.501,381,-376,-354
2026-04-07 23:22:33.551,541,-297,-667
2026-04-07 23:22:33.599,404,-274,-867
2026-04-07 23:22:33.645,431,-235,-740
2026-04-07 23:22:33.694,215,-332,-421
2026-04-07 23:22:33.743,46,-449,-258
2026-04-07 23:22:33.744,-1100,-1065,857
2026-04-07 23:22:33.792,494,-689,-352
2026-04-07 23:22:33.840,5,-309,109
2026-04-07 23:22:33.889,99,-368,180
2026-04-07 23:22:33.938,167,-362,45
2026-04-07 23:22:33.986,203,-421,-201
2026-04-07 23:22:33.987,323,-388,-592
2026-04-07 23:22:34.036,451,-231,-795
2026-04-07 23:22:34.085,513,-160,-822
2026-04-07 23:22:34.134,406,-174,-662
2026-04-07 23:22:34.184,190,-368,-442
2026-04-07 23:22:34.230,-42,-613,-230
2026-04-07 23:22:34.231,-1143,-1259,1090
2026-04-07 23:22:34.280,286,-590,21
2026-04-07 23:22:34.328,82,-297,-41
2026-04-07 23:22:34.378,153,-463,82
2026-04-07 23:22:34.427,277,-300,-48
2026-04-07 23:22:34.476,317,-290,-282
2026-04-07 23:22:34.477,464,-254,-725
2026-04-07 23:22:34.524,519,-172,-1005
2026-04-07 23:22:34.577,492,-205,-827
2026-04-07 23:22:34.620,210,-318,-479
2026-04-07 23:22:34.670,-22,-369,-601
2026-04-07 23:22:34.671,-1086,-1285,1279
2026-04-07 23:22:34.719,150,-354,107
2026-04-07 23:22:34.768,13,-208,141
2026-04-07 23:22:34.815,76,-410,33
2026-04-07 23:22:34.865,234,-381,-210
2026-04-07 23:22:34.913,475,-333,-525
2026-04-07 23:22:34.914,592,-366,-844
2026-04-07 23:22:34.964,635,-229,-1022
2026-04-07 23:22:35.010,382,-286,-659
2026-04-07 23:22:35.060,15,-476,-394
2026-04-07 23:22:35.108,-1330,-1003,935
2026-04-07 23:22:35.157,307,-494,-82
2026-04-07 23:22:35.158,-18,-361,55
2026-04-07 23:22:35.207,107,-362,-35
2026-04-07 23:22:35.255,236,-386,-145
2026-04-07 23:22:35.304,275,-383,-293
2026-04-07 23:22:35.353,498,-351,-768
2026-04-07 23:22:35.403,650,-181,-1110
2026-04-07 23:22:35.403,521,-238,-830
2026-04-07 23:22:35.449,191,-361,-497
2026-04-07 23:22:35.500,-1061,-1353,798
2026-04-07 23:22:35.549,-41,-91,-178
2026-04-07 23:22:35.595,14,-482,-73
2026-04-07 23:22:35.595,-7,-342,192
2026-04-07 23:22:35.646,135,-393,89
2026-04-07 23:22:35.693,217,-413,-117
2026-04-07 23:22:35.744,371,-401,-555
2026-04-07 23:22:35.792,695,-370,-1113
2026-04-07 23:22:35.839,603,-334,-906
2026-04-07 23:22:35.840,280,-374,-482
2026-04-07 23:22:35.887,-495,-1368,923
2026-04-07 23:22:35.937,-548,147,370
2026-04-07 23:22:35.986,34,-540,76
2026-04-07 23:22:36.035,40,-271,191
2026-04-07 23:22:36.083,148,-350,167
2026-04-07 23:22:36.084,259,-414,-63
2026-04-07 23:22:36.132,343,-381,-320
2026-04-07 23:22:36.181,566,-459,-731
2026-04-07 23:22:36.229,610,-351,-949
2026-04-07 23:22:36.279,452,-368,-697
2026-04-07 23:22:36.327,150,-438,-351
2026-04-07 23:22:36.328,-515,-1461,1199
2026-04-07 23:22:36.376,-502,53,147
2026-04-07 23:22:36.425,71,-638,-59
2026-04-07 23:22:36.475,85,-313,4
2026-04-07 23:22:36.524,210,-288,70
2026-04-07 23:22:36.524,251,-483,-38
2026-04-07 23:22:36.571,197,-483,-190
2026-04-07 23:22:36.620,359,-416,-609
2026-04-07 23:22:36.671,452,-218,-895
2026-04-07 23:22:36.716,473,-187,-853
2026-04-07 23:22:36.766,324,-278,-554
2026-04-07 23:22:36.766,174,-423,-336
2026-04-07 23:22:36.823,-13,-610,-249
2026-04-07 23:22:36.863,-873,-1055,1205
2026-04-07 23:22:36.914,71,-609,95
2026-04-07 23:22:36.961,-8,-371,325
2026-04-07 23:22:37.010,80,-308,116
2026-04-07 23:22:37.011,154,-398,-158
2026-04-07 23:22:37.058,210,-360,-339
2026-04-07 23:22:37.107,512,-218,-719
2026-04-07 23:22:37.157,446,-335,-813
2026-04-07 23:22:37.206,422,-306,-665
2026-04-07 23:22:37.254,270,-362,-458
2026-04-07 23:22:37.255,73,-508,-297
2026-04-07 23:22:37.302,-1241,-1307,1089
2026-04-07 23:22:37.351,659,-505,-236
2026-04-07 23:22:37.400,45,-469,95
2026-04-07 23:22:37.450,60,-344,171
2026-04-07 23:22:37.451,172,-374,-57
2026-04-07 23:22:37.497,199,-378,-127
2026-04-07 23:22:37.548,326,-369,-427
2026-04-07 23:22:37.595,476,-226,-728
2026-04-07 23:22:37.644,482,-195,-830
2026-04-07 23:22:37.693,351,-236,-653
2026-04-07 23:22:37.694,139,-388,-352
2026-04-07 23:22:37.741,-941,-1372,1385
2026-04-07 23:22:37.790,269,-479,-504
2026-04-07 23:22:37.838,89,-466,-109
2026-04-07 23:22:37.887,58,-315,49
2026-04-07 23:22:37.936,141,-318,-51
2026-04-07 23:22:37.937,208,-433,-179
2026-04-07 23:22:37.983,244,-470,-355
2026-04-07 23:22:38.034,524,-211,-833
2026-04-07 23:22:38.082,402,-336,-952
2026-04-07 23:22:38.131,316,-412,-594
2026-04-07 23:22:38.180,117,-450,-81
2026-04-07 23:22:38.181,-904,-839,844
2026-04-07 23:22:38.228,387,-669,-443
2026-04-07 23:22:38.278,28,-160,198
2026-04-07 23:22:38.327,72,-321,97
2026-04-07 23:22:38.375,211,-321,-24
2026-04-07 23:22:38.424,209,-455,-103
2026-04-07 23:22:38.425,234,-521,-252
