Timestamp,X,Y,Z
2026-04-22 00:52:38.189,380,-261,-800
2026-04-22 00:52:38.205,373,-216,-742
2026-04-22 00:52:38.233,264,-324,-468
2026-04-22 00:52:38.250,-186,-907,309
2026-04-22 00:52:38.278,39,-480,49
2026-04-22 00:52:38.295,116,-438,2
2026-04-22 00:52:38.323,134,-312,79
2026-04-22 00:52:38.340,217,-352,-48
2026-04-22 00:52:38.533,419,-240,-530
2026-04-22 00:52:38.563,406,-318,-741
2026-04-22 00:52:38.580,335,-351,-639
2026-04-22 00:52:38.608,229,-435,-340
2026-04-22 00:52:38.625,-476,-767,879
2026-04-22 00:52:38.653,471,-585,-89
2026-04-22 00:52:38.683,140,-403,88
2026-04-22 00:52:38.699,167,-373,117
2026-04-22 00:52:38.730,305,-333,-150
2026-04-22 00:52:38.745,439,-158,-582
2026-04-22 00:52:38.939,324,-274,-795
2026-04-22 00:52:38.969,315,-219,-673
2026-04-22 00:52:38.985,-45,-792,259
2026-04-22 00:52:39.013,-33,-419,76
2026-04-22 00:52:39.030,216,-539,209
2026-04-22 00:52:39.058,262,-358,168
2026-04-22 00:52:39.075,257,-437,59
2026-04-22 00:52:39.103,281,-391,-121
2026-04-22 00:52:39.120,368,-282,-609
2026-04-22 00:52:39.148,343,-275,-825
2026-04-22 00:52:39.343,289,-228,-606
2026-04-22 00:52:39.373,-140,-818,330
2026-04-22 00:52:39.390,-5,-536,-149
2026-04-22 00:52:39.418,199,-402,48
2026-04-22 00:52:39.435,194,-403,113
2026-04-22 00:52:39.464,222,-445,4
2026-04-22 00:52:39.480,289,-379,-321
2026-04-22 00:52:39.509,374,-207,-662
2026-04-22 00:52:39.525,347,-181,-877
2026-04-22 00:52:39.553,278,-126,-643
2026-04-22 00:52:39.750,-164,-767,320
2026-04-22 00:52:39.766,90,-369,-438
2026-04-22 00:52:39.796,187,-579,-133
2026-04-22 00:52:39.810,194,-386,66
2026-04-22 00:52:39.839,255,-327,-137
2026-04-22 00:52:39.857,377,-195,-527
2026-04-22 00:52:39.885,364,-86,-865
2026-04-22 00:52:39.900,307,-95,-891
2026-04-22 00:52:39.928,198,-175,-602
2026-04-22 00:52:39.958,-640,-911,254
2026-04-22 00:52:40.155,499,-28,-468
2026-04-22 00:52:40.170,162,-614,123
2026-04-22 00:52:40.199,210,-319,71
2026-04-22 00:52:40.215,305,-301,-198
2026-04-22 00:52:40.243,356,-259,-514
2026-04-22 00:52:40.260,354,-219,-935
2026-04-22 00:52:40.288,351,-215,-884
2026-04-22 00:52:40.305,277,-301,-497
2026-04-22 00:52:40.333,-528,-913,625
2026-04-22 00:52:40.352,508,-574,-404
2026-04-22 00:52:40.560,209,-376,157
2026-04-22 00:52:40.575,253,-337,-36
2026-04-22 00:52:40.604,340,-266,-265
2026-04-22 00:52:40.620,380,-281,-544
2026-04-22 00:52:40.648,377,-310,-814
2026-04-22 00:52:40.666,336,-255,-710
2026-04-22 00:52:40.696,181,-386,-365
2026-04-22 00:52:40.712,-486,-969,715
2026-04-22 00:52:40.742,301,-502,-34
2026-04-22 00:52:40.757,122,-411,206
2026-04-22 00:52:40.949,166,-466,34
2026-04-22 00:52:40.978,213,-467,-47
2026-04-22 00:52:41.010,323,-352,-282
2026-04-22 00:52:41.025,381,-332,-638
2026-04-22 00:52:41.054,347,-271,-619
2026-04-22 00:52:41.070,237,-323,-359
2026-04-22 00:52:41.098,-398,-887,492
2026-04-22 00:52:41.115,322,-463,-137
2026-04-22 00:52:41.143,142,-486,194
2026-04-22 00:52:41.160,176,-505,-99
2026-04-22 00:52:41.353,205,-485,-139
2026-04-22 00:52:41.383,338,-344,-451
2026-04-22 00:52:41.400,395,-260,-796
2026-04-22 00:52:41.429,290,-267,-625
2026-04-22 00:52:41.445,-55,-735,250
2026-04-22 00:52:41.473,-87,-747,-104
2026-04-22 00:52:41.490,94,-371,9
2026-04-22 00:52:41.518,88,-502,35
2026-04-22 00:52:41.548,109,-441,-73
2026-04-22 00:52:41.565,127,-472,-174
2026-04-22 00:52:41.759,315,-303,-529
2026-04-22 00:52:41.788,420,-319,-763
2026-04-22 00:52:41.805,357,-277,-675
2026-04-22 00:52:41.834,208,-381,-324
2026-04-22 00:52:41.850,-456,-965,448
2026-04-22 00:52:41.879,270,-478,-87
2026-04-22 00:52:41.895,133,-395,86
2026-04-22 00:52:41.925,204,-385,-87
2026-04-22 00:52:41.940,347,-271,-307
2026-04-22 00:52:41.968,502,-219,-635
2026-04-22 00:52:42.164,426,-247,-713
