Timestamp,X,Y,Z
2026-03-10 21:28:42.009,-580,-131,121
2026-03-10 21:28:42.010,-580,-131,121
2026-03-10 21:28:42.010,-580,-131,121
2026-03-10 21:28:42.010,-503,-137,89
2026-03-10 21:28:42.010,-503,-137,89
2026-03-10 21:28:42.010,-503,-137,89
2026-03-10 21:28:42.060,-482,-125,42
2026-03-10 21:28:42.060,-482,-125,42
2026-03-10 21:28:42.061,-482,-125,42
2026-03-10 21:28:42.108,-508,-131,18
2026-03-10 21:28:42.109,-508,-131,18
2026-03-10 21:28:42.109,-508,-131,18
2026-03-10 21:28:42.157,-522,-107,22
2026-03-10 21:28:42.157,-522,-107,22
2026-03-10 21:28:42.158,-522,-107,22
2026-03-10 21:28:42.206,-497,-104,22
2026-03-10 21:28:42.206,-497,-104,22
2026-03-10 21:28:42.207,-497,-104,22
2026-03-10 21:28:42.255,-491,-116,-18
2026-03-10 21:28:42.256,-475,-113,-18
2026-03-10 21:28:42.256,-491,-116,-18
2026-03-10 21:28:42.256,-475,-113,-18
2026-03-10 21:28:42.257,-491,-116,-18
2026-03-10 21:28:42.257,-475,-113,-18
2026-03-10 21:28:42.305,-526,-125,12
2026-03-10 21:28:42.305,-526,-125,12
2026-03-10 21:28:42.305,-526,-125,12
2026-03-10 21:28:42.353,-606,-135,16
2026-03-10 21:28:42.354,-606,-135,16
2026-03-10 21:28:42.354,-606,-135,16
2026-03-10 21:28:42.403,-630,-128,19
2026-03-10 21:28:42.403,-630,-128,19
2026-03-10 21:28:42.403,-630,-128,19
2026-03-10 21:28:42.451,-609,-133,-11
2026-03-10 21:28:42.451,-541,-156,-29
2026-03-10 21:28:42.451,-609,-133,-11
2026-03-10 21:28:42.451,-541,-156,-29
2026-03-10 21:28:42.452,-609,-133,-11
2026-03-10 21:28:42.452,-541,-156,-29
2026-03-10 21:28:42.500,-521,-155,-8
2026-03-10 21:28:42.500,-521,-155,-8
2026-03-10 21:28:42.501,-521,-155,-8
2026-03-10 21:28:42.547,-480,-144,12
2026-03-10 21:28:42.547,-480,-144,12
2026-03-10 21:28:42.547,-480,-144,12
2026-03-10 21:28:42.598,-434,-147,31
2026-03-10 21:28:42.598,-434,-147,31
2026-03-10 21:28:42.598,-434,-147,31
2026-03-10 21:28:42.646,-387,-134,45
2026-03-10 21:28:42.646,-387,-134,45
2026-03-10 21:28:42.646,-387,-134,45
2026-03-10 21:28:42.693,-365,-142,74
2026-03-10 21:28:42.693,-329,-107,83
