Timestamp,X,Y,Z
2026-04-22 00:54:17.250,175,-240,-833
2026-04-22 00:54:17.267,237,-324,-655
2026-04-22 00:54:17.295,232,-430,-390
2026-04-22 00:54:17.311,234,-486,-121
2026-04-22 00:54:17.339,195,-487,98
2026-04-22 00:54:17.356,8,-388,101
2026-04-22 00:54:17.384,-150,21,150
2026-04-22 00:54:17.401,-108,566,66
2026-04-22 00:54:17.429,-256,1168,-465
2026-04-22 00:54:17.446,-119,1319,27
2026-04-22 00:54:17.639,-172,1281,287
2026-04-22 00:54:17.669,-87,804,33
2026-04-22 00:54:17.689,47,658,122
2026-04-22 00:54:17.714,-59,53,438
2026-04-22 00:54:17.744,-132,-317,157
2026-04-22 00:54:17.761,-299,-293,-496
2026-04-22 00:54:17.791,-285,-174,-882
2026-04-22 00:54:17.806,41,-148,-1022
2026-04-22 00:54:17.834,228,-257,-762
2026-04-22 00:54:17.851,271,-333,-679
2026-04-22 00:54:18.046,205,-415,-550
2026-04-22 00:54:18.088,186,-481,-245
2026-04-22 00:54:18.092,155,-508,128
2026-04-22 00:54:18.119,98,-372,216
2026-04-22 00:54:18.135,-99,-138,366
2026-04-22 00:54:18.164,5,413,318
2026-04-22 00:54:18.180,7,681,28
2026-04-22 00:54:18.209,-230,1157,-290
2026-04-22 00:54:18.226,-128,1362,161
2026-04-22 00:54:18.255,-87,919,144
2026-04-22 00:54:18.449,42,646,48
2026-04-22 00:54:18.479,62,251,226
2026-04-22 00:54:18.496,-31,-189,349
2026-04-22 00:54:18.524,-139,-495,43
2026-04-22 00:54:18.541,-177,-555,-507
2026-04-22 00:54:18.569,-271,-245,-887
2026-04-22 00:54:18.586,138,-318,-899
2026-04-22 00:54:18.614,233,-493,-490
2026-04-22 00:54:18.633,229,-449,-353
2026-04-22 00:54:18.662,142,-407,-266
2026-04-22 00:54:18.854,96,-484,-7
2026-04-22 00:54:18.871,126,-333,207
2026-04-22 00:54:18.899,62,-361,292
2026-04-22 00:54:18.929,3,232,530
2026-04-22 00:54:18.946,251,841,566
2026-04-22 00:54:18.976,-97,1282,-142
2026-04-22 00:54:18.991,-26,1409,479
2026-04-22 00:54:19.019,-11,952,322
2026-04-22 00:54:19.036,66,688,163
2026-04-22 00:54:19.064,90,226,383
2026-04-22 00:54:19.262,26,-209,491
2026-04-22 00:54:19.277,-121,-312,200
2026-04-22 00:54:19.304,-333,-382,-308
2026-04-22 00:54:19.320,-338,-230,-748
2026-04-22 00:54:19.349,-154,-237,-1085
2026-04-22 00:54:19.366,-14,-324,-815
2026-04-22 00:54:19.394,111,-379,-521
2026-04-22 00:54:19.424,248,-390,-159
2026-04-22 00:54:19.441,248,-413,98
2026-04-22 00:54:19.469,45,-229,139
2026-04-22 00:54:19.665,-1,519,141
2026-04-22 00:54:19.683,52,929,172
2026-04-22 00:54:19.711,-218,1027,-392
2026-04-22 00:54:19.727,-256,1551,130
2026-04-22 00:54:19.757,-158,1093,304
2026-04-22 00:54:19.772,-59,893,-42
