Timestamp,X,Y,Z
2026-03-10 21:40:44.830,-634,-407,341
2026-03-10 21:40:44.881,-604,-410,432
2026-03-10 21:40:44.882,-488,-404,486
2026-03-10 21:40:44.929,-304,-261,504
2026-03-10 21:40:44.979,-143,-166,413
2026-03-10 21:40:45.029,54,-32,246
2026-03-10 21:40:45.076,159,-58,162
2026-03-10 21:40:45.076,182,-163,149
2026-03-10 21:40:45.126,181,-252,223
2026-03-10 21:40:45.173,158,-260,246
2026-03-10 21:40:45.223,134,-209,256
2026-03-10 21:40:45.272,135,-63,307
2026-03-10 21:40:45.319,147,175,340
2026-03-10 21:40:45.367,174,432,362
2026-03-10 21:40:45.369,199,542,396
2026-03-10 21:40:45.418,211,563,329
2026-03-10 21:40:45.466,243,514,282
2026-03-10 21:40:45.516,262,458,282
2026-03-10 21:40:45.564,283,405,249
2026-03-10 21:40:45.565,304,360,237
2026-03-10 21:40:45.612,296,248,225
2026-03-10 21:40:45.663,305,177,277
2026-03-10 21:40:45.761,281,61,304
2026-03-10 21:40:45.761,257,-88,332
2026-03-10 21:40:45.807,197,-357,349
2026-03-10 21:40:45.807,140,-529,313
2026-03-10 21:40:45.858,190,-642,88
2026-03-10 21:40:45.956,306,-560,-2
2026-03-10 21:40:45.956,352,-403,-24
2026-03-10 21:40:46.002,351,-509,-255
2026-03-10 21:40:46.051,301,-442,-175
2026-03-10 21:40:46.053,333,-381,-109
2026-03-10 21:40:46.100,330,-442,-111
2026-03-10 21:40:46.201,328,-416,22
2026-03-10 21:40:46.201,362,-460,196
2026-03-10 21:40:46.248,373,-358,410
2026-03-10 21:40:46.248,293,-343,576
2026-03-10 21:40:46.296,245,-338,495
2026-03-10 21:40:46.344,197,-481,295
2026-03-10 21:40:46.394,252,-164,449
2026-03-10 21:40:46.441,292,-170,459
2026-03-10 21:40:46.489,241,19,474
2026-03-10 21:40:46.492,216,211,555
2026-03-10 21:40:46.539,185,362,526
2026-03-10 21:40:46.590,190,469,463
2026-03-10 21:40:46.640,186,396,450
2026-03-10 21:40:46.687,196,293,417
2026-03-10 21:40:46.735,191,219,380
2026-03-10 21:40:46.737,194,179,334
2026-03-10 21:40:46.787,183,153,331
2026-03-10 21:40:46.831,186,130,334
2026-03-10 21:40:46.989,170,-39,283
2026-03-10 21:40:46.989,184,-413,171
2026-03-10 21:40:46.991,138,-403,65
